"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES_PRINCIPAIS";"QT_SECOES_AGREGADAS";"QT_SECOES_NAO_INSTALADAS";"QT_TOTAL_SECOES";"QT_COMPARECIMENTO";"QT_ELEITORES_SECOES_NAO_INSTALADAS";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_TOTAL_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULOS_TECNICOS";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"23/02/2022";"11:03:13";2014;2;"Eleição Ordinária";2;144;"Eleições Gerais 2014";"26/10/2014";"F";"AM";"AM";"AMAZONAS";"02550";"MANAUS";37;3;"Governador";90323;238;4;0;242;75651;0;14672;"N";75651;68046;68046;68046;0;0;0;0;0;0;0;0;0;1606;5999;5999;0;0;"00:00:00";"26/10/2014"
"23/02/2022";"11:03:13";2014;2;"Eleição Ordinária";2;144;"Eleições Gerais 2014";"26/10/2014";"F";"AM";"AM";"AMAZONAS";"02399";"IPIXUNA";45;3;"Governador";9566;27;9;0;36;6445;0;3121;"N";6445;5818;5818;5818;0;0;0;0;0;0;0;0;0;33;594;594;0;0;"00:00:00";"26/10/2014"
"23/02/2022";"11:03:13";2014;2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AM";"AM";"AMAZONAS";"02658";"NOVA OLINDA DO NORTE";28;3;"Governador";15508;43;1;0;44;11123;0;4385;"N";11123;10314;10314;10314;0;0;0;0;0;0;0;0;0;63;746;746;0;0;"00:00:00";"05/10/2014"
"23/02/2022";"11:03:13";2014;2;"Eleição Ordinária";2;144;"Eleições Gerais 2014";"26/10/2014";"F";"AM";"AM";"AMAZONAS";"02194";"CANUTAMA";13;3;"Governador";7171;24;2;0;26;4708;0;2463;"N";4708;4335;4335;4335;0;0;0;0;0;0;0;0;0;30;343;343;0;0;"00:00:00";"26/10/2014"
"23/02/2022";"11:03:13";2014;2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AM";"AM";"AMAZONAS";"02534";"MANACAPURU";6;7;"Deputado Estadual";52230;199;8;0;207;46290;0;5940;"N";46290;41788;41788;41788;2761;0;0;0;0;0;0;0;0;800;941;941;0;0;"00:00:00";"23/05/2016"
"23/02/2022";"11:03:13";2014;2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AM";"AM";"AMAZONAS";"02119";"BARREIRINHA";26;6;"Deputado Federal";16916;50;3;0;53;12403;0;4513;"N";12403;11194;11194;11194;863;0;0;0;0;0;0;0;0;239;107;107;0;0;"00:00:00";"23/05/2016"
"23/02/2022";"11:03:13";2014;2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AM";"AM";"AMAZONAS";"02798";"TAPAUÁ";38;7;"Deputado Estadual";11880;35;2;0;37;7826;0;4054;"N";7826;7053;7053;7053;546;0;0;0;0;0;0;0;0;101;126;126;0;0;"00:00:00";"23/05/2016"
"23/02/2022";"11:03:13";2014;2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AM";"AM";"AMAZONAS";"98515";"TONANTINS";47;7;"Deputado Estadual";8268;24;2;0;26;6070;0;2198;"N";6070;5115;5115;5115;527;0;0;0;0;0;0;0;0;89;339;339;0;0;"00:00:00";"23/05/2016"
"23/02/2022";"11:03:13";2014;2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AM";"AM";"AMAZONAS";"98396";"MANAQUIRI";66;3;"Governador";12005;35;3;0;38;9014;0;2991;"N";9014;8381;8381;8381;0;0;0;0;0;0;0;0;0;67;566;566;0;0;"00:00:00";"05/10/2014"
"23/02/2022";"11:03:13";2014;2;"Eleição Ordinária";1;143;"Eleições Gerais 2014";"05/10/2014";"F";"AM";"AM";"AMAZONAS";"02216";"CARAUARI";21;6;"Deputado Federal";17731;63;4;0;67;11205;0;6526;"N";11205;10346;10346;10346;594;0;0;0;0;0;0;0;0;133;132;132;0;0;"00:00:00";"23/05/2016"
