DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NR_FEDERACAO;NM_FEDERACAO;SG_FEDERACAO;DS_COMPOSICAO_FEDERACAO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;ST_VOTO_EM_TRANSITO;QT_VOTOS_LEGENDA_VALIDOS;QT_VOTOS_NOM_CONVR_LEG_VALIDOS;QT_TOTAL_VOTOS_LEG_VALIDOS;QT_VOTOS_NOMINAIS_VALIDOS;QT_VOTOS_LEGENDA_ANUL_SUBJUD;QT_VOTOS_NOMINAIS_ANUL_SUBJUD;QT_VOTOS_LEGENDA_ANULADOS;QT_VOTOS_NOMINAIS_ANULADOS
14/09/2026;03:50:40;2022;2;Eleição Ordinária;1;546;Eleições Gerais Estaduais 2022;02/10/2022;E;AM;AM;AMAZONAS;2917;AMATURÁ;22;6;Deputado Federal;Partido isolado;10;REPUBLICANOS;REPUBLICANOS;-1;#NULO#;#NULO#;#NULO#;40001681432;PARTIDO ISOLADO;REPUBLICANOS;N;32;0;32;1650;0;0;0;0
14/09/2026;03:50:40;2022;2;Eleição Ordinária;1;546;Eleições Gerais Estaduais 2022;02/10/2022;E;AM;AM;AMAZONAS;2038;ANORI;33;3;Governador;Federação;23;CIDADANIA;Cidadania;1;Federação PSDB Cidadania;PSDB/CIDADANIA;CIDADANIA / PSDB;40001685800;FEDERAÇÃO;Federação PSDB Cidadania (PSDB / CIDADANIA);N;0;0;0;310;0;0;0;0
14/09/2026;03:50:40;2022;2;Eleição Ordinária;1;546;Eleições Gerais Estaduais 2022;02/10/2022;E;AM;AM;AMAZONAS;2712;PAUINI;44;3;Governador;Federação;23;CIDADANIA;Cidadania;1;Federação PSDB Cidadania;PSDB/CIDADANIA;CIDADANIA / PSDB;40001685800;FEDERAÇÃO;Federação PSDB Cidadania (PSDB / CIDADANIA);N;0;0;0;469;0;0;0;0
14/09/2026;03:50:40;2022;2;Eleição Ordinária;1;546;Eleições Gerais Estaduais 2022;02/10/2022;E;AM;AM;AMAZONAS;98515;TONANTINS;47;3;Governador;Federação;23;CIDADANIA;Cidadania;1;Federação PSDB Cidadania;PSDB/CIDADANIA;CIDADANIA / PSDB;40001685800;FEDERAÇÃO;Federação PSDB Cidadania (PSDB / CIDADANIA);N;0;0;0;1551;0;0;0;0
14/09/2026;03:50:40;2022;2;Eleição Ordinária;1;546;Eleições Gerais Estaduais 2022;02/10/2022;E;AM;AM;AMAZONAS;2453;JAPURÁ;48;3;Governador;Federação;23;CIDADANIA;Cidadania;1;Federação PSDB Cidadania;PSDB/CIDADANIA;CIDADANIA / PSDB;40001685800;FEDERAÇÃO;Federação PSDB Cidadania (PSDB / CIDADANIA);N;0;0;0;311;0;0;0;0
14/09/2026;03:50:40;2022;2;Eleição Ordinária;1;546;Eleições Gerais Estaduais 2022;02/10/2022;E;AM;AM;AMAZONAS;2550;MANAUS;65;7;Deputado Estadual;Partido isolado;90;PROS;Partido Republicano da Ordem Social;-1;#NULO#;#NULO#;#NULO#;40001685332;PARTIDO ISOLADO;PROS;N;10;0;10;972;0;0;0;0
14/09/2026;03:50:40;2022;2;Eleição Ordinária;1;546;Eleições Gerais Estaduais 2022;02/10/2022;E;AM;AM;AMAZONAS;2135;BENJAMIN CONSTANT;20;7;Deputado Estadual;Partido isolado;90;PROS;Partido Republicano da Ordem Social;-1;#NULO#;#NULO#;#NULO#;40001685332;PARTIDO ISOLADO;PROS;N;0;0;0;20;0;0;0;0
14/09/2026;03:50:40;2022;2;Eleição Ordinária;1;546;Eleições Gerais Estaduais 2022;02/10/2022;E;AM;AM;AMAZONAS;2852;URUCARÁ;27;7;Deputado Estadual;Partido isolado;90;PROS;Partido Republicano da Ordem Social;-1;#NULO#;#NULO#;#NULO#;40001685332;PARTIDO ISOLADO;PROS;N;1;0;1;160;0;0;0;0
14/09/2026;03:50:40;2022;2;Eleição Ordinária;1;546;Eleições Gerais Estaduais 2022;02/10/2022;E;AM;AM;AMAZONAS;2232;CAREIRO;23;7;Deputado Estadual;Partido isolado;90;PROS;Partido Republicano da Ordem Social;-1;#NULO#;#NULO#;#NULO#;40001685332;PARTIDO ISOLADO;PROS;N;8;0;8;243;0;0;0;0
14/09/2026;03:50:40;2022;2;Eleição Ordinária;1;546;Eleições Gerais Estaduais 2022;02/10/2022;E;AM;AM;AMAZONAS;2836;SÃO GABRIEL DA CACHOEIRA;19;7;Deputado Estadual;Federação;43;PV;Partido Verde;2;Federação Brasil da Esperança - FE BRASIL;PT/PC do B/PV;PC do B / PT / PV;40001682548;FEDERAÇÃO;Federação Brasil da Esperança - FE BRASIL (PT / PC do B / PV);N;39;0;39;2841;0;0;0;0
