Comparecimento no primeiro turno das eleições - INATIVA,,,,,,,
Sigla,Código,Município,2014,2016,2018,2020,2022
AM,1300029,Alvarães,6630,8128,7244,9169,8669
AM,1300060,Amaturá,4000,4711,4674,5559,5405
AM,1300086,Anamã,4884,5908,5559,6776,6465
AM,1300102,Anori,6798,8379,7268,8693,8204
AM,1300144,Apuí,6384,7598,6979,7702,7940
AM,1300201,Atalaia do Norte,4735,6041,5417,6914,6194
AM,1300300,Autazes,16639,21767,19872,22322,21979
AM,1300409,Barcelos,6065,7527,6571,8588,7558
AM,1300508,Barreirinha,12403,14900,13983,16577,16739
AM,1300607,Benjamin Constant,14467,15846,15732,17248,16927
AM,1300631,Beruri,7785,9683,8833,10995,10419
AM,1300680,Boa Vista do Ramos,6789,8709,7996,9795,9683
AM,1300706,Boca do Acre,13630,15872,14758,17327,16253
AM,1300805,Borba,13654,16345,14506,18305,16571
AM,1300839,Caapiranga,5327,6707,5899,7473,7124
AM,1300904,Canutama,4739,6724,5611,7441,7006
AM,1301001,Carauari,11205,13833,12041,15415,14082
AM,1301100,Careiro,15753,17850,16172,18671,17561
AM,1301159,Careiro da Várzea,11192,12905,12282,13308,13041
AM,1301209,Coari,32301,40271,35620,38748,35733
AM,1301308,Codajás,9740,11711,9879,12572,11907
AM,1301407,Eirunepé,12350,14701,13005,16453,14530
AM,1301506,Envira,6769,7984,6594,8211,7531
AM,1301605,Fonte Boa,9662,12104,10054,12724,11651
AM,1301654,Guajará,5316,6823,6402,8811,7977
AM,1301704,Humaitá,19804,22756,20124,24800,24383
AM,1301803,Ipixuna,6157,7940,7004,9201,7720
AM,1301852,Iranduba,19504,24839,26293,29222,30796
AM,1301902,Itacoatiara,48583,52779,51285,53004,54871
AM,1301951,Itamarati,4097,5279,4487,5744,5095
AM,1302009,Itapiranga,5215,6287,5459,6828,6454
AM,1302108,Japurá,2583,3651,2882,3908,3392
AM,1302207,Juruá,4236,5299,4433,5867,5324
AM,1302306,Jutaí,7231,9497,8050,10896,9487
AM,1302405,Lábrea,14468,17075,16574,19481,19176
AM,1302504,Manacapuru,46290,53605,52528,55924,57567
AM,1302553,Manaquiri,9014,11099,9804,11413,10959
AM,1302603,Manaus,1062100,1149121,1153992,1088826,1202632
AM,1302702,Manicoré,18167,22061,19235,24278,24538
AM,1302801,Maraã,5514,7439,5617,7582,6080
AM,1302900,Maués,20581,23964,21961,26936,27296
AM,1303007,Nhamundá,8762,11056,9530,11927,11130
AM,1303106,Nova Olinda do Norte,11123,13607,12051,14619,14313
AM,1303205,Novo Airão,6544,8852,7605,9012,8879
AM,1303304,Novo Aripuanã,7633,9374,8245,10338,9424
AM,1303403,Parintins,47062,50678,51551,52202,55064
AM,1303502,Pauini,5872,7220,6537,8300,7733
AM,1303536,Presidente Figueiredo,14384,18173,17070,18903,18491
AM,1303569,Rio Preto da Eva,10500,12370,11777,13699,14387
AM,1303601,Santa Isabel do Rio Negro,4107,5137,4557,5936,5573
AM,1303700,Santo Antônio do Içá,8981,11290,10584,13112,12698
AM,1303809,São Gabriel da Cachoeira,18570,20371,18898,22938,21597
AM,1303908,São Paulo de Olivença,11780,13642,13576,15225,14906
AM,1303957,São Sebastião do Uatumã,4088,5411,4891,6048,5637
AM,1304005,Silves,5098,6141,5607,6425,6520
AM,1304062,Tabatinga,21447,24341,25422,27702,27441
AM,1304104,Tapauá,7826,9683,8580,10689,9702
AM,1304203,Tefé,27418,30836,30135,35075,33796
AM,1304237,Tonantins,6070,7623,6851,8578,8099
AM,1304260,Uarini,5209,6241,5378,6931,6700
AM,1304302,Urucará,8102,10006,8446,9779,8987
AM,1304401,Urucurituba,8480,10277,8908,10491,9775
