UF;Município;Faixa etária;Gênero;Grau de instrução;Turno;Comparecimento;% comparecimento;Abstenção;Eleitorado apto;Data de carga
AM;ALVARÃES;100 anos ou mais              ;MASCULINO;ANALFABETO;1;0;0;1;1;2025-04-30 07:09:09
AM;ALVARÃES;100 anos ou mais              ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;0;0;1;1;2025-04-30 07:09:09
AM;ALVARÃES;100 anos ou mais              ;MASCULINO;LÊ E ESCREVE;1;0;0;2;2;2025-04-30 07:09:09
AM;ALVARÃES;16 anos                       ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;8;0,6667;4;12;2025-04-30 07:09:09
AM;ALVARÃES;16 anos                       ;FEMININO;ENSINO MÉDIO COMPLETO;1;1;1;0;1;2025-04-30 07:09:09
AM;ALVARÃES;16 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;20;0,8;5;25;2025-04-30 07:09:09
AM;ALVARÃES;16 anos                       ;FEMININO;SUPERIOR INCOMPLETO;1;1;1;0;1;2025-04-30 07:09:09
AM;ALVARÃES;16 anos                       ;MASCULINO;ANALFABETO;1;1;1;0;1;2025-04-30 07:09:09
AM;ALVARÃES;16 anos                       ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;0;0;1;1;2025-04-30 07:09:09
AM;ALVARÃES;16 anos                       ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;1;8;0,6667;4;12;2025-04-30 07:09:09
AM;ALVARÃES;16 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;16;0,8421;3;19;2025-04-30 07:09:09
AM;ALVARÃES;17 anos                       ;FEMININO;ANALFABETO;1;1;1;0;1;2025-04-30 07:09:09
AM;ALVARÃES;17 anos                       ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;2;1;0;2;2025-04-30 07:09:09
AM;ALVARÃES;17 anos                       ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;18;0,6667;9;27;2025-04-30 07:09:09
AM;ALVARÃES;17 anos                       ;FEMININO;ENSINO MÉDIO COMPLETO;1;7;0,7778;2;9;2025-04-30 07:09:09
AM;ALVARÃES;17 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;68;0,9067;7;75;2025-04-30 07:09:09
AM;ALVARÃES;17 anos                       ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;3;0,75;1;4;2025-04-30 07:09:09
AM;ALVARÃES;17 anos                       ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;1;16;0,6957;7;23;2025-04-30 07:09:09
AM;ALVARÃES;17 anos                       ;MASCULINO;ENSINO MÉDIO COMPLETO;1;6;0,75;2;8;2025-04-30 07:09:09
AM;ALVARÃES;17 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;45;0,9;5;50;2025-04-30 07:09:09
AM;ALVARÃES;17 anos                       ;MASCULINO;LÊ E ESCREVE;1;1;1;0;1;2025-04-30 07:09:09
AM;ALVARÃES;18 anos                       ;FEMININO;ANALFABETO;1;1;0,5;1;2;2025-04-30 07:09:09
AM;ALVARÃES;18 anos                       ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;33;0,6735;16;49;2025-04-30 07:09:09
AM;ALVARÃES;18 anos                       ;FEMININO;ENSINO MÉDIO COMPLETO;1;15;0,7895;4;19;2025-04-30 07:09:09
AM;ALVARÃES;18 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;78;0,7879;21;99;2025-04-30 07:09:09
AM;ALVARÃES;18 anos                       ;FEMININO;LÊ E ESCREVE;1;0;0;1;1;2025-04-30 07:09:09
AM;ALVARÃES;18 anos                       ;FEMININO;SUPERIOR INCOMPLETO;1;2;1;0;2;2025-04-30 07:09:09
AM;ALVARÃES;18 anos                       ;MASCULINO;ANALFABETO;1;1;0,5;1;2;2025-04-30 07:09:09
AM;ALVARÃES;18 anos                       ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;3;1;0;3;2025-04-30 07:09:09
AM;ALVARÃES;18 anos                       ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;1;38;0,7755;11;49;2025-04-30 07:09:09
AM;ALVARÃES;18 anos                       ;MASCULINO;ENSINO MÉDIO COMPLETO;1;11;0,9167;1;12;2025-04-30 07:09:09
AM;ALVARÃES;18 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;64;0,8533;11;75;2025-04-30 07:09:09
AM;ALVARÃES;18 anos                       ;MASCULINO;LÊ E ESCREVE;1;1;0,5;1;2;2025-04-30 07:09:09
AM;ALVARÃES;18 anos                       ;MASCULINO;SUPERIOR INCOMPLETO;1;1;1;0;1;2025-04-30 07:09:09
AM;ALVARÃES;19 anos                       ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;2;0,6667;1;3;2025-04-30 07:09:09
AM;ALVARÃES;19 anos                       ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;35;0,6604;18;53;2025-04-30 07:09:09
AM;ALVARÃES;19 anos                       ;FEMININO;ENSINO MÉDIO COMPLETO;1;23;0,8846;3;26;2025-04-30 07:09:09
AM;ALVARÃES;19 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;59;0,7375;21;80;2025-04-30 07:09:09
AM;ALVARÃES;19 anos                       ;FEMININO;LÊ E ESCREVE;1;0;0;1;1;2025-04-30 07:09:09
AM;ALVARÃES;19 anos                       ;FEMININO;SUPERIOR INCOMPLETO;1;4;0,8;1;5;2025-04-30 07:09:09
AM;ALVARÃES;19 anos                       ;MASCULINO;ANALFABETO;1;1;0,5;1;2;2025-04-30 07:09:09
AM;ALVARÃES;19 anos                       ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;2;0,6667;1;3;2025-04-30 07:09:09
AM;ALVARÃES;19 anos                       ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;1;40;0,7018;17;57;2025-04-30 07:09:09
AM;ALVARÃES;19 anos                       ;MASCULINO;ENSINO MÉDIO COMPLETO;1;15;0,8824;2;17;2025-04-30 07:09:09
AM;ALVARÃES;19 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;49;0,7903;13;62;2025-04-30 07:09:09
AM;ALVARÃES;19 anos                       ;MASCULINO;SUPERIOR INCOMPLETO;1;1;0,3333;2;3;2025-04-30 07:09:09
AM;ALVARÃES;20 anos                       ;FEMININO;ANALFABETO;1;2;1;0;2;2025-04-30 07:09:09
AM;ALVARÃES;20 anos                       ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;1;1;0;1;2025-04-30 07:09:09
AM;ALVARÃES;20 anos                       ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;33;0,7021;14;47;2025-04-30 07:09:09
AM;ALVARÃES;20 anos                       ;FEMININO;ENSINO MÉDIO COMPLETO;1;33;1;0;33;2025-04-30 07:09:09
AM;ALVARÃES;20 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;53;0,7681;16;69;2025-04-30 07:09:09
AM;ALVARÃES;20 anos                       ;FEMININO;LÊ E ESCREVE;1;0;0;1;1;2025-04-30 07:09:09
AM;ALVARÃES;20 anos                       ;FEMININO;SUPERIOR INCOMPLETO;1;4;0,6667;2;6;2025-04-30 07:09:09
AM;ALVARÃES;20 anos                       ;MASCULINO;ANALFABETO;1;0;0;1;1;2025-04-30 07:09:09
AM;ALVARÃES;20 anos                       ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;1;37;0,7708;11;48;2025-04-30 07:09:09
AM;ALVARÃES;20 anos                       ;MASCULINO;ENSINO MÉDIO COMPLETO;1;22;0,9167;2;24;2025-04-30 07:09:09
AM;ALVARÃES;20 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;36;0,7347;13;49;2025-04-30 07:09:09
AM;ALVARÃES;20 anos                       ;MASCULINO;LÊ E ESCREVE;1;1;0,5;1;2;2025-04-30 07:09:09
AM;ALVARÃES;20 anos                       ;MASCULINO;SUPERIOR INCOMPLETO;1;8;0,8889;1;9;2025-04-30 07:09:09
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;ANALFABETO;1;5;0,5556;4;9;2025-04-30 07:09:09
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;16;0,8889;2;18;2025-04-30 07:09:09
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;155;0,7143;62;217;2025-04-30 07:09:09
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;1;131;0,8562;22;153;2025-04-30 07:09:09
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;156;0,7123;63;219;2025-04-30 07:09:09
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;LÊ E ESCREVE;1;18;0,7826;5;23;2025-04-30 07:09:09
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;SUPERIOR COMPLETO;1;2;0,6667;1;3;2025-04-30 07:09:09
AM;ALVARÃES;21 a 24 anos                  ;FEMININO;SUPERIOR INCOMPLETO;1;23;0,6765;11;34;2025-04-30 07:09:09
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;ANALFABETO;1;5;0,4167;7;12;2025-04-30 07:09:09
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;10;0,7692;3;13;2025-04-30 07:09:09
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;1;157;0,6569;82;239;2025-04-30 07:09:09
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;1;83;0,8469;15;98;2025-04-30 07:09:09
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;133;0,7189;52;185;2025-04-30 07:09:09
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;LÊ E ESCREVE;1;13;0,65;7;20;2025-04-30 07:09:09
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;SUPERIOR COMPLETO;1;2;0,6667;1;3;2025-04-30 07:09:09
AM;ALVARÃES;21 a 24 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;1;19;0,5758;14;33;2025-04-30 07:09:09
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;ANALFABETO;1;5;0,5;5;10;2025-04-30 07:09:09
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;19;0,9048;2;21;2025-04-30 07:09:09
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;196;0,8066;47;243;2025-04-30 07:09:09
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;1;141;0,9156;13;154;2025-04-30 07:09:09
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;106;0,7626;33;139;2025-04-30 07:09:09
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;LÊ E ESCREVE;1;27;0,7941;7;34;2025-04-30 07:09:09
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;SUPERIOR COMPLETO;1;25;0,9259;2;27;2025-04-30 07:09:09
AM;ALVARÃES;25 a 29 anos                  ;FEMININO;SUPERIOR INCOMPLETO;1;27;0,871;4;31;2025-04-30 07:09:09
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;ANALFABETO;1;12;0,4615;14;26;2025-04-30 07:09:09
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;1;16;0,7273;6;22;2025-04-30 07:09:09
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;1;212;0,7067;88;300;2025-04-30 07:09:09
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;1;85;0,8854;11;96;2025-04-30 07:09:09
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;1;115;0,7468;39;154;2025-04-30 07:09:09
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;LÊ E ESCREVE;1;33;0,7174;13;46;2025-04-30 07:09:09
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;SUPERIOR COMPLETO;1;14;0,7778;4;18;2025-04-30 07:09:09
AM;ALVARÃES;25 a 29 anos                  ;MASCULINO;SUPERIOR INCOMPLETO;1;22;0,8148;5;27;2025-04-30 07:09:09
AM;ALVARÃES;30 a 34 anos                  ;FEMININO;ANALFABETO;1;14;0,5833;10;24;2025-04-30 07:09:09
AM;ALVARÃES;30 a 34 anos                  ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;1;21;0,84;4;25;2025-04-30 07:09:09
AM;ALVARÃES;30 a 34 anos                  ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;1;170;0,7834;47;217;2025-04-30 07:09:09
AM;ALVARÃES;30 a 34 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;1;106;0,906;11;117;2025-04-30 07:09:09
AM;ALVARÃES;30 a 34 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;1;36;0,8372;7;43;2025-04-30 07:09:09
AM;ALVARÃES;30 a 34 anos                  ;FEMININO;LÊ E ESCREVE;1;80;0,8333;16;96;2025-04-30 07:09:09
AM;ALVARÃES;30 a 34 anos                  ;FEMININO;SUPERIOR COMPLETO;1;23;0,92;2;25;2025-04-30 07:09:09
AM;ALVARÃES;30 a 34 anos                  ;FEMININO;SUPERIOR INCOMPLETO;1;19;1;0;19;2025-04-30 07:09:09
AM;ALVARÃES;30 a 34 anos                  ;MASCULINO;ANALFABETO;1;15;0,4286;20;35;2025-04-30 07:09:09
