DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2014-01-01,07:00,0,"1002,1","1002,2","1001,9",-9999,"26,6","20,3","26,9","26,5","20,8","20,3.1",70,68,69,87,"3,3","1,1",Unnamed: 19
2014-10-05,00:00,0,"1003,5","1003,5","1002,8",-9999,"26,2","23,5","26,7","26,2","23,5","23,3",85,82,85,253,"3,1","1,5",
2014-10-05,01:00,0,"1004,9","1004,9","1003,5",-9999,"26,1","23,3","26,2","26,1","23,5","23,2",85,84,85,259,"3,3","1,2",
2014-10-05,02:00,0,"1005,7","1005,7","1004,9",-9999,"25,9","23,1","26,1","25,8","23,4","23,1",85,84,85,256,"2,9","1,3",
2014-10-05,03:00,0,"1005,8","1005,8","1005,6",-9999,"25,6","23,2",26,"25,6","23,3",23,87,84,87,230,"2,7","1,7",
2014-10-05,04:00,0,"1005,1","1005,9","1005,1",-9999,"25,8","22,6","25,8","25,6","23,2","22,6",87,83,83,231,"3,5","1,9",
2014-10-05,05:00,0,"1004,3","1005,2","1004,3",-9999,"25,4","23,4","25,8","25,4","23,5","22,6",89,83,89,198,"3,5","1,5",
2014-10-05,06:00,0,"1003,9","1004,4","1003,9",-9999,"25,4","23,2","25,5","25,3","23,5","23,2",89,88,88,206,"2,9",1,
2014-10-05,07:00,0,"1003,9","1003,9","1003,6",-9999,"25,4","23,2","25,5","25,3","23,2",23,88,87,87,216,3,"1,4",
2014-10-05,08:00,0,"1003,5","1003,9","1003,5",-9999,"25,3","23,4","25,4","25,3","23,4","23,2",89,87,89,199,"3,4","1,5",
2014-10-05,09:00,0,"1004,1","1004,1","1003,5",-9999,"25,2","23,2","25,3","25,1","23,4","23,2",90,89,89,197,"3,5","1,3",
2014-10-05,10:00,0,"1004,8","1004,8","1004,1","6,6","25,2","23,2","25,3","25,2","23,2",23,89,88,88,226,"2,5",",8",
