DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2014-10-05,00:00,0,"994,9","994,9","994,6",-9999,"22,9","19,4","23,4","22,8","20,3","19,4",85,80,81,310,"1,6",0
2014-10-05,01:00,0,"995,4","995,5","994,9",-9999,"22,4","18,7","22,9","22,4","19,6","18,6",82,79,79,15,",5",0
2014-10-05,02:00,0,"996,4","996,4","995,4",-9999,"22,3","18,7","22,4","22,1",19,"18,5",82,79,80,134,",7",0
2014-10-05,03:00,0,"997,3","997,3","996,4",-9999,"22,3","19,1","22,3",22,"19,4","18,4",84,80,82,29,",6",0
2014-10-05,04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014-10-05,05:00,0,"996,7","997,2","996,7",-9999,"22,4","18,7","22,5","22,3","19,3","18,5",82,79,80,101,"1,2",",3"
2014-10-05,06:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014-10-05,07:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014-10-05,08:00,0,"995,9","996,3","995,8",-9999,22,"18,3","22,2",22,"19,1","18,2",84,79,79,100,"1,7",",2"
2014-10-05,09:00,0,"995,9","995,9","995,7",-9999,"21,8","20,2",22,"21,8","20,3","17,8",91,78,91,125,",9",0
2014-10-05,10:00,0,"996,6","996,6","995,9",-9999,"21,7","17,1","21,8","21,7","20,4","17,1",92,75,75,162,"1,7",0
2014-10-05,11:00,0,"997,2","997,2","996,6","46,2",22,"16,8",22,"21,5","17,6","16,7",80,72,72,138,"1,8",0
2014-10-05,12:00,0,"998,2","998,2","997,2",350,"22,6",17,"22,6",22,"17,3","16,1",77,69,71,169,"2,1",",2"
2014-10-05,13:00,0,"999,3","999,3","998,2","528,6",23,"16,9","23,2","22,3","19,3","16,5",87,68,68,151,"2,5",0
2014-10-05,14:00,0,"999,6","999,7","999,3","1404,7","26,2","17,9","26,2",23,"17,9","16,4",69,59,61,89,"1,8",",1"
2014-10-05,15:00,0,"999,6","999,7","999,6","2916,9","27,4","17,5","28,5","26,2","18,3","15,8",60,50,55,75,"3,2",",7"
2014-10-05,16:00,0,999,"999,7",999,"3164,4","29,8","16,9","30,2","27,5","18,8","16,9",57,45,46,72,"4,8","1,7"
2014-10-05,17:00,0,"997,9",999,"997,9","2730,4","29,9",18,"29,9","28,7","18,8","16,1",54,46,49,91,"5,4","2,4"
2014-10-05,18:00,0,"995,9","997,9","995,9","3025,4","30,8","16,6",31,29,"18,1","15,4",51,39,42,109,"6,2","1,8"
2014-10-05,19:00,0,"994,1","995,9","994,1","2232,1","30,3","15,9","31,1","29,9","17,1",15,46,38,42,87,"4,9","1,1"
2014-10-05,20:00,0,"993,1","994,1","993,1","2213,7","31,5","15,7","31,7","30,2","16,8","14,5",43,37,39,352,"4,3",",8"
2014-10-05,21:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014-10-05,22:00,",2","992,7","992,8","992,5","109,1","25,9","18,6","28,2","25,9","19,6","17,3",66,51,64,39,"7,2",1
2014-10-05,23:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014-10-26,00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014-10-26,01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014-10-26,02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014-10-26,03:00,",2","996,4","996,5","996,3",-9999,"22,5","20,1","23,1","22,5","20,9",20,89,85,86,38,"1,4",0
2014-10-26,04:00,0,"996,5","996,6","996,4",-9999,"22,7","20,5","22,7","22,5","20,7",20,89,86,88,349,",9",",1"
2014-10-26,05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014-10-26,06:00,0,"995,3",996,"995,3",-9999,"22,6","19,7","22,7","22,5","20,6","19,5",88,83,84,77,"1,6",",5"
2014-10-26,07:00,",2","994,6","995,3","994,6",-9999,"22,6","20,2","22,6","22,4","20,2","19,5",87,83,86,14,"2,1",",3"
2014-10-26,08:00,0,"994,3","994,6","994,3",-9999,"22,4","19,7","22,6","22,4",20,"19,6",86,84,85,56,"1,7",",4"
2014-10-26,09:00,0,"994,5","994,6","994,3",-9999,"22,5","20,3","22,5","22,4","20,5","19,7",88,84,87,348,"1,8",",4"
2014-10-26,10:00,0,"994,7","994,7","994,4",-9999,"22,6","20,6","22,6","22,5","20,7","20,3",89,87,88,19,"1,8",",2"
2014-10-26,11:00,0,"995,3","995,3","994,7","40,2","22,9","20,5","22,9","22,6","20,8","20,3",89,86,86,8,"2,2",",2"
2014-10-26,12:00,0,"996,2","996,2","995,3","312,6","23,6","20,9","23,6","22,9","21,2","20,2",88,84,85,71,"2,1",",4"
2014-10-26,13:00,0,"996,8","996,8","996,2","627,5","24,2",19,"24,4","23,2","20,9","18,4",87,70,73,255,"2,1",",2"
2014-10-26,14:00,0,"996,6","996,8","996,6","969,8","25,9","20,3","25,9","24,2","21,5","19,2",84,70,71,222,"2,2",",5"
2014-10-26,15:00,0,"996,8","996,8","996,6","1751,8","26,4","20,6","26,8","25,9","21,1",20,73,67,71,263,"3,2",",5"
2014-10-26,16:00,0,"996,3","996,8","996,3","3135,2","29,2","20,7","29,7","26,4","21,8","19,2",72,56,60,294,"2,9",",9"
2014-10-26,17:00,0,"995,5","996,4","995,5","2879,1","29,4","19,4","30,3","28,3","21,2","18,9",62,53,55,228,"3,7","1,2"
2014-10-26,18:00,0,"994,3","995,5","994,3","2400,3","30,7",19,"30,7","29,1","19,8","17,7",56,47,50,69,"3,3",",2"
2014-10-26,19:00,0,"992,6","994,3","992,6","2837,4","30,4","18,9","31,8","29,7","20,2","17,3",55,45,50,305,"3,2",",6"
2014-10-26,20:00,0,"991,4","992,6","991,4","2365,9","31,1","17,3","31,3","30,4","20,9","15,1",56,38,44,195,"4,4","1,7"
