DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2014-10-05,00:00,0,"1004,3","1004,3","1002,7",-9999,"25,5","22,6","27,1","25,5",23,"21,7",84,77,84,100,"6,7","3,3",
2014-10-05,01:00,"4,4","1005,2","1005,3","1004,3",-9999,"23,6","22,1","25,5","23,6","23,1","22,1",92,84,91,303,"6,7",",5",
2014-10-05,02:00,",6","1005,9","1005,9","1005,2",-9999,"23,4","22,1","23,6","23,3","22,2","21,8",92,91,92,211,"3,5",0,
2014-10-05,03:00,"1,2","1006,1","1006,1","1005,9",-9999,"23,3",22,"23,5","23,3","22,2","21,9",93,92,92,265,"1,1",",1",
2014-10-05,04:00,",6","1005,8","1006,1","1005,8",-9999,"23,3","22,1","23,5","23,3","22,3",22,93,92,93,274,"1,6",",4",
2014-10-05,05:00,0,"1004,6","1005,8","1004,6",-9999,"23,3","22,2","23,4","23,3","22,2","22,1",93,93,93,301,2,",1",
2014-10-05,06:00,",4","1004,6","1004,7","1004,5",-9999,"23,8","22,7","23,8","23,3","22,7","22,2",94,93,94,29,3,"1,9",
2014-10-05,07:00,"2,6",1004,"1004,6","1003,9",-9999,"23,9","22,5","24,2","23,8",23,"22,4",94,91,91,37,"3,9","1,1",
2014-10-05,08:00,",6","1003,8",1004,"1003,6",-9999,"23,6","22,6","23,9","23,6","22,7","22,4",94,91,94,182,"2,5",0,
2014-10-05,09:00,0,"1004,2","1004,2","1003,8",-9999,"23,5","22,4","23,6","23,5","22,6","22,4",94,94,94,289,"2,7",",3",
2014-10-05,10:00,",2","1005,5","1005,5","1004,2",-9999,"23,5","22,5","23,5","23,1","22,5","22,1",94,94,94,26,"2,1",0,
2014-10-05,11:00,0,"1006,3","1006,3","1005,5","97,2",24,"22,8",24,"23,5","22,8","22,4",94,92,93,134,"1,8",",8",
2014-10-05,12:00,0,"1006,8","1006,8","1006,3","437,4","24,6","23,1","24,7","23,9","23,2","22,6",93,90,91,124,"2,9","1,4",
2014-10-05,13:00,0,"1006,8","1006,9","1006,6","817,8",25,"22,4",25,"24,3","23,4","22,4",92,85,86,193,"3,4",",9",
2014-10-05,14:00,0,"1006,7","1006,9","1006,7","2552,3","27,8","22,5","28,2",25,"23,4","22,1",87,71,73,19,"2,2",",7",
2014-10-05,15:00,0,"1006,1","1006,7","1006,1","2888,8","29,5","23,1","30,2","27,6","23,7","22,3",75,65,69,194,"3,3","1,6",
2014-10-05,16:00,0,"1005,5","1006,1","1005,5",3050,"30,7","22,7","31,2","29,2","23,7",21,70,56,62,91,"4,3","2,1",
2014-10-05,17:00,0,"1004,6","1005,5","1004,6","3677,8","31,6","20,5","32,4","30,1","22,9","20,5",63,51,52,46,"4,2","1,9",
2014-10-05,18:00,0,"1002,9","1004,6","1002,9","3501,6","32,5","21,3",33,"31,2","22,5","20,5",57,49,52,20,"4,8","1,3",
2014-10-05,19:00,0,"1000,8","1002,9","1000,8","2816,5","32,7","19,8","33,2","32,1",22,"19,8",54,47,47,11,"4,4","1,5",
2014-10-05,20:00,0,"1000,7","1000,8","1000,4","2207,5","30,1","20,3","33,7","30,1","21,2","19,3",57,43,56,35,"10,6","5,4",
2014-10-05,21:00,0,"1000,3","1000,7",1000,738,"29,8","21,1","30,1","28,2","21,4","20,1",64,55,60,43,"10,6",2,
2014-10-05,22:00,0,"1000,8","1000,8",1000,"358,7","27,3","22,7","29,9","27,3","22,7",21,76,59,76,35,"4,8","2,9",
2014-10-05,23:00,0,"1002,2","1002,2","1000,8",-9999,"26,6","23,5","27,3","26,6","23,5","22,7",83,76,83,79,"4,8","1,4",
2014-10-26,00:00,0,"1002,6","1002,6","1001,1",-9999,"23,6","22,1","24,2","23,5","22,4","21,9",92,88,92,270,"1,8",0,
2014-10-26,01:00,0,"1004,1","1004,1","1002,6",-9999,"24,4","22,9","24,4","23,6","22,9","22,2",92,91,91,332,"1,8",",5",
2014-10-26,02:00,0,"1004,5","1004,5","1004,1",-9999,"23,5","22,4","24,4","23,5","22,9","22,4",94,91,94,352,"1,5",0,
2014-10-26,03:00,0,"1004,4","1004,5","1004,3",-9999,"23,5","22,5","23,6","23,1","22,7",22,95,93,94,236,",6",",3",
2014-10-26,04:00,0,1004,"1004,6",1004,-9999,"23,3","22,4","23,6","23,2","22,6","22,2",95,94,95,88,",9",",6",
2014-10-26,05:00,0,"1003,2",1004,"1003,2",-9999,"23,4","22,5","23,5","23,3","22,6","22,4",95,95,95,221,",9",",5",
2014-10-26,06:00,0,"1002,9","1003,2","1002,9",-9999,"23,3","22,4","23,5","23,3","22,5","22,4",95,94,94,353,1,0,
2014-10-26,07:00,0,"1002,8",1003,"1002,7",-9999,"23,5","22,6","23,5","23,3","22,6","22,4",95,94,95,76,1,",5",
2014-10-26,08:00,0,"1002,9",1003,"1002,8",-9999,"23,5","22,5","23,5","23,4","22,6","22,5",95,94,94,142,"1,5",0,
2014-10-26,09:00,0,"1003,3","1003,3","1002,9",-9999,"23,7","22,7","23,8","23,5","22,8","22,5",94,94,94,92,",6",0,
2014-10-26,10:00,0,"1003,5","1003,5","1003,3","1,3","23,8","22,7","23,8","23,7","22,8","22,7",94,93,93,347,"1,2",0,
2014-10-26,11:00,0,"1004,1","1004,1","1003,5","136,8","24,4",23,"24,4","23,8",23,"22,5",93,92,92,33,"1,4",",1",
2014-10-26,12:00,0,"1005,2","1005,2","1004,1","587,7",26,"23,7",26,"24,4","23,7",23,92,87,87,28,"2,8",1,
2014-10-26,13:00,0,"1005,3","1005,4","1005,2","546,2","25,5",23,"26,3","25,5","23,7","22,9",87,83,86,71,"6,8","3,6",
2014-10-26,14:00,",2","1005,3","1005,3","1005,2","1917,3","27,2","23,5","27,3","25,5","24,5","22,7",89,77,80,32,"6,8","2,5",
2014-10-26,15:00,0,"1004,5","1005,3","1004,5","1853,1","29,1","22,7","29,2","27,2","23,9","22,4",81,68,69,46,"5,5","3,1",
2014-10-26,16:00,0,"1003,6","1004,5","1003,6",3078,"31,3","21,6","31,5","29,1","23,6","21,5",72,56,57,339,"5,6","2,1",
2014-10-26,17:00,0,"1002,2","1003,6","1002,2","3373,6",32,"22,1",32,"30,7","23,2",21,63,55,56,55,"5,2","1,2",
2014-10-26,18:00,0,"1000,9","1002,2","1000,9",2899,"32,6","21,3",33,"30,8",23,"20,8",59,50,51,331,"4,9","2,1",
2014-10-26,19:00,0,"999,7","1000,9","999,7","2632,6","32,6",21,"33,1","31,5","22,2","20,4",56,48,51,351,"6,1","2,2",
2014-10-26,20:00,0,"998,8","999,7","998,8","1912,1","32,3","21,6","33,2",32,"21,9","20,4",54,49,53,348,"4,7","1,4",
2014-10-26,21:00,0,"998,6","998,8","998,5","1186,6","30,9",22,"32,6","30,9","22,2","20,6",60,49,59,27,"5,4","3,1",
2014-10-26,22:00,0,"999,5","999,5","998,6","150,4","28,9","22,8","30,9","28,9","22,9","21,7",70,59,70,43,"5,2","1,1",
2014-10-26,23:00,0,"1000,2","1000,2","999,5",-9999,"27,2","23,2","28,9",27,24,"22,8",84,70,79,197,"5,1","1,9",
