DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2014-10-05,00:00,",6","1006,2","1006,2","1004,9",-9999,"23,5","22,3","23,9","23,5","22,4","22,2",93,91,93,150,"4,6",",2",
2014-10-05,01:00,",4","1007,4","1007,4","1006,2",-9999,"23,6","22,3","23,8","23,5","22,5","22,2",93,92,93,197,"2,9","1,3",
2014-10-05,02:00,",2","1008,2","1008,2","1007,4",-9999,"23,3","22,2","23,6","23,3","22,4","22,2",94,93,94,129,"2,9",",5",
2014-10-05,03:00,",2","1007,9","1008,4","1007,9",-9999,"23,3","22,1","23,5","23,3","22,4","22,1",94,93,93,195,"1,4",",5",
2014-10-05,04:00,0,"1007,4","1007,9","1007,4",-9999,"23,1","21,9","23,4","23,1","22,2","21,9",93,93,93,191,"2,3",",9",
2014-10-05,05:00,",2","1006,4","1007,4","1006,4",-9999,"23,2",22,"23,2",23,"22,1","21,8",93,93,93,183,"3,5",",8",
2014-10-05,06:00,0,1006,"1006,4","1005,9",-9999,23,22,"23,2",23,"22,1","21,9",94,93,94,187,2,",2",
2014-10-05,07:00,0,"1005,6",1006,"1005,6",-9999,23,22,"23,1",23,22,"21,9",94,94,94,185,"1,3",",5",
2014-10-05,08:00,0,"1005,3","1005,6","1005,3",-9999,"22,7","21,8",23,"22,6","21,9","21,7",94,94,94,206,"1,9",",1",
2014-10-05,09:00,0,"1005,4","1005,4","1005,2",-9999,"22,5","21,6","22,7","22,5","21,8","21,6",95,94,95,138,",9",0,
2014-10-05,10:00,0,"1005,9","1005,9","1005,4",-9999,"22,2","21,4","22,5","22,2","21,6","21,4",95,95,95,119,"1,1",",4",
2014-10-05,11:00,0,"1006,9","1006,9","1005,9",175,"23,4","22,5","23,4","22,2","22,5","21,4",95,95,95,121,1,",1",
2014-10-05,12:00,0,"1007,4","1007,4","1006,9","745,6","24,8",22,"24,9","23,4",23,22,95,85,85,131,"4,3","2,2",
2014-10-05,13:00,0,"1007,9","1007,9","1007,4","1571,5","27,7","22,3","27,8","24,8","23,3","22,1",86,72,72,131,"4,7","2,7",
2014-10-05,14:00,0,"1008,2","1008,2","1007,9","2087,1","30,2","22,8","30,2","27,7","23,1","21,6",74,62,65,89,"4,7",",8",
2014-10-05,15:00,0,"1007,7","1008,2","1007,7","2403,5","31,4","22,4","31,6","29,5",24,"21,7",67,59,59,49,"5,7","2,4",
2014-10-05,16:00,0,"1006,9","1007,7","1006,9","2924,4","32,2","21,7",33,"30,3","23,3","21,4",64,53,54,37,"6,4","3,5",
2014-10-05,17:00,0,"1005,7","1006,9","1005,7","3792,6","32,5",22,"34,2","31,8","24,1","21,1",57,50,54,43,"6,7","2,4",
