DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2014-10-05,00:00,0,"1005,1","1005,1","1004,1",-9999,"24,7","22,6","24,9","24,6","22,8","21,8",89,83,88,252,"3,7",",9"
2014-10-05,01:00,0,1006,1006,"1005,2",-9999,"24,8","22,7","24,8","24,5","22,8","22,5",89,88,88,235,"1,7",",6"
2014-10-05,02:00,0,"1006,8","1006,8",1006,-9999,"25,1","22,8","25,1","24,8","22,8","22,4",88,86,87,203,"2,8","1,2"
2014-10-05,03:00,0,"1007,3","1007,3","1006,8",-9999,"25,1","22,4","25,1",25,"22,8","22,4",87,85,85,223,"2,8",1
2014-10-05,04:00,0,"1006,8","1007,3","1006,8",-9999,"24,6",23,"25,1","24,6","23,1","22,4",91,85,91,208,"3,6","1,2"
2014-10-05,05:00,0,"1005,8","1006,8","1005,8",-9999,"24,6","22,7","24,6","24,5",23,"22,7",91,89,89,229,3,"1,3"
2014-10-05,06:00,0,"1005,3","1005,8","1005,3",-9999,"24,7","23,2","24,8","24,6","23,2","22,6",91,88,91,235,"2,9","1,3"
2014-10-05,07:00,0,1005,"1005,4",1005,-9999,"24,9","23,2","24,9","24,7","23,3","23,1",91,90,90,272,3,"1,4"
2014-10-05,08:00,0,1005,"1005,1","1004,9",-9999,"24,8","23,3",25,"24,8","23,4","23,2",91,90,91,218,"3,7","1,3"
2014-10-05,09:00,0,"1005,2","1005,2",1005,-9999,"24,6","23,1","24,8","24,5","23,3","23,1",92,91,91,228,"3,8","1,5"
2014-10-05,10:00,0,"1005,9","1005,9","1005,2","3,7","24,5","22,9","24,6","24,5","23,1","22,9",91,91,91,201,"3,2","1,1"
2014-10-05,11:00,0,1007,1007,"1005,9","375,5",25,"22,7","25,3","24,5","23,1","22,6",91,86,87,176,"3,8","1,9"
2014-10-05,12:00,0,"1007,8","1007,8",1007,"468,6","25,1","22,9","25,4","24,8",23,"22,5",88,86,88,197,"3,7","1,5"
2014-10-05,13:00,0,"1008,4","1008,4","1007,8",730,"26,1",23,"26,1","25,1","23,2","22,4",88,82,83,143,"3,1","1,1"
2014-10-05,14:00,0,"1008,3","1008,5","1008,3","1504,2","27,9","23,4","28,3","26,1",24,"22,7",83,75,77,150,4,"1,7"
2014-10-05,15:00,0,"1008,2","1008,4","1008,2","2195,7","28,4","23,1","29,2","27,1",24,"22,7",79,72,73,113,"5,7","2,4"
2014-10-05,16:00,0,"1006,8","1008,2","1006,8","3419,4",30,"23,8","30,4","28,2","24,6","22,9",75,67,69,130,"5,7",2
2014-10-05,17:00,0,"1005,5","1006,8","1005,5","3254,1","31,2","23,6","31,7","29,7","24,3","22,5",70,62,64,126,"6,4","2,1"
2014-10-05,18:00,0,"1003,9","1005,5","1003,9","2742,9","31,5","22,8","32,6","30,6","24,1","22,3",66,58,60,123,"5,2","2,5"
2014-10-05,19:00,0,"1002,5","1003,9","1002,5",2148,"31,8","22,3","32,5","31,5","23,4","22,1",61,56,57,139,"6,1","2,9"
2014-10-05,20:00,0,"1001,7","1002,5","1001,7","1577,6","32,1","22,2","32,7","31,8","22,9",22,58,55,56,138,"5,6",2
2014-10-05,21:00,0,"1001,7","1001,7","1001,4","900,3","31,3",22,"32,1","31,1","23,5",22,61,56,58,123,"5,2","2,8"
2014-10-05,22:00,0,"1002,3","1002,3","1001,7","125,6",30,"22,4","31,4",30,"22,4","21,8",64,58,64,117,"4,4","1,5"
2014-10-05,23:00,0,"1003,4","1003,4","1002,2",-9999,"29,3","23,3",30,29,"23,3","22,3",70,64,70,116,"2,9",",6"
2014-10-26,00:00,"1,4","1005,4","1005,4","1004,1",-9999,25,"22,6","25,3",25,"22,9","22,3",87,84,87,235,"3,4","1,6"
2014-10-26,01:00,",8","1006,1","1006,1","1005,4",-9999,25,23,25,"24,9","23,1","22,5",89,86,89,227,"2,9","1,2"
2014-10-26,02:00,",2","1006,5","1006,5","1006,1",-9999,"24,8","23,2","25,1","24,8","23,4",23,91,89,91,204,"3,1",",8"
2014-10-26,03:00,0,1006,"1006,5",1006,-9999,"24,7","23,4","24,8","24,6","23,4","23,1",92,91,92,223,3,",6"
2014-10-26,04:00,0,"1005,5",1006,"1005,5",-9999,"24,5",23,"24,7","24,4","23,4","22,9",92,91,91,186,3,1
2014-10-26,05:00,0,"1004,8","1005,5","1004,8",",1","24,2","22,7","24,5","24,1",23,"22,6",91,91,91,224,"2,7",",8"
2014-10-26,06:00,0,"1004,4","1004,8","1004,4",-9999,"24,1","22,7","24,2",24,"22,7","22,6",92,91,92,207,"3,2","1,1"
2014-10-26,07:00,",2",1004,"1004,4",1004,-9999,"23,9","22,7","24,1","23,8","22,7","22,6",93,92,93,192,"3,5","1,4"
2014-10-26,08:00,0,"1003,8",1004,"1003,7",-9999,24,"22,7","24,1","23,9","22,8","22,6",93,92,92,172,"4,5","2,1"
2014-10-26,09:00,0,"1004,2","1004,2","1003,8",-9999,24,"22,6","24,1","23,9","22,7","22,5",92,91,91,166,"4,4","1,7"
