DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2014-10-05,00:00,0,"1007,2","1007,2","1006,1",-9999,"25,6","24,2","26,3","25,6","24,4",24,92,87,92,186,"2,4","1,1"
2014-10-05,01:00,0,"1008,1","1008,1","1007,2",-9999,"25,2","23,8","25,6","25,2","24,2","23,8",93,92,92,207,"2,1","1,1"
2014-10-05,02:00,0,"1008,9","1008,9","1008,1",-9999,"25,3","23,4","25,3","25,1","23,8","23,4",92,89,89,213,"2,1",",6"
2014-10-05,03:00,0,"1009,1","1009,2","1008,9",-9999,"24,8","23,4","25,3","24,7","23,4","23,2",92,89,92,213,"1,6",",4"
2014-10-05,04:00,0,"1008,4","1009,1","1008,4",-9999,"24,8","23,6","24,9","24,8","23,7","23,5",93,92,93,199,"1,6",",7"
2014-10-05,05:00,0,"1007,7","1008,4","1007,7",-9999,"24,4","23,4","24,8","24,4","23,5","23,3",94,93,94,200,2,",9"
2014-10-05,06:00,0,"1007,5","1007,7","1007,4",-9999,"24,4","23,4","24,4","24,3","23,4","23,3",94,94,94,222,2,",7"
2014-10-05,07:00,0,"1007,1","1007,5",1007,-9999,"24,3","23,4","24,4","24,3","23,4","23,3",94,94,94,225,"3,1",",9"
2014-10-05,08:00,0,"1007,3","1007,3",1007,-9999,"24,2","23,2","24,3","24,2","23,4","23,2",94,94,94,215,"3,7","1,5"
2014-10-05,09:00,0,"1007,7","1007,7","1007,3",-9999,"24,3","23,3","24,3","24,2","23,3","23,1",94,94,94,233,4,",5"
2014-10-05,10:00,0,"1008,4","1008,5","1007,7",7,"24,5","23,2","24,5","24,3","23,4","23,1",94,92,92,208,"2,5","1,5"
2014-10-05,11:00,0,"1009,1","1009,1","1008,4","181,1","24,7","23,3","24,7","24,4","23,4",23,93,92,92,213,"4,1","1,1"
2014-10-05,12:00,0,1010,1010,1009,"578,5","25,9","23,7","25,9","24,7","23,8","23,2",92,86,87,216,"3,6","1,3"
2014-10-05,13:00,0,"1010,6","1010,6",1010,"1264,3","28,5","24,1","28,5",26,"24,4","23,4",88,76,77,241,"3,1",",8"
2014-10-05,14:00,0,"1010,6","1010,7","1010,5","1961,3","29,4","23,7","29,9","27,5","24,7",23,80,71,72,15,"2,6",",6"
2014-10-05,15:00,0,"1009,8","1010,6","1009,8","1878,3","30,6","23,5",31,29,25,"22,5",77,62,66,123,"2,9","1,5"
2014-10-05,16:00,0,"1008,7","1009,8","1008,7","3129,3","32,4","23,4","32,5","30,3","24,7","22,7",67,58,59,111,"4,6","1,8"
2014-10-05,17:00,0,"1007,1","1008,7","1007,1","2852,9","33,2","22,8","33,2","31,5","24,2","22,2",63,54,55,78,"4,6","1,2"
2014-10-05,18:00,0,"1005,9","1007,1","1005,8","2573,7","34,1","21,3","34,2","31,8",24,"21,3",60,47,48,95,"5,5","2,3"
2014-10-05,19:00,0,"1004,6","1005,9","1004,5","2126,5","33,8","22,5","34,2","32,4","23,4",21,56,47,52,141,"5,5","1,2"
2014-10-05,20:00,0,1004,"1004,6","1003,9",1452,"32,8","21,6",34,"32,8","22,4","21,3",53,48,52,119,"3,8","1,4"
2014-10-05,21:00,0,"1003,5",1004,"1003,5","390,1","31,8","22,6","32,9","31,8","22,8","21,3",59,51,58,139,"3,1",",8"
2014-10-05,22:00,0,"1004,2","1004,2","1003,5","76,2","30,1","23,1","31,9","30,1","23,1","22,3",66,57,66,108,"2,4",",1"
2014-10-05,23:00,0,"1005,3","1005,3","1004,2",-9999,"28,3","23,2","30,1","28,3","23,3",23,74,66,74,89,1,0
2014-10-26,00:00,0,1007,"1007,1","1005,8",-9999,25,"23,5","25,2","24,9","23,6","23,2",91,89,91,218,"1,3",",6"
2014-10-26,01:00,0,"1008,2","1008,2",1007,-9999,"25,1","23,4","25,2","24,9","23,6","23,3",91,90,90,224,"2,6",",8"
2014-10-26,02:00,0,"1008,5","1008,7","1008,2",-9999,"24,9","23,4","25,2","24,9","23,4","23,3",91,90,91,214,"2,2","1,4"
2014-10-26,03:00,0,"1008,5","1008,7","1008,4",-9999,"24,6","22,9","24,9","24,6","23,4","22,9",92,90,90,215,"3,4","1,4"
2014-10-26,04:00,0,1008,"1008,5",1008,-9999,"24,4",23,"24,6","24,4",23,"22,8",92,90,92,204,3,"1,4"
2014-10-26,05:00,0,1007,1008,1007,-9999,"24,3","22,9","24,5","24,3","23,1","22,9",92,92,92,185,"3,3","1,6"
2014-10-26,06:00,0,"1006,1",1007,"1006,1",-9999,"24,1","22,7","24,4","24,1",23,"22,7",92,91,92,224,"3,3",",6"
2014-10-26,07:00,0,"1005,5","1006,1","1005,5",-9999,"23,7","22,5","24,1","23,7","22,7","22,5",93,92,93,257,"1,8",",3"
2014-10-26,08:00,0,"1005,8","1005,8","1005,5",-9999,"23,8","22,6","23,8","23,7","22,6","22,5",93,93,93,279,"1,6",",2"
2014-10-26,09:00,0,"1006,4","1006,4","1005,8",-9999,"23,9","22,7",24,"23,8","22,8","22,6",93,93,93,226,"1,8",",2"
2014-10-26,10:00,0,"1006,9","1006,9","1006,4",9,"23,7","22,5","23,9","23,7","22,7","22,5",93,93,93,223,"1,6",",2"
2014-10-26,11:00,0,"1007,9","1007,9","1006,9","235,6","24,5",23,"24,5","23,7",23,"22,5",93,91,91,209,"2,3","1,2"
2014-10-26,12:00,0,"1008,9","1008,9","1007,9",517,25,"22,9",25,"24,4","23,1","22,6",91,88,88,203,"2,7","1,1"
2014-10-26,13:00,0,"1009,6","1009,6","1008,9",942,"26,7","22,9",27,"24,9","23,7","22,8",89,79,79,128,"3,1","1,2"
2014-10-26,14:00,0,"1009,5","1009,7","1009,5",1674,"28,6","23,6","28,6","26,7","23,7","22,4",81,71,74,78,"3,1",1
2014-10-26,15:00,0,"1008,7","1009,5","1008,7","1778,5","28,6","22,5","29,4","27,9","23,5","22,3",75,68,70,44,"4,1","1,5"
2014-10-26,16:00,0,"1008,1","1008,7","1008,1","1428,5","28,9","23,1",29,28,"23,4","21,7",75,65,71,81,"3,9",1
2014-10-26,17:00,0,1007,"1008,1",1007,"1518,5",29,"22,8","29,5","28,4","23,6","22,5",73,68,69,3,"2,8","1,1"
2014-10-26,18:00,0,"1005,8",1007,"1005,8","1032,3","29,3","23,2","29,7","28,6","23,3","22,2",71,67,70,187,"2,7",",6"
2014-10-26,19:00,0,"1004,9","1005,8","1004,9","1823,4","30,6","22,6","30,7","29,3","23,8","22,4",70,62,62,149,"2,4",",7"
2014-10-26,20:00,0,"1004,2","1004,9","1004,2","1240,4","30,4","22,5","31,6","29,3","23,5",22,67,61,63,118,"2,2",",9"
2014-10-26,21:00,0,"1003,8","1004,2","1003,8","245,5","29,6",23,"30,4","29,6","23,1","22,3",68,63,68,130,"2,8",",9"
2014-10-26,22:00,0,"1004,3","1004,3","1003,8","51,3","27,7","23,5","29,6","27,7","23,6","22,8",78,67,78,146,"2,1",",2"
2014-10-26,23:00,0,1005,1005,"1004,3",-9999,"26,7","23,9","27,7","26,5","23,9","23,4",85,78,85,110,1,",1"
