DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2014-10-05,00:00,0,"1006,9","1006,9","1005,6",-9999,"24,2","23,8","24,7","24,2","24,2","23,8",98,97,98,321,0,0,
2014-10-05,01:00,0,"1007,5","1007,5","1006,9",-9999,24,"23,6","24,3","23,9","23,9","23,6",98,98,98,321,0,0,
2014-10-05,02:00,0,1008,1008,"1007,4",-9999,"23,8","23,5","24,1","23,7","23,8","23,4",98,98,98,66,0,0,
2014-10-05,03:00,0,"1008,4","1008,4",1008,-9999,"23,8","23,5","24,3","23,7","23,9","23,4",98,98,98,275,0,0,
2014-10-05,04:00,0,1008,"1008,4",1008,-9999,"23,6","23,3","23,9","23,6","23,6","23,3",98,98,98,256,0,0,
2014-10-05,05:00,0,"1007,2",1008,"1007,2",-9999,24,"23,7","24,2","23,6",24,"23,3",98,98,98,175,",8",0,
2014-10-05,06:00,0,"1006,7","1007,2","1006,7",-9999,"23,6","23,4","24,1","23,5","23,8","23,2",98,98,98,309,0,0,
2014-10-05,07:00,0,"1006,6","1006,8","1006,6",-9999,"23,5","23,2","23,7","23,4","23,4","23,1",98,98,98,135,0,0,
2014-10-05,08:00,0,"1006,9","1006,9","1006,6",-9999,"23,4","23,1","23,5","23,1","23,2","22,8",99,98,99,272,",1",0,
2014-10-05,09:00,0,"1007,3","1007,3","1006,9",-9999,"23,3","23,1","23,5","23,2","23,2",23,99,99,99,180,0,0,
