DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2014-10-05,00:00,0,"1002,6","1002,6","1001,6","603,7","24,5","23,1","25,1","24,5","23,4",23,92,90,92,300,"1,4",0,
2014-10-05,01:00,0,1004,1004,"1002,6","633,7","24,4","23,1","24,5","24,3","23,1",23,93,92,92,12,"1,6",",1",
2014-10-05,02:00,0,"1004,7","1004,7",1004,"710,5","24,3",23,"24,4","24,1","23,1","22,8",93,92,93,344,"1,4",0,
2014-10-05,03:00,0,"1004,6","1004,9","1004,5","852,5","24,2","22,9","24,4","24,2","23,1","22,9",93,92,93,349,"2,5",",7",
2014-10-05,04:00,0,"1003,7","1004,6","1003,7","922,2","24,1","22,9","24,3","24,1",23,"22,8",93,92,93,179,"2,5",",1",
2014-10-05,05:00,0,"1003,2","1003,7","1003,2","1005,3",24,"22,8","24,1","23,9","22,9","22,7",93,93,93,182,",9",",1",
2014-10-05,06:00,0,"1002,9","1003,2","1002,8","1092,1","23,8","22,7",24,"23,7","22,8","22,6",93,93,93,237,",9",0,
2014-10-05,07:00,0,"1002,4","1002,9","1002,4","1196,5","23,9","22,8","24,1","23,8",23,"22,7",94,93,94,273,",7",0,
2014-10-05,08:00,0,"1002,6","1002,6","1002,3","1320,3","23,9",23,24,"23,9",23,"22,8",94,94,94,195,",8",0,
2014-10-05,09:00,0,"1003,2","1003,2","1002,6","1431,3",24,23,24,"23,9","23,1","22,9",94,94,94,264,",9",0,
