DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2014-10-05,00:00,0,"1006,4","1006,4","1005,3",-9999,"24,4","23,6","24,9","24,3","23,7","23,4",95,93,95,159,"1,9",",3",
2014-10-05,01:00,0,"1007,9","1007,9","1006,4",-9999,"24,1","23,5","24,4","24,1","23,6","23,4",96,95,96,134,"1,5",",1",
2014-10-05,02:00,0,"1008,3","1008,3","1007,7",-9999,24,"23,4","24,2","23,9","23,6","23,4",97,96,97,126,"1,3",0,
2014-10-05,03:00,0,"1008,1","1008,4","1008,1",-9999,"23,4","22,8",24,"23,4","23,5","22,8",97,97,97,165,",7",0,
2014-10-05,04:00,0,"1007,9","1008,1","1007,7",-9999,"23,6","23,3","23,6","23,3","23,3","22,8",98,97,98,140,"1,3",0,
2014-10-05,05:00,0,"1007,3",1008,"1007,3",-9999,"23,4","23,1","23,6","23,4","23,3","23,1",98,98,98,158,"1,4",",3",
2014-10-05,06:00,0,"1006,5","1007,3","1006,5",-9999,"23,1","22,9","23,4","23,1","23,1","22,9",99,98,99,163,"1,4",0,
2014-10-05,07:00,0,1006,"1006,5",1006,-9999,23,"22,9","23,1",23,"22,9","22,8",99,99,99,163,"1,9",",6",
2014-10-05,08:00,0,"1005,9",1006,"1005,8",-9999,"22,9","22,9",23,"22,9",23,"22,9",100,99,100,158,"2,1",",5",
2014-10-05,09:00,0,"1006,3","1006,3","1005,9",-9999,"22,8","22,8","22,9","22,8","22,9","22,8",100,100,100,164,"2,1",0,
2014-10-05,10:00,0,"1007,1","1007,1","1006,3",-9999,"22,8","22,8","22,9","22,7","22,9","22,7",100,100,100,119,1,0,
2014-10-05,11:00,0,"1007,8","1007,8","1007,1","143,5","23,5","23,5","23,5","22,7","23,5","22,7",100,100,100,95,1,",1",
2014-10-05,12:00,0,"1008,6","1008,6","1007,8","793,4",25,"24,3","25,1","23,5","24,8","23,5",100,96,96,155,"2,5",",8",
2014-10-05,13:00,0,"1009,5","1009,5","1008,6","886,2","26,1","23,9","26,1",25,"24,6","23,4",96,87,88,141,"2,6",",7",
2014-10-05,14:00,0,"1009,8","1009,9","1009,5","932,4","27,1","24,3","27,1","25,8","24,3","23,1",88,83,85,144,"2,5",",7",
2014-10-05,15:00,0,1009,"1009,8",1009,"1606,8","28,6","24,4","28,9",27,"25,1","23,1",85,74,78,105,"4,1","1,2",
2014-10-05,16:00,0,"1008,1",1009,"1008,1","2095,9","29,3","24,2","30,3",28,"25,7","23,2",79,68,74,92,"3,7",",7",
2014-10-05,17:00,"7,4","1008,3","1008,6","1007,7","1649,5","23,7","22,9","31,1","23,7","25,2","22,5",96,66,96,18,"15,7","4,1",
2014-10-05,18:00,4,"1006,5","1008,3","1006,5","191,2","23,9","23,5","24,1","23,6","23,7",23,98,96,98,138,"7,7","1,3",
