DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2014-10-05,00:00,0,"1000,3","1000,3","999,6",-9999,"23,3",22,"23,5","23,2","22,5","21,9",95,91,92,43,"2,2","1,1",
2014-10-05,01:00,0,"1001,2","1001,2","1000,3",-9999,"23,1",22,"23,3","23,1","22,1","21,9",94,92,94,279,"2,4",",4",
2014-10-05,02:00,0,"1001,6","1001,6","1001,2",-9999,"22,6","21,9","23,1","22,6","22,1","21,9",96,94,96,354,"1,5",",7",
2014-10-05,03:00,0,"1001,7","1001,7","1001,6",-9999,"22,3","21,6","22,7","22,3",22,"21,6",96,96,96,106,"1,3",",6",
2014-10-05,04:00,0,"1001,2","1001,7","1001,2",-9999,"22,2","21,7","22,5","22,2","21,9","21,6",97,96,97,93,",9",",3",
2014-10-05,05:00,0,"1000,7","1001,2","1000,7",-9999,"22,3","21,7","22,4","22,2","21,9","21,7",97,97,97,57,",9",",2",
2014-10-05,06:00,0,"1000,3","1000,7","1000,3",-9999,"22,1","21,6","22,3","22,1","21,8","21,5",97,97,97,15,"1,4",",4",
2014-10-05,07:00,0,1000,"1000,3",1000,-9999,"22,2","21,7","22,3",22,"21,8","21,5",97,97,97,315,"1,6",",9",
2014-10-05,08:00,0,1000,"1000,1","999,8",-9999,22,"21,5","22,3",22,"21,8","21,5",97,97,97,87,"1,6",",8",
2014-10-05,09:00,0,"1000,2","1000,2",1000,-9999,"22,1","21,6","22,2",22,"21,6","21,5",97,97,97,96,"1,4",",3",
2014-10-05,10:00,0,"1000,6","1000,6","1000,2",-9999,"22,2","21,7","22,4","22,1","21,8","21,6",97,97,97,157,",9",",3",
2014-10-05,11:00,0,"1001,2","1001,2","1000,6","26,4","22,4","21,9","22,4","22,1","21,9","21,6",97,97,97,307,",8",",4",
2014-10-05,12:00,0,"1002,3","1002,3","1001,2","297,5","23,6","22,6","23,6","22,4","22,6","21,9",97,94,94,57,"1,7",",8",
2014-10-05,13:00,0,"1002,9","1002,9","1002,3","1839,7","26,9","23,9",27,"23,6","24,2","22,5",94,81,84,106,"3,9",",9",
2014-10-05,14:00,0,"1003,6","1003,6","1002,9","1792,5","27,3","24,2","27,6","26,3","24,3","23,2",85,79,83,160,5,"1,8",
2014-10-05,15:00,0,"1003,5","1003,7","1003,5","1791,6","27,2","23,2","28,1",27,"24,3",23,83,78,79,180,"4,8","2,4",
2014-10-05,16:00,0,"1002,7","1003,5","1002,7","1891,6","28,6","23,4","28,6","27,2","24,2",23,80,72,74,188,"4,1","1,6",
2014-10-05,17:00,0,"1001,3","1002,7","1001,3","2251,5","29,7","23,6","29,7","28,4","24,3","22,8",75,68,70,229,"3,3",1,
2014-10-05,18:00,0,"999,5","1001,3","999,5","2835,2","31,1","23,8","31,4","29,5","24,7","23,1",72,64,65,255,"3,9",1,
2014-10-05,19:00,0,"997,4","999,5","997,4","3118,7","31,7","22,8",32,"30,7","24,6","21,8",67,55,59,141,"4,3","1,5",
2014-10-05,20:00,0,"996,5","997,4","996,5","2351,1","32,4","22,5","32,9","31,2","22,8","20,3",61,49,56,160,"3,5",",9",
2014-10-05,21:00,0,"996,1","996,6","996,1","1392,9",32,"20,8","32,7","31,7","22,2","19,7",57,47,51,118,"2,3",",8",
2014-10-05,22:00,0,"996,9","996,9","996,1","364,1","29,2","23,6","32,4","29,2","23,8","20,8",72,51,72,15,"3,7",1,
2014-10-05,23:00,0,"997,8","997,8","996,9","13,8","27,5","23,6","29,2","27,5",24,"23,4",81,72,79,18,3,",7",
2014-10-26,00:00,0,"998,7","998,7","997,1",-9999,"25,6","22,8","26,8","25,5","23,2","22,2",87,76,85,76,"2,2",",5",
