DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2018-10-07,00:00,0,"996,5","996,5","995,8",-9999,"24,4","22,1","24,9","24,4","22,1","21,7",87,83,87,39,"2,8","1,1",
2018-10-07,01:00,0,"997,2","997,2","996,5",-9999,24,"22,4","24,4",24,"22,5","22,1",91,87,91,250,"2,5",",3",
2018-10-07,02:00,0,"997,9","997,9","997,2",-9999,"23,9","22,8","24,1","23,9","22,8","22,3",94,91,94,183,"1,3",",5",
2018-10-07,03:00,0,"997,9","998,1","997,9",-9999,"24,1","22,9","24,2","23,9","22,9","22,5",94,91,93,317,"1,5",",1",
2018-10-07,04:00,0,"997,6","997,9","997,6",-9999,"23,8","22,6","24,1","23,7","22,9","22,3",93,91,93,277,"1,9",",6",
2018-10-07,05:00,0,"997,5","997,6","997,4",-9999,"23,3","22,6","23,8","23,3","22,8","22,5",96,93,96,247,"1,3",",2",
2018-10-07,06:00,0,"997,4","997,6","997,4",-9999,23,"22,5","23,3",23,"22,5","22,3",97,96,97,332,"1,1",0,
2018-10-07,07:00,0,"997,1","997,4","997,1",-9999,"23,1","22,6","23,2",23,"22,7","22,5",97,97,97,296,",9",0,
2018-10-07,08:00,0,"997,3","997,4","997,1",-9999,"22,8","22,3","23,2","22,8","22,7","22,3",97,97,97,231,"1,2",",5",
2018-10-07,09:00,0,"997,4","997,4","997,3",-9999,"22,9","22,3",23,"22,8","22,5","22,3",97,97,97,72,"1,5",",5",
2018-10-07,10:00,0,998,998,"997,4",-9999,"22,9","22,4",23,"22,8","22,5","22,3",97,97,97,47,"1,5",",6",
2018-10-07,11:00,0,"998,9","998,9",998,"39,8","23,3","22,8","23,3","22,9","22,8","22,4",97,97,97,10,"1,4",0,
2018-10-07,12:00,0,"999,9","999,9","998,9",446,"25,3","23,7","25,3","23,3","23,8","22,8",97,91,91,10,"2,5",",9",
2018-10-07,13:00,0,"1000,5","1000,5","999,9","1561,3","27,7","23,4","27,8","25,3",24,"22,9",91,76,77,307,"3,2","1,6",
2018-10-07,14:00,0,"1000,6","1000,7","1000,5","2223,8","29,4","22,5","30,4","27,5","24,1","22,5",79,64,66,355,"3,8","1,7",
2018-10-07,15:00,0,"1000,4","1000,7","1000,4","1690,3","30,4","23,3","30,9","29,1","24,3","21,9",70,65,66,308,"3,5",",9",
2018-10-07,16:00,0,"999,7","1000,4","999,7","2135,9","32,3","23,4","32,4","30,1","24,9","23,2",70,59,59,55,"3,1",",8",
2018-10-07,17:00,0,"998,4","999,7","998,4","3117,4","32,5","24,3","33,4","32,3","25,2","22,7",64,55,62,150,"4,2","1,7",
2018-10-07,18:00,0,"996,5","998,4","996,5",3137,"34,3","22,7","34,5","32,5","24,4","21,4",63,48,51,14,"5,4","1,3",
2018-10-07,19:00,0,"995,2","996,5","995,2","1683,2","31,6","23,1","34,7","31,6","24,3","21,5",61,48,61,75,"5,8","3,1",
2018-10-07,20:00,0,"994,8","995,2","994,5","1182,9","28,9","22,4","32,7","28,9","23,6","21,9",68,57,68,333,"9,4","3,6",
2018-10-07,21:00,0,"994,7","994,8","994,5","264,4","26,2","21,6","28,9","26,2","22,5","21,4",76,68,76,271,"7,1","2,5",
2018-10-07,22:00,0,"995,1","995,1","994,5","94,9","25,7","22,4","26,2","25,7","22,4","21,7",82,76,82,240,5,",7",
2018-10-07,23:00,0,"995,7","995,7","995,1","4,2",25,"22,2","25,7",25,"22,3","21,9",85,81,85,288,"2,3","1,1",
2018-10-28,00:00,0,996,996,"994,8",-9999,27,"23,5","28,5",27,"23,8","23,4",82,75,81,74,"3,3",1,
2018-10-28,01:00,0,"996,9","996,9",996,-9999,"26,7","23,8","27,1","26,5",24,"23,4",86,81,84,58,"1,6",",5",
2018-10-28,02:00,0,"998,2","998,2","996,9",-9999,"26,4","23,9","26,7","26,2","23,9","23,7",87,84,86,24,"1,9",",8",
2018-10-28,03:00,0,"998,5","998,6","998,2",-9999,"26,1","23,6","26,4","25,9","23,9","23,6",88,86,86,8,"3,2",",6",
2018-10-28,04:00,0,"997,6","998,7","997,6",-9999,"25,7","23,7","26,1","25,7","23,7","23,5",89,86,88,340,"2,1",",4",
2018-10-28,05:00,0,"997,1","997,6","997,1",-9999,"25,4","23,6","25,8","25,4","23,9","23,6",90,88,90,336,"2,4","1,1",
2018-10-28,06:00,0,"996,8","997,1","996,8",-9999,"25,4","23,8","25,4","25,2","23,8","23,5",91,89,91,327,"2,4","1,1",
2018-10-28,07:00,0,"996,4","996,8","996,4",-9999,"24,8",24,"25,4","24,8",24,"23,7",95,90,95,193,"2,2",",3",
2018-10-28,08:00,0,"996,7","996,7","996,4",-9999,"24,3","23,7","24,8","24,3",24,"23,7",96,95,96,91,"1,8",",4",
2018-10-28,09:00,0,"997,3","997,3","996,6",-9999,"24,3","23,6","24,4","24,3","23,7","23,6",96,96,96,18,"1,2",0,
2018-10-28,10:00,0,"997,8","997,9","997,3",-9999,"23,8","23,3","24,3","23,8","23,7","23,3",97,96,97,128,"2,1",1,
2018-10-28,11:00,0,"998,4","998,4","997,8","96,7","24,3","23,7","24,3","23,8","23,7","23,3",97,96,96,145,"2,1",0,
2018-10-28,12:00,0,"998,8","998,8","998,4","831,3","26,9","24,2","26,9","24,3","24,2","23,4",96,85,85,104,"2,6","1,3",
2018-10-28,13:00,0,"998,5","998,8","998,5","1532,1","29,1","24,5","29,1","26,9","24,6","23,8",85,74,76,256,"2,9",1,
2018-10-28,14:00,0,"998,5","998,7","998,4","2301,5","31,5","25,1","31,9","29,1",26,"24,3",78,68,69,229,"2,9",",9",
2018-10-28,15:00,0,"998,3","998,6","998,3","2513,8","32,8","25,4","32,9","31,4","25,9","24,1",71,62,65,155,"3,8",1,
2018-10-28,16:00,0,"997,6","998,4","997,6","2754,9",34,24,"34,2","32,3","25,4","23,2",66,54,56,290,"4,3","1,5",
2018-10-28,17:00,0,"996,2","997,6","996,2","2696,5","34,3","21,8","34,4",33,"25,6","21,8",62,48,48,343,"4,3","1,2",
2018-10-28,18:00,0,"994,7","996,2","994,7","2652,5","33,5","24,5","35,1","31,7","24,8",22,64,48,60,288,"6,7","3,3",
2018-10-28,19:00,0,"993,7","994,7","993,7","1079,8","31,7","24,7",34,"31,5","24,7","23,4",67,57,67,300,"5,3","1,9",
2018-10-28,20:00,0,"992,9","993,7","992,9","990,9","31,4","24,5","31,7","30,7","25,3","24,2",72,66,67,269,"5,3","1,8",
