DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2018-10-07,00:00,0,"1002,3","1002,3","1001,3",0,"25,3","22,8","26,1","24,8","22,9","22,2",87,81,86,177,"1,3",0
2018-10-07,01:00,0,1003,1003,"1002,3",0,"25,2","23,1","25,4","24,7","23,2","22,4",90,86,88,265,"1,9",",5"
2018-10-07,02:00,0,"1003,2","1003,2",1003,0,"24,4","22,8","25,3","24,2","23,2","22,4",91,87,91,257,2,0
2018-10-07,03:00,0,"1003,2","1003,2",1003,0,"24,3","22,8","24,7","24,1","23,1","22,4",92,90,91,290,"1,4",",4"
2018-10-07,04:00,0,1003,"1003,3",1003,0,"24,1","22,6","24,6","24,1","22,9","22,6",92,90,92,269,"1,5",0
2018-10-07,05:00,0,"1002,6",1003,"1002,6",0,"24,2",23,"24,2","23,4",23,"22,1",94,92,93,313,"2,5","1,1"
2018-10-07,06:00,0,"1002,4","1002,7","1002,4",0,"23,8","22,5","24,2","23,8","23,1","22,4",93,92,92,332,"2,5",0
2018-10-07,07:00,0,"1002,7","1002,7","1002,4",0,"23,7","22,6","23,9","23,2","22,7",22,94,92,94,202,"1,4",",7"
2018-10-07,08:00,0,"1003,2","1003,3","1002,7",0,"23,5","22,2","23,8","23,5","22,7","22,2",94,93,93,220,2,",1"
2018-10-07,09:00,0,"1003,8","1003,8","1003,2",0,"23,7","22,6","23,7",23,"22,6","21,9",94,93,94,86,"1,5",0
2018-10-07,10:00,0,"1004,6","1004,6","1003,8",",5","24,6","23,1","24,6","23,7","23,1","22,5",94,91,91,294,"3,6","1,4"
2018-10-07,11:00,"16,8","1005,4","1005,5","1004,5","196,8","25,1","23,9","25,1","24,2","23,9","22,8",94,91,93,252,7,",6"
2018-10-07,12:00,0,"1006,2","1006,2","1005,4","689,3","26,3","22,8","26,3","25,1","24,3","22,6",93,80,81,232,"2,9","1,5"
2018-10-07,13:00,0,"1006,9","1006,9","1006,2","1290,4","27,9","22,1",28,"26,3","23,6","21,8",84,71,71,214,3,"1,4"
2018-10-07,14:00,0,"1007,1","1007,1","1006,8","1349,4","28,1",24,"28,4","27,5","24,2","22,3",81,71,79,184,"5,6","3,1"
2018-10-07,15:00,0,"1006,9","1007,2","1006,9","1779,5","28,9","23,8","29,3","28,1","24,4","23,2",80,72,74,191,"5,4","2,8"
2018-10-07,16:00,0,"1005,9","1006,9","1005,9","1760,3","29,5","24,2","29,6","28,7","24,5","23,2",76,71,73,199,"5,3","1,9"
2018-10-07,17:00,0,"1005,1",1006,"1004,9","1541,7","26,7","20,9","30,8","26,7","24,1","20,7",73,65,71,26,"12,8","4,7"
2018-10-07,18:00,0,"1003,5","1005,1","1003,5","1116,8","26,9","21,3",27,"25,1","21,6","20,6",79,71,71,6,"12,8","2,5"
2018-10-07,19:00,0,1003,"1003,6","1002,8","1145,3",27,"21,1","27,5","26,9","21,4","20,6",71,67,70,351,"6,1","1,3"
2018-10-07,20:00,0,"1002,3",1003,"1002,3","685,6","26,3","21,4",27,"26,3","22,1","21,2",78,70,75,287,"3,4","1,3"
2018-10-07,21:00,0,"1001,1","1002,3",1001,"515,5","26,9","21,7","26,9","26,3","21,9","21,1",75,72,73,255,"2,6",0
2018-10-07,22:00,0,"1001,1","1001,2","1000,9","270,2",26,"22,2","26,9",26,"22,2","21,3",80,72,80,159,"1,6",1
2018-10-07,23:00,0,"1001,7","1001,7","1000,9","2,3","24,8","22,4",26,"24,2","22,5","21,8",88,80,87,8,"1,6",",3"
2018-10-28,00:00,0,"1002,5","1002,5","1001,7",0,"26,7","25,1","26,9",26,"25,2","24,2",91,89,91,69,2,",6"
2018-10-28,01:00,0,"1003,1","1003,1","1002,5",0,"25,5","24,3","26,7","25,5","25,1","24,2",93,90,93,199,"1,4",1
2018-10-28,02:00,0,"1003,4","1003,4","1003,1",0,"24,9","23,8","25,6","24,9","24,4","23,8",94,93,94,176,"1,4",",5"
2018-10-28,03:00,0,"1003,1","1003,5","1003,1",0,25,"23,9","25,3","24,7","24,3","23,7",94,94,94,201,"1,7",1
2018-10-28,04:00,0,"1002,4","1003,1","1002,4",0,"24,7","23,7","25,2","24,7","24,1","23,7",94,94,94,209,"2,3",",3"
2018-10-28,05:00,0,"1002,7","1002,7","1002,4",0,"24,9",24,"24,9","24,4",24,"23,4",94,94,94,278,"1,5",",5"
2018-10-28,06:00,0,"1002,5","1002,7","1002,5",0,"24,8","23,8","25,1","24,8","24,1","23,8",94,94,94,338,"1,6",0
2018-10-28,07:00,0,"1002,7","1002,7","1002,4",0,"24,2","23,2","24,9",24,"23,9",23,94,94,94,325,"1,5",0
2018-10-28,08:00,0,1003,1003,"1002,7",0,"24,7","23,7","24,9",24,"23,9",23,94,94,94,59,"4,2","1,2"
2018-10-28,09:00,0,"1003,5","1003,6",1003,0,"24,8","23,8","25,1","24,6","24,1","23,6",94,94,94,69,"2,2",0
2018-10-28,10:00,0,"1003,8","1003,9","1003,5","7,9","24,6","23,6","24,8","24,5","23,8","23,5",94,94,94,263,"1,9",0
2018-10-28,11:00,0,"1004,6","1004,6","1003,7","384,3","25,9","24,8","25,9","24,5","24,9","23,5",94,94,94,228,"1,6",",6"
2018-10-28,12:00,0,"1005,1","1005,1","1004,6","1394,2","28,3","25,3","28,3","25,8","25,8","24,7",94,84,84,221,"2,8","1,7"
2018-10-28,13:00,0,"1005,1","1005,2",1005,"1878,1","30,1","24,4","30,3","28,2","25,6","24,3",84,71,72,16,"2,8",",5"
2018-10-28,14:00,0,"1004,8","1005,1","1004,8","2558,8","32,4","24,5","32,5","29,9",25,"23,7",73,62,63,329,"3,3","1,2"
2018-10-28,15:00,0,"1004,2","1004,8","1004,2","1690,2","32,2","24,1","32,6","31,1","25,1","23,2",68,61,62,252,"3,6",",9"
2018-10-28,16:00,0,"1003,9","1004,3","1003,8","2722,2","32,4","21,8","33,4","29,7",25,"21,1",63,54,54,309,"8,9","3,3"
2018-10-28,17:00,0,"1002,5","1003,9","1002,5","3147,6","32,2","23,1","32,8",31,"23,4","20,4",60,52,59,305,"7,5","2,1"
2018-10-28,18:00,0,"1001,1","1002,5","1001,1","2086,1","31,9","24,1","33,3","31,9","24,3","21,9",65,53,64,296,"4,6","1,8"
2018-10-28,19:00,0,"999,6","1001,2","999,6","977,8","30,4","23,4","31,8","30,4","24,6","23,3",69,64,66,264,"4,4","2,2"
2018-10-28,20:00,0,"999,5","999,7","999,4","880,7","30,4","23,8","30,7","30,1","24,1","23,1",68,65,68,223,"4,1","1,4"
2018-10-28,21:00,0,"999,4","999,6","999,2","662,4","30,7","24,2","30,9","30,4","24,4","23,4",70,65,68,215,"2,5",1
2018-10-28,22:00,0,"999,9","999,9","999,3","216,8","28,8","24,6","30,7","28,8","24,7","23,8",78,68,78,207,"2,5",",8"
2018-10-28,23:00,0,"1001,1","1001,1","999,9",",9","28,1","24,6","28,8","27,5","24,6","23,8",82,78,81,78,"5,5","2,3"
