DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2018-10-07,00:00,0,"990,8",991,"990,5",0,"25,4","20,4","25,8","25,4","21,1","20,4",76,73,74,208,"2,6","1,2",
2018-10-07,01:00,0,"991,9","991,9","990,8",0,"24,6","20,8","25,4","24,5",21,"20,4",80,74,79,238,"2,9",",5",
2018-10-07,02:00,0,"992,4","992,4","991,9",0,"23,7","20,9","24,6","23,7",21,"20,8",85,79,85,204,"1,8",",3",
2018-10-07,03:00,0,992,"992,4",992,0,"23,5","20,9","23,9","23,5",21,"20,8",86,84,85,201,"2,2","1,1",
2018-10-07,04:00,0,"991,4",992,"991,4",0,"23,2","20,7","23,5",23,"20,8","20,6",87,85,85,202,"2,4",1,
2018-10-07,05:00,0,"991,1","991,4","991,1",0,23,"20,7","23,3","22,9","20,8","20,6",87,85,87,201,"1,9",",1",
2018-10-07,06:00,0,991,"991,1","990,8",0,"22,4","20,6",23,"22,4","20,7","20,6",89,87,89,229,"1,7","1,1",
2018-10-07,07:00,0,"990,9",991,"990,9",0,"22,3","20,6","22,4","22,2","20,8","20,5",91,89,90,227,"1,6",",7",
2018-10-07,08:00,0,"991,3","991,3","990,9",0,"22,3","20,6","22,4","22,2","20,7","20,5",91,90,91,215,"1,4",",6",
2018-10-07,09:00,0,"991,9","991,9","991,3",0,"22,2","20,6","22,3","22,1","20,6","20,5",91,90,91,212,"1,3",",6",
2018-10-07,10:00,0,"992,8","992,8","991,9","14,2",22,"20,6","22,2","21,9","20,6","20,4",92,91,92,204,"1,2",",6",
2018-10-07,11:00,0,994,994,"992,8","303,7","23,3","20,9","23,4","21,9","21,2","20,5",92,87,87,214,"1,2",",4",
2018-10-07,12:00,0,"994,7","994,7",994,"1103,4","26,5",21,"26,8","23,3","21,9",21,87,72,72,227,"1,5",",4",
2018-10-07,13:00,0,"995,1","995,2","994,7","2408,6","29,4","21,9","29,4","26,4","22,3","21,3",73,64,64,203,"3,4","1,6",
2018-10-07,14:00,0,"994,7","995,2","994,7","2869,5","30,4","22,1","30,9","28,8",23,"20,6",67,58,62,204,"4,1","1,8",
2018-10-07,15:00,0,"994,3","994,7","994,3","3302,8","31,9","22,3","32,3","30,4","23,2","21,7",63,56,57,215,"5,2",2,
2018-10-07,16:00,0,"993,5","994,4","993,5","3736,1","32,8","22,6",33,"31,5","23,2","21,5",58,53,55,242,"5,1",3,
2018-10-07,17:00,0,"991,8","993,5","991,8","3441,9","33,2","22,3","33,9",32,23,"21,2",58,50,53,223,"5,8","2,4",
2018-10-07,18:00,0,"990,5","991,8","990,5","2716,2",33,"20,5","34,1","32,2","22,6","20,5",55,46,48,216,"5,4","1,6",
2018-10-07,19:00,0,"989,8","990,5","989,4","2285,6","30,3","20,7","34,4","30,3","22,4","20,6",57,46,56,245,"6,3","3,2",
2018-10-07,20:00,"10,4",989,"989,8",989,"157,2","24,5","21,2","30,3","24,1","22,6","20,4",88,56,82,249,"5,7","2,1",
2018-10-07,21:00,0,"989,3","989,4","988,8","155,6","24,6",22,"24,8","24,2","22,1","21,2",86,82,85,211,"3,9",",9",
2018-10-07,22:00,0,990,"990,1","989,2","51,8",25,"21,7","25,4","24,6","22,8","21,6",88,81,82,228,"4,7","2,2",
2018-10-07,23:00,0,990,"990,3","989,9",0,"24,2","21,1",25,"24,2","21,5","20,9",83,79,83,209,"4,4",",5",
2018-10-28,00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
2018-10-28,01:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
2018-10-28,02:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
2018-10-28,03:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
2018-10-28,04:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
2018-10-28,05:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,
