DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2018-10-07,00:00,-9999,"1004,1","1004,1","1003,1",-9999,"28,8","22,7","30,1","28,7","22,9","21,6",70,60,70,318,"1,8",",7",
2018-10-07,01:00,-9999,"1005,3","1005,3","1004,1",-9999,"28,4","22,7","28,8","28,4","22,8","22,3",72,69,71,304,"2,3","1,2",
2018-10-07,02:00,-9999,"1005,7","1005,7","1005,3",-9999,"28,2",23,"28,6","28,2","23,2","22,6",74,70,74,297,2,1,
2018-10-07,03:00,-9999,"1005,7","1005,9","1005,6",-9999,"27,7","23,1","28,4","27,6","23,4",22,78,69,76,284,2,",8",
2018-10-07,04:00,-9999,"1005,4","1005,8","1005,4",-9999,27,"23,3","27,7",27,"23,9",23,82,76,80,313,"1,8",",6",
2018-10-07,05:00,-9999,"1004,6","1005,3","1004,6",-9999,"26,6","22,9",27,"26,6","23,3","22,8",81,80,80,302,"1,9",",4",
2018-10-07,06:00,-9999,"1004,5","1004,7","1004,5",-9999,"26,3","22,7","26,6","26,3",23,"22,5",81,79,80,310,"1,7",",4",
2018-10-07,07:00,-9999,"1004,8","1004,8","1004,5",-9999,"26,2","22,7","26,3","26,1",23,"22,6",82,80,81,310,"1,9",",4",
2018-10-07,08:00,-9999,"1005,1","1005,1","1004,7",-9999,26,"22,6","26,2",26,"22,8","22,6",82,81,82,311,2,",4",
2018-10-07,09:00,-9999,"1005,7","1005,7",1005,-9999,"25,8","22,7","26,1","25,7","22,9","22,5",84,81,83,309,"2,6","1,1",
2018-10-07,10:00,-9999,"1006,6","1006,6","1005,7","11,7",26,"22,7",26,"25,6","22,7","22,6",84,82,82,294,"2,6",",2",
2018-10-07,11:00,-9999,"1007,4","1007,4","1006,6","251,9",27,"22,8",27,"25,9","23,2","22,5",83,77,78,242,"1,6",0,
2018-10-07,12:00,-9999,1008,1008,"1007,4","1208,4","29,4","22,7","29,5",27,"22,9",22,78,65,67,225,"1,5",0,
2018-10-07,13:00,-9999,"1008,5","1008,5",1008,"1727,3","29,7","22,9","30,3","29,2","23,4","21,9",69,62,67,228,"3,1","1,3",
2018-10-07,14:00,-9999,"1008,4","1008,7","1008,4","2304,8","30,3","22,5","30,7","29,5","23,3","22,2",68,62,63,214,"2,9","1,8",
2018-10-07,15:00,-9999,"1007,5","1008,4","1007,5","2926,2","32,3","22,7","32,6","30,3","24,2","20,6",66,50,57,227,"4,5","1,6",
2018-10-07,16:00,-9999,"1006,4","1007,5","1006,4","2944,5","34,3","21,3","34,3","32,2",24,"19,7",61,45,47,249,"4,5","1,9",
2018-10-07,17:00,-9999,"1005,2","1006,4","1005,2","2708,1","34,4","20,5","34,6","33,6","21,6",20,49,43,44,234,"5,4","1,3",
2018-10-07,18:00,-9999,1004,"1005,2",1004,"2562,6","34,3","21,6","35,1","34,2","21,8","19,4",48,41,48,273,"5,6","1,8",
2018-10-07,19:00,-9999,1003,1004,1003,"2031,5","34,3","22,5","34,9","34,1","23,1","19,5",51,41,50,230,"4,5","1,3",
2018-10-07,20:00,-9999,"1002,2",1003,"1002,2","1330,4",34,"21,3",35,"33,9",22,"19,3",50,40,48,260,"3,9","1,2",
2018-10-07,21:00,-9999,"1002,2","1002,4","1002,2","426,2","32,4","22,5",34,"32,4","22,5","21,1",56,48,56,277,"3,2",",3",
2018-10-07,22:00,-9999,"1002,7","1002,7","1002,3","48,7","30,8","23,3","32,4","30,8","23,4","22,4",65,56,65,298,"1,4",",5",
2018-10-07,23:00,-9999,"1003,5","1003,5","1002,7",-9999,"29,7","22,6","30,8","29,6","23,7","22,6",69,63,66,297,1,0,
