DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2018-10-07,00:00,-9999,"1005,7","1005,7","1004,7",-9999,"26,3",25,27,"26,3","25,4",25,93,90,92,64,",2",0
2018-10-07,01:00,-9999,1007,1007,"1005,7",-9999,26,25,"26,3",26,"25,1","24,9",94,92,94,82,0,0
2018-10-07,02:00,-9999,"1007,6","1007,6",1007,-9999,"25,7",25,26,"25,7","25,1","24,9",96,94,96,68,",3",0
2018-10-07,03:00,-9999,"1007,2","1007,6","1007,2",-9999,"25,3","24,8","25,8","25,3","25,3","24,8",97,96,97,62,0,0
2018-10-07,04:00,-9999,"1006,9","1007,3","1006,9",-9999,25,"24,6","25,5","24,9",25,"24,4",97,97,97,84,0,0
2018-10-07,05:00,-9999,"1006,5","1006,9","1006,5",-9999,"24,6","24,2","25,2","24,6","24,7","24,2",98,97,98,230,0,0
2018-10-07,06:00,-9999,"1006,3","1006,5","1006,2",-9999,"24,3","23,9","24,7","24,2","24,3","23,8",98,98,98,293,0,0
2018-10-07,07:00,-9999,"1006,3","1006,3","1006,2",-9999,24,"23,6","24,4",24,24,"23,6",98,98,98,293,0,0
2018-10-07,08:00,-9999,"1006,4","1006,5","1006,3",-9999,"23,7","23,4","24,1","23,7","23,7","23,4",98,98,98,307,",5",0
2018-10-07,09:00,-9999,"1007,1","1007,1","1006,4",-9999,"23,5","23,2","23,8","23,4","23,5","23,1",98,98,98,309,",7",0
2018-10-07,10:00,-9999,"1008,1","1008,1","1007,1","24,1","23,9","23,6",24,"23,4","23,7","23,1",98,98,98,336,"1,1",",1"
2018-10-07,11:00,-9999,"1008,9","1008,9","1008,1","469,2","28,2","25,7","28,3","23,9","26,2","23,7",98,85,86,24,"2,2",",2"
2018-10-07,12:00,-9999,"1009,6","1009,6","1008,9","1167,2","30,1",25,"30,1","28,1","25,5","24,2",86,72,74,2,"2,8",",8"
2018-10-07,13:00,-9999,"1010,1","1010,2","1009,6","1619,7","31,4","24,2","31,7","29,8",25,24,74,65,66,84,"2,9",",5"
2018-10-07,14:00,-9999,"1009,8","1010,2","1009,8","2158,8","33,1","24,5","33,2","31,4","25,2","23,6",68,59,61,60,"4,5","1,3"
2018-10-07,15:00,-9999,"1008,8","1009,8","1008,8","2207,3",34,"23,9","34,2","32,6","24,8","23,1",62,55,56,47,"4,8",",8"
2018-10-07,16:00,-9999,"1007,6","1008,8","1007,6","2541,7","34,6","23,1","35,3","33,4",25,"23,1",59,50,51,91,"4,7","1,7"
2018-10-07,17:00,-9999,"1006,4","1007,6","1006,4","2363,9","34,9","23,2","35,7","33,7","24,7","22,6",56,49,51,132,5,2
2018-10-07,18:00,-9999,"1005,4","1006,4","1005,4","1732,6",34,"22,7",36,"33,8","23,6","21,8",54,46,52,98,"4,1",1
2018-10-07,19:00,-9999,"1004,5","1005,4","1004,5","955,8","30,4","25,6","34,9","30,4","26,3",22,77,48,76,77,4,",1"
2018-10-07,20:00,-9999,"1003,5","1004,5","1003,5","1280,7","35,1","23,8","35,2","30,4","26,6","23,2",79,50,52,87,"1,2",",1"
2018-10-07,21:00,-9999,"1003,7","1003,8","1003,5",542,"32,1","25,4","35,1","32,1","25,8","21,9",68,49,68,343,"2,3",0
2018-10-07,22:00,-9999,"1004,3","1004,3","1003,7","55,7","28,2","25,9",32,"28,2","26,2","25,2",88,68,88,270,",6",0
2018-10-07,23:00,-9999,"1005,2","1005,2","1004,3",-9999,27,"25,8","28,2","26,9","25,9","25,6",93,88,93,248,",3",0
2018-10-28,00:00,-9999,"1006,2","1006,2","1005,2",-9999,27,"26,2","27,3","26,9","26,2","25,9",95,93,95,96,0,0
2018-10-28,01:00,-9999,"1006,9","1006,9","1006,2",-9999,"26,6","25,9",27,"26,6","26,3","25,9",96,95,96,125,0,0
2018-10-28,02:00,-9999,"1006,8","1007,2","1006,8",-9999,26,"25,4","26,6",26,"25,9","25,4",97,96,97,75,0,0
2018-10-28,03:00,-9999,"1006,5","1006,9","1006,4",-9999,"25,8","25,3","26,1","25,7","25,5","25,2",97,97,97,210,0,0
2018-10-28,04:00,-9999,"1006,2","1006,4","1006,2",-9999,"25,6","25,1","25,8","25,5","25,3",25,97,97,97,276,"2,1",",4"
2018-10-28,05:00,-9999,"1005,5","1006,2","1005,5",-9999,"25,1","24,6","25,6","25,1","25,1","24,6",97,97,97,62,"2,1",0
2018-10-28,06:00,-9999,"1005,4","1005,6","1005,3",-9999,25,"24,6","25,3",25,"24,9","24,6",98,97,97,24,1,0
2018-10-28,07:00,-9999,"1005,4","1005,4","1005,2",-9999,"25,2","24,8","25,2",25,"24,8","24,5",98,97,98,332,1,0
2018-10-28,08:00,-9999,"1005,8","1005,8","1005,4",-9999,"24,8","24,4","25,2","24,7","24,8","24,3",98,98,98,56,",9",0
2018-10-28,09:00,-9999,"1006,4","1006,4","1005,8",-9999,"24,6","24,3","24,9","24,5","24,6","24,1",98,98,98,276,"1,1",0
2018-10-28,10:00,-9999,1007,1007,"1006,4","38,9","24,7","24,4","24,7","24,3","24,4","23,9",98,98,98,199,",7",0
2018-10-28,11:00,-9999,1008,1008,1007,"378,8",28,"25,5",28,"24,7","25,8","24,4",98,86,86,98,2,",3"
2018-10-28,12:00,-9999,"1008,6","1008,6","1007,9","926,1","29,7","25,1","29,7",28,"25,3","24,4",86,75,76,129,"1,7",",6"
2018-10-28,13:00,-9999,"1008,5","1008,8","1008,5","1665,5","31,6","24,4",32,"29,5","25,9",24,77,65,66,81,"2,8",",8"
2018-10-28,14:00,-9999,"1008,3","1008,6","1008,3","2204,6","32,9","25,8","32,9","31,4","25,8","24,2",69,64,66,77,"3,3",",6"
2018-10-28,15:00,-9999,"1007,5","1008,3","1007,5","2391,8","33,9","25,3",34,"32,3","26,1","24,1",67,59,61,94,4,",7"
2018-10-28,16:00,-9999,"1006,4","1007,5","1006,4","2354,6","34,5",25,"34,6","33,3","25,6","23,9",63,57,58,79,"3,8","1,3"
2018-10-28,17:00,-9999,"1005,1","1006,4","1005,1","2482,9","35,3","24,6","35,5","33,4","25,9",24,61,53,54,36,"3,8",",9"
2018-10-28,18:00,-9999,"1004,3","1005,1","1004,3",1945,"34,8","24,4","35,3","34,1","25,5","23,8",59,53,55,97,"3,8",",9"
2018-10-28,19:00,-9999,"1003,5","1004,3","1003,5","1457,3","34,4","23,6","35,2","33,5","25,3","23,2",59,51,54,126,3,"1,2"
2018-10-28,20:00,-9999,"1003,1","1003,5","1003,1","1107,9","34,1","25,1","35,2",34,"25,1","23,5",60,52,60,82,3,",4"
2018-10-28,21:00,-9999,"1003,2","1003,2","1002,9",453,"31,4","25,8","34,3","31,4","26,8","24,1",72,56,72,68,"2,4",0
2018-10-28,22:00,-9999,"1003,7","1003,7","1003,2","40,5","28,6","26,2","31,4","28,6","26,5","25,7",87,72,87,68,",5",0
2018-10-28,23:00,-9999,"1004,5","1004,5","1003,7",-9999,"27,4","25,8","28,7","27,3","26,4","25,7",91,87,91,315,"2,5",0
