DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2018-10-07,00:00,0,1006,1006,1005,-9999,"27,8","22,2","29,4","27,8","22,5","21,5",72,62,72,225,0,0
2018-10-07,01:00,0,"1007,5","1007,5",1006,-9999,"26,7","21,3","27,8","26,7","23,2","21,1",79,69,72,197,0,0
2018-10-07,02:00,0,"1008,2","1008,2","1007,5",-9999,"26,9","22,5",27,"26,7","22,5","20,7",77,69,77,219,0,0
2018-10-07,03:00,0,"1008,1","1008,4","1008,1",-9999,"26,5","22,9",27,"26,4",23,"22,4",81,77,81,172,0,0
2018-10-07,04:00,0,"1007,7","1008,1","1007,7",-9999,"26,3","22,7","26,6","26,3","22,9","22,2",81,78,81,105,0,0
2018-10-07,05:00,0,"1007,1","1007,7","1007,1",-9999,"27,9","21,8","27,9","26,2",23,"21,4",82,68,69,64,0,0
2018-10-07,06:00,0,"1006,8","1007,1","1006,8",-9999,"27,8","22,5","28,2","27,8","23,3","21,9",76,69,73,33,0,0
2018-10-07,07:00,0,"1006,9","1006,9","1006,6",-9999,"27,7","22,4","27,8","27,6","22,5","22,3",74,73,73,34,0,0
2018-10-07,08:00,0,1007,"1007,1","1006,9",-9999,"26,7","21,5","27,7","26,7","22,5","21,5",74,70,73,7,0,0
2018-10-07,09:00,0,"1007,5","1007,5",1007,-9999,"26,4","21,2","26,7","26,4","21,7","20,6",75,70,73,6,0,0
2018-10-07,10:00,0,"1008,3","1008,3","1007,5","27,7","26,1","21,4","26,4","26,1","21,6","21,1",75,73,75,354,0,0
2018-10-07,11:00,0,"1009,3","1009,3","1008,3","474,4","27,4","21,2","27,4","26,1","21,9",21,76,68,69,49,0,0
2018-10-07,12:00,0,1010,1010,"1009,3","1078,9","29,8",21,"29,8","27,4","21,5","20,8",70,59,59,76,0,0
2018-10-07,13:00,0,"1010,6","1010,6",1010,"2162,8","31,2","21,3","31,5","29,8","22,7","20,8",61,55,56,35,0,0
2018-10-07,14:00,0,"1010,4","1010,6","1010,4",2966,"32,8","20,6",33,"31,2","22,3","19,3",58,46,49,54,0,0
2018-10-07,15:00,0,"1009,7","1010,4","1009,7","3397,4","34,1","20,8","34,3","32,7","21,3","19,5",51,44,46,76,0,0
2018-10-07,16:00,0,"1008,5","1009,7","1008,5","3557,9","34,9","21,3","35,1",34,"21,9","20,8",48,43,45,56,0,0
2018-10-07,17:00,0,"1007,3","1008,5","1007,3",3419,"34,4",20,"35,4","34,1","22,1","19,5",49,40,43,38,0,0
2018-10-07,18:00,0,"1006,1","1007,3","1006,1","3019,9","35,2","20,8","35,2","34,4","21,7","19,8",47,40,43,46,0,0
2018-10-07,19:00,0,"1005,1","1006,1","1005,1","2368,4","34,7","22,1","35,3","34,6","22,3","20,4",49,42,48,35,0,0
2018-10-07,20:00,0,"1004,3","1005,2","1004,3","1593,2","34,1","21,5","34,8","34,1","22,1","20,5",48,44,48,31,0,0
2018-10-07,21:00,0,"1004,3","1004,3","1004,1","566,5","32,9","20,7","34,1","32,9","21,4","20,1",50,46,49,38,0,0
2018-10-07,22:00,0,"1004,6","1004,6","1004,3","37,9","31,9","20,3","32,9","31,9","21,3","20,2",54,48,50,53,0,0
2018-10-07,23:00,0,"1005,7","1005,7","1004,5",-9999,"31,3",21,"31,9","31,3","22,5","19,9",59,50,54,39,0,0
2018-10-28,00:00,0,"1006,4","1006,4","1005,6",-9999,29,"23,1","29,8",29,"23,5","23,1",72,68,71,194,0,0
2018-10-28,01:00,0,"1007,2","1007,3","1006,4",-9999,"28,7","23,2",29,"28,5","23,6","22,8",74,69,72,145,0,0
2018-10-28,02:00,0,"1007,3","1007,3","1007,1",-9999,"27,8","23,8","28,7","27,7","24,2","23,2",80,72,79,188,0,0
2018-10-28,03:00,0,"1006,9","1007,3","1006,9",-9999,"27,6","23,6",28,"27,6","23,8","23,2",79,76,79,195,0,0
2018-10-28,04:00,0,"1006,3","1006,9","1006,3",-9999,"27,5","23,2","27,7","27,4","23,6","22,8",79,75,78,168,0,0
2018-10-28,05:00,0,"1005,9","1006,3","1005,9",-9999,"27,7","22,7","27,7","27,2","23,4","22,5",80,74,74,101,0,0
2018-10-28,06:00,0,"1005,6","1005,9","1005,6",-9999,"27,9","23,1","27,9","27,6","23,1","22,4",75,73,75,67,0,0
2018-10-28,07:00,0,"1005,7","1005,7","1005,6",-9999,"28,1","24,4","28,5","27,9","24,8","23,2",82,75,80,41,0,0
2018-10-28,08:00,0,"1006,2","1006,2","1005,7",-9999,"27,6","22,7","28,1","27,5","24,9","22,6",83,74,75,43,0,0
2018-10-28,09:00,0,"1006,7","1006,8","1006,2",-9999,"27,4","23,3","27,6","27,2","23,3","22,5",79,74,78,16,0,0
2018-10-28,10:00,0,"1007,3","1007,3","1006,7","40,5","26,5","23,4","27,4","26,4","23,4","22,6",83,77,83,340,0,0
2018-10-28,11:00,0,"1008,3","1008,3","1007,3","558,6","28,3","22,7","28,3","26,5",24,"22,7",84,72,72,28,0,0
2018-10-28,12:00,0,1009,1009,"1008,3","875,1","29,4",23,"29,4","28,3","23,2","22,5",72,67,68,323,0,0
2018-10-28,13:00,0,"1008,9",1009,"1008,9","1854,4","30,6","22,9","31,2","29,4","23,5","22,6",69,61,64,357,0,0
2018-10-28,14:00,0,"1008,5","1008,9","1008,5","2566,8","32,7","22,1","32,8","30,5","23,6","21,7",66,53,54,52,0,0
2018-10-28,15:00,0,"1007,8","1008,5","1007,8","3211,3","33,5","22,7","33,8","32,7","22,9","21,5",54,51,53,34,0,0
2018-10-28,16:00,0,1007,"1007,8",1007,"3271,9","33,7","23,1","34,1","33,5","23,3","22,5",56,52,54,30,0,0
2018-10-28,17:00,0,"1005,7",1007,"1005,7","3160,2","34,5","22,1",35,"33,7","23,4","21,7",54,47,48,12,0,0
2018-10-28,18:00,0,"1004,9","1005,7","1004,8","2813,1",35,"21,3","35,3","34,2","22,5","21,1",50,44,45,41,0,0
2018-10-28,19:00,0,"1004,1","1004,9","1004,1","2147,6","34,5","22,3","35,1","34,4","22,9","21,2",51,45,49,15,0,0
2018-10-28,20:00,0,"1003,8","1004,2","1003,7",1548,"33,5",21,"34,6","33,3","22,7","20,4",51,45,48,88,0,0
2018-10-28,21:00,0,"1003,7",1004,"1003,7",585,"32,7",21,"33,8","32,7","22,2","20,1",53,47,50,56,0,0
2018-10-28,22:00,0,"1004,2","1004,2","1003,7","37,4","31,5","22,2","32,7","31,5","22,3","20,7",58,50,58,39,0,0
2018-10-28,23:00,0,"1004,6","1004,6","1004,2",-9999,"29,6","23,4","31,6","29,6","24,3","22,2",71,58,70,49,0,0
