DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2018-10-07,00:00,0,"1006,1","1006,1","1005,2",-9999,"28,8","23,2","29,8","28,8","23,3",23,72,67,72,52,"1,8",0
2018-10-07,01:00,0,"1007,2","1007,2","1006,1",-9999,"27,9","23,4","28,8","27,9","23,5","23,2",77,72,77,351,0,0
2018-10-07,02:00,0,"1007,7","1007,7","1007,2",-9999,"27,2","23,7","27,9","27,2","23,7","23,4",81,77,81,53,"1,2",0
2018-10-07,03:00,0,1008,"1008,1","1007,7",-9999,"26,5","23,7","27,2","26,5","23,7","23,5",85,81,85,38,0,0
2018-10-07,04:00,0,"1007,6",1008,"1007,6",-9999,"26,1","23,8","26,5","26,1","23,8","23,5",87,84,87,52,"1,8",",3"
2018-10-07,05:00,0,1007,"1007,6",1007,-9999,"25,8","23,9","26,2","25,8",24,"23,8",90,87,89,23,"1,3",0
2018-10-07,06:00,0,"1006,9",1007,"1006,8",-9999,"25,9","22,5",26,"25,6","23,9","22,5",89,81,81,63,"4,2","1,8"
2018-10-07,07:00,0,"1007,1","1007,1","1006,9",-9999,"25,3","22,4","25,9","25,3","22,5","22,4",84,81,84,53,"3,3","1,3"
2018-10-07,08:00,0,"1007,3","1007,3","1007,1",-9999,"24,8","22,2","25,3","24,8","22,5","22,2",86,84,86,23,3,",3"
2018-10-07,09:00,0,"1007,8","1007,8","1007,3",-9999,"24,3","21,7","24,8","24,3","22,2","21,7",86,85,85,348,"1,9",0
2018-10-07,10:00,0,"1008,4","1008,4","1007,8","12,9","24,3","21,8","24,4","24,2","21,8","21,6",86,85,86,299,",7",0
2018-10-07,11:00,0,"1009,1","1009,1","1008,4","277,5","25,7","21,7","25,7","24,3","22,1","21,6",86,78,78,291,"1,6",",1"
2018-10-07,12:00,0,"1010,2","1010,2","1009,1","902,1","28,5","21,5","28,5","25,7","21,9","21,1",78,66,66,50,"2,1",",4"
2018-10-07,13:00,0,"1010,5","1010,5","1010,2","1944,6","32,1","23,1","32,1",28,"23,1",21,67,59,59,217,"2,1",",6"
2018-10-07,14:00,0,"1010,3","1010,6","1010,3","2829,9","34,3","22,6","34,7",32,"23,3","21,9",59,49,51,236,"4,9","2,2"
2018-10-07,15:00,0,"1009,5","1010,3","1009,5",3206,"35,4",22,"36,1","33,6","23,2","21,5",52,44,46,236,"6,6","2,4"
2018-10-07,16:00,0,"1008,2","1009,5","1008,2","3503,2",36,"21,9","36,6","34,9","22,5",21,47,43,44,236,"6,2","2,5"
2018-10-07,17:00,0,1007,"1008,2",1007,"3141,3","35,7","21,5","36,8",35,"22,3","21,1",46,41,44,236,"6,5","2,7"
2018-10-07,18:00,0,1006,1007,1006,"2881,5","36,6","20,8","37,3","35,4","22,1","20,2",44,38,40,236,"5,7","2,5"
2018-10-07,19:00,0,"1005,4",1006,"1005,3",2029,"35,3","21,2",37,"34,7","22,2","20,1",47,39,44,236,"7,6","3,2"
2018-10-07,20:00,0,"1004,3","1005,4","1004,3",1311,"33,7","21,5","35,8","33,7","21,9","20,8",49,43,49,236,"6,5","1,8"
2018-10-07,21:00,0,"1004,4","1004,5","1004,3","474,5","31,8","22,5","33,7","31,8","22,5","21,4",58,49,58,5,"4,4",",1"
2018-10-07,22:00,0,"1004,9","1004,9","1004,4",40,"30,3",23,"31,8","30,3","23,2","22,5",65,58,65,1,2,",1"
2018-10-07,23:00,0,"1005,7","1005,7","1004,9",-9999,"29,3","23,2","30,3","29,1","23,4","22,9",71,65,70,59,"2,4",0
2018-10-28,00:00,0,"1006,6","1006,6","1005,4",-9999,29,"24,9","30,5",29,25,"23,7",79,67,79,39,0,0
2018-10-28,01:00,0,"1007,5","1007,5","1006,6",-9999,"28,9","24,9","29,1","28,9",25,"24,9",79,79,79,116,0,0
2018-10-28,02:00,0,"1007,3","1007,5","1007,3",-9999,"28,3","24,8","28,9","28,3",25,"24,7",81,78,81,43,0,0
2018-10-28,03:00,0,"1007,2","1007,4","1007,2",-9999,"27,6",25,"28,3","27,6",25,"24,8",86,81,86,10,0,0
2018-10-28,04:00,0,"1006,4","1007,2","1006,4",-9999,"27,1","24,6","27,6","27,1","25,1","24,6",87,86,86,47,0,0
2018-10-28,05:00,0,1006,"1006,4",1006,-9999,"26,7",24,"27,1","26,7","24,6","23,8",87,84,85,294,0,0
2018-10-28,06:00,0,"1005,7",1006,"1005,6",-9999,"26,3","23,9","26,7","26,3","24,2","23,9",87,85,87,5,0,0
2018-10-28,07:00,0,1006,1006,"1005,7",-9999,"26,3","23,8","26,4","26,1",24,"23,7",87,86,86,39,2,",2"
2018-10-28,08:00,0,"1006,2","1006,2","1005,9",-9999,"25,6","23,1","26,3","25,6","23,7",23,86,85,86,23,"3,4",0
2018-10-28,09:00,0,1007,1007,"1006,2",-9999,"25,9","23,4","25,9","25,5","23,5",23,87,86,86,215,"2,2",",7"
2018-10-28,10:00,0,"1007,7","1007,7",1007,"41,8","26,3","23,7","26,3","25,7","23,7","23,4",87,85,85,258,"2,2",0
2018-10-28,11:00,0,"1008,7","1008,7","1007,7","393,8","27,8","23,5","27,9","26,3",24,"23,3",86,77,77,203,"1,4",",1"
2018-10-28,12:00,0,"1009,2","1009,2","1008,7",1176,"29,6","23,8","30,1","27,8","24,6","23,4",79,71,71,165,"1,9",",8"
2018-10-28,13:00,0,"1009,1","1009,2","1009,1","1952,7","31,7",24,"31,7","29,6","24,3","23,4",71,63,64,236,"2,5",",9"
2018-10-28,14:00,0,"1008,8","1009,1","1008,8","2642,8","33,2","24,2","33,6","31,2","24,6","23,3",64,57,59,236,"3,7","1,4"
2018-10-28,15:00,0,1008,"1008,8",1008,"2829,4","34,2","23,4","34,6","32,6","24,4","22,6",61,52,54,236,"4,6","1,3"
2018-10-28,16:00,0,1007,1008,1007,"2968,7","33,9","23,6","35,3","33,4","24,2","22,5",56,50,55,236,"5,4","1,7"
2018-10-28,17:00,0,"1005,8",1007,"1005,8","3005,9","35,2","23,4","35,7","33,9","23,8","22,4",55,48,51,236,"5,7","1,7"
2018-10-28,18:00,0,1005,"1005,8","1004,9","2669,6","35,4","22,4","36,3","34,8","23,6",22,51,46,47,236,"5,2","2,4"
2018-10-28,19:00,0,"1004,1","1004,9","1004,1","2103,4","35,6","22,2","36,4","34,7","23,6","21,3",51,43,46,236,"5,8",2
2018-10-28,20:00,0,"1003,9","1004,2","1003,9","1219,1","34,6","22,8","35,6","34,6","22,8","21,5",50,45,50,236,"4,8","1,9"
2018-10-28,21:00,0,1004,1004,"1003,7","428,5","32,6","23,3","34,6","32,6","23,5","22,4",58,50,58,236,"4,4",1
2018-10-28,22:00,0,"1004,5","1004,5",1004,"54,2","30,7",24,"32,6","30,7",24,"23,3",68,58,68,236,"2,7",0
2018-10-28,23:00,0,"1004,9",1005,"1004,5",-9999,"29,8","24,4","30,7","29,8","24,5",24,73,67,73,8,",8",0
