DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2018-10-07,00:00,0,"1003,6","1003,6","1002,8",-9999,"24,6","23,8","25,2","24,6","24,1","23,8",95,94,95,231,0,0
2018-10-07,01:00,0,"1004,3","1004,3","1003,6",-9999,"24,1","23,5","24,6","24,1","23,9","23,5",96,95,96,180,0,0
2018-10-07,02:00,0,"1004,9","1004,9","1004,3",-9999,"23,7","23,1","24,1","23,7","23,4","23,1",97,96,97,222,0,0
2018-10-07,03:00,0,"1005,2","1005,3","1004,9",-9999,"23,4","22,8","23,7","23,3","23,1","22,8",97,96,96,307,0,0
2018-10-07,04:00,0,"1004,8","1005,2","1004,8",-9999,23,"22,4","23,4",23,"22,8","22,4",97,96,97,311,0,0
2018-10-07,05:00,0,"1004,3","1004,8","1004,3",-9999,"22,7","22,2",23,"22,7","22,5","22,2",97,97,97,218,0,0
2018-10-07,06:00,0,"1003,9","1004,3","1003,9",-9999,"22,5",22,"22,7","22,5","22,2",22,97,97,97,250,0,0
2018-10-07,07:00,0,1004,"1004,1","1003,9",-9999,"22,3","21,8","22,5","22,2",22,"21,7",97,97,97,38,0,0
2018-10-07,08:00,0,"1004,4","1004,4",1004,-9999,22,"21,5","22,3",22,"21,8","21,5",97,97,97,250,0,0
2018-10-07,09:00,0,1005,1005,"1004,4",-9999,"21,9","21,4",22,"21,8","21,5","21,4",97,97,97,17,0,0
