DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2018-10-07,00:00,0,"1001,5","1001,5","1000,8",-9999,"26,3",24,"27,5","26,3","24,3","23,9",87,83,87,2,"1,4",0
2018-10-07,01:00,0,"1002,3","1002,3","1001,5",-9999,"25,4","23,6","26,3","25,4",24,"23,6",90,87,90,326,",2",0
2018-10-07,02:00,0,"1002,8","1002,8","1002,3",-9999,25,"23,3","25,4","24,9","23,7","23,2",91,90,90,354,",4",0
2018-10-07,03:00,0,"1003,2","1003,2","1002,8",-9999,"24,3","22,9",25,"24,3","23,3","22,8",92,90,92,329,1,0
2018-10-07,04:00,0,1003,"1003,2",1003,-9999,24,"22,7","24,4",24,23,"22,7",92,92,92,291,",8",0
2018-10-07,05:00,0,"1002,4",1003,"1002,4",-9999,"23,7","22,4",24,"23,7","22,7","22,4",93,92,92,344,"1,1",0
2018-10-07,06:00,0,"1001,9","1002,4","1001,9",-9999,"23,4","22,1","23,7","23,4","22,4","22,1",93,92,92,319,",7",0
2018-10-07,07:00,0,1002,1002,"1001,8",-9999,"23,2","21,8","23,4","23,2","22,2","21,8",93,92,92,347,",7",0
2018-10-07,08:00,0,"1002,4","1002,4",1002,-9999,23,"21,8","23,2","22,9","21,9","21,7",93,92,93,355,0,0
2018-10-07,09:00,0,1003,1003,"1002,4",-9999,"22,7","21,6",23,"22,7","21,8","21,5",93,93,93,38,",3",0
2018-10-07,10:00,0,"1003,7","1003,7",1003,"3,6","22,4","21,3","22,7","22,4","21,6","21,2",93,93,93,250,0,0
2018-10-07,11:00,0,"1004,7","1004,7","1003,7","198,7","23,9",22,"23,9","22,4","22,3","21,3",94,89,89,22,0,0
2018-10-07,12:00,0,"1005,7","1005,7","1004,7","995,1","27,3","22,6","27,3","23,9","23,2",22,90,76,76,198,"1,9",",7"
2018-10-07,13:00,0,1006,1006,"1005,7","1677,9","30,7","23,3",31,"27,1","24,5","22,5",77,64,64,222,"1,9",",5"
2018-10-07,14:00,0,"1005,6","1006,1","1005,6","2675,2","32,1","23,6","33,3","30,1","25,1","22,7",67,58,61,317,"2,8",",6"
2018-10-07,15:00,0,"1004,6","1005,6","1004,6","2519,1",33,"24,2","33,8","31,4","24,6","23,2",64,55,60,106,"3,8","1,4"
2018-10-07,16:00,0,"1003,3","1004,6","1003,3","1306,4","32,6","23,7","33,7","32,1","24,1",23,61,55,60,209,"3,7",1
2018-10-07,17:00,0,"1002,1","1003,3","1002,1","733,7","33,1","24,1","33,3","32,1","24,7",23,64,55,59,225,"3,2","1,2"
2018-10-07,18:00,0,"1000,9","1002,1","1000,9","1067,4","35,2","21,1","35,6","33,1","24,5","20,8",60,43,44,97,"4,4","1,7"
2018-10-07,19:00,0,"1000,5","1000,9","1000,5","507,8","34,5","21,6","35,9","34,3","21,9","20,6",47,43,47,80,"4,5","1,8"
2018-10-07,20:00,0,"999,8","1000,5","999,4","224,2","33,3","22,4","34,6","33,3","22,5","20,4",53,44,53,76,"5,5",3
2018-10-07,21:00,0,1000,1000,"999,5","148,7","31,8",23,"33,3","31,8","23,1","22,4",60,53,60,64,"5,1","1,9"
2018-10-07,22:00,0,"1000,5","1000,5","999,8","42,3","29,5","23,3","31,8","29,5","23,5","22,6",70,60,69,358,"3,4",0
2018-10-07,23:00,0,1001,1001,"1000,3",-9999,28,"23,9","29,5",28,"24,1","23,3",79,69,79,4,"1,6",0
2018-10-28,00:00,0,"1001,7","1001,7","1000,8",-9999,"26,6","24,5","27,5","26,6","24,6","24,4",88,84,88,315,0,0
2018-10-28,01:00,0,"1002,4","1002,4","1001,7",-9999,"25,9","24,2","26,6","25,9","24,5","24,2",90,88,90,349,0,0
