DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2018-10-07,00:00,-9999,"1003,6","1003,6","1002,9",-9999,"28,7","23,3","29,1","28,2","23,5",23,74,70,72,-9999,-9999,-9999
2018-10-07,01:00,-9999,"1004,2","1004,2","1003,6",-9999,28,"23,5","28,7","27,7","23,6","23,2",77,72,76,-9999,-9999,-9999
2018-10-07,02:00,-9999,"1004,7","1004,7","1004,2",-9999,"27,6","23,8",28,"27,4","24,3","23,4",83,76,80,-9999,-9999,-9999
2018-10-07,03:00,-9999,"1005,1","1005,1","1004,7",-9999,"27,2","22,6","27,9","27,2","23,9","22,4",80,74,76,-9999,-9999,-9999
2018-10-07,04:00,-9999,"1004,8","1005,1","1004,8",-9999,"26,8","22,8","27,3","26,4","22,8","22,4",80,75,79,-9999,-9999,-9999
2018-10-07,05:00,-9999,"1004,3","1004,8","1004,3",-9999,"26,5","22,4","26,9","26,1","22,8","22,4",80,77,78,-9999,-9999,-9999
2018-10-07,06:00,-9999,1004,"1004,3",1004,-9999,"26,1","22,2","26,6","26,1","22,6","22,2",80,77,79,-9999,-9999,-9999
2018-10-07,07:00,-9999,1004,"1004,1","1003,9",-9999,"25,7","21,8","26,2","25,7","22,2","21,8",80,78,79,-9999,-9999,-9999
2018-10-07,08:00,-9999,1005,1005,1004,-9999,"25,4","22,4","25,8","25,1","22,5","21,8",84,79,84,-9999,-9999,-9999
2018-10-07,09:00,-9999,"1005,4","1005,4","1004,9",-9999,"25,4","22,7","25,5",25,"22,8","22,3",86,84,85,-9999,-9999,-9999
2018-10-07,10:00,-9999,"1006,1","1006,1","1005,4",-9999,"24,9","22,6","25,4","24,7","22,7","22,4",87,85,87,-9999,-9999,-9999
2018-10-07,11:00,-9999,"1007,1","1007,3","1006,1","68,3","25,1","22,8","25,2","24,9","22,8","22,5",87,85,87,-9999,-9999,-9999
2018-10-07,12:00,-9999,"1007,7","1007,7","1007,1","594,8","26,4","23,4","26,4",25,"23,6","22,7",88,83,84,-9999,-9999,-9999
2018-10-07,13:00,-9999,1008,"1008,1","1007,7","1294,9","28,3","23,1","28,5","26,4","24,2","23,1",84,73,73,-9999,-9999,-9999
2018-10-07,14:00,-9999,"1007,8","1008,1","1007,8","2125,1","30,4","23,4","30,5","28,3",24,"22,4",74,64,66,-9999,-9999,-9999
2018-10-07,15:00,-9999,"1007,5",1008,"1007,5","2835,3","31,3","23,4","31,5","30,1",24,"22,9",68,61,63,-9999,-9999,-9999
2018-10-07,16:00,-9999,"1006,4","1007,5","1006,4","3054,3",33,"22,1","33,6",31,"24,1","21,9",65,52,53,-9999,-9999,-9999
2018-10-07,17:00,-9999,"1004,9","1006,4","1004,9","2268,9","32,6","22,9","33,7","32,4",23,"21,3",57,51,57,-9999,-9999,-9999
2018-10-07,18:00,-9999,"1003,8","1004,9","1003,8","1671,9","30,8","23,1","33,6","30,8","24,6","22,1",64,55,64,-9999,-9999,-9999
2018-10-07,19:00,-9999,"1002,8","1003,9","1002,8","825,5","30,1","22,5","30,8","29,6","23,9","22,4",70,64,64,-9999,-9999,-9999
2018-10-07,20:00,-9999,1002,1003,1002,"1123,4","31,4","23,8","31,7","30,1","23,9","22,6",67,61,64,-9999,-9999,-9999
2018-10-07,21:00,-9999,1002,1002,"1001,7","973,6","31,1","23,9",32,"31,1","24,6","23,6",66,63,66,-9999,-9999,-9999
2018-10-07,22:00,-9999,"1002,1","1002,1","1001,9","196,9","29,4","24,7","31,1","29,4","24,7","23,2",76,64,76,-9999,-9999,-9999
2018-10-07,23:00,-9999,"1002,8","1002,9","1002,1",-9999,"27,8","24,8","29,4","27,8",25,"24,6",84,76,83,-9999,-9999,-9999
