DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2018-10-07,00:00,0,"1000,1","1000,1",1000,-9999,"25,7","23,4","26,7","25,7","23,8","23,4",88,83,87,60,"1,8",",4"
2018-10-07,01:00,0,"1000,7","1000,7","1000,1",-9999,"25,3","23,3","25,7","25,2","23,5","23,2",89,87,89,263,"1,1",",1"
2018-10-07,02:00,0,"1001,5","1001,5","1000,7",-9999,"24,6","22,9","25,3","24,6","23,4","22,8",90,89,90,95,"1,1",",3"
2018-10-07,03:00,0,"1001,8","1001,8","1001,5",-9999,"24,5","22,9","24,6","24,4",23,"22,7",91,90,91,249,"1,2",",2"
2018-10-07,04:00,0,"1001,6",1002,"1001,6",-9999,24,"22,6","24,5","23,9","23,4","22,3",95,90,92,286,",8",",2"
2018-10-07,05:00,0,"1001,2","1001,6","1001,2",-9999,"23,4",22,24,"23,4","22,8",22,95,91,92,2,",9",",3"
2018-10-07,06:00,0,"1000,6","1001,2","1000,6",-9999,"23,4",22,"23,7","23,3","22,9","21,9",95,92,92,336,2,",5"
2018-10-07,07:00,0,"1000,5","1000,6","1000,4",-9999,"23,1","22,2","23,4","22,9","22,3","21,6",95,91,95,253,"1,2",",6"
2018-10-07,08:00,0,"1000,8","1000,8","1000,5",-9999,"23,2","22,4","23,2","22,9","22,5","21,7",96,93,96,27,1,",6"
2018-10-07,09:00,0,"1001,1","1001,1","1000,8",-9999,"23,4","22,7","23,4","22,8","22,7","21,9",96,95,96,276,"1,1",",4"
2018-10-07,10:00,0,"1001,7","1001,7","1001,1",-9999,"23,2","22,4","23,6","23,2","22,8","22,3",96,95,95,268,1,",2"
2018-10-07,11:00,0,"1002,7","1002,7","1001,7","56,4","23,1","22,4","23,2","22,8","22,4",22,95,95,95,66,1,",6"
2018-10-07,12:00,0,"1003,4","1003,4","1002,7","543,9","25,1","23,5","25,1","23,1","23,7","22,4",95,91,91,352,2,",8"
2018-10-07,13:00,0,"1003,9","1003,9","1003,4","1624,5",27,"23,1",27,"25,1","23,6","22,5",91,79,79,336,"4,5","1,5"
2018-10-07,14:00,0,1004,"1004,1","1003,9","2107,2","28,8","22,7","28,8","26,7","23,2","21,9",80,68,69,299,"4,4","1,5"
2018-10-07,15:00,0,"1003,5",1004,"1003,5","2600,1",30,"22,2","30,2","28,8","23,3","21,9",70,62,63,332,"4,2","1,8"
2018-10-07,16:00,0,"1002,5","1003,5","1002,5","2285,5","30,7","21,4","31,1",30,"22,9","21,3",66,57,57,5,"4,9","1,6"
2018-10-07,17:00,0,"1001,2","1002,5","1001,2","2690,3","32,4","22,1","32,4","30,6","22,7",21,62,54,55,326,"4,9","1,4"
2018-10-07,18:00,0,1000,"1001,2",1000,"1733,5","32,3","21,3","32,8","31,8","22,2","20,5",55,51,52,346,"3,2",",4"
2018-10-07,19:00,0,"998,4",1000,"998,4","2105,6","32,9","21,3","33,7",32,"22,4","20,1",57,45,50,330,"3,1","1,5"
2018-10-07,20:00,0,"997,6","998,4","997,6",2044,"33,4","21,3","33,9","32,9","22,2","19,9",52,45,49,336,"4,1","1,3"
2018-10-07,21:00,0,997,"997,6",997,"1291,6","33,1","20,6","33,9",33,"21,5",20,50,46,48,317,"3,3",1
2018-10-07,22:00,0,997,997,"996,7","239,3","31,5","21,8","33,2","31,5","22,6","20,8",58,48,56,286,"2,1",",6"
2018-10-07,23:00,0,"997,8","997,8",997,7,"28,6","23,8","31,5","28,6","23,8","22,2",75,56,75,28,"1,1",",3"
2018-10-28,00:00,0,"998,1","998,1","997,1",-9999,"26,1","22,8","26,9","26,1","23,2","21,9",83,75,82,345,"1,7",",3"
2018-10-28,01:00,0,"999,4","999,4",998,-9999,"25,6","22,9","26,1","25,6","23,1","22,6",86,82,85,79,"1,2",",3"
