DATA (YYYY-MM-DD),HORA (UTC),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2018-10-07,00:00,0,"1003,1",1003,"1002,8",0,24,24,"24,7","23,9","24,5","23,9",100,99,100,265,",2",0
2018-10-07,01:00,0,1004,1004,"1003,1",0,"23,6","23,6","23,9","23,6","23,9","23,6",100,100,100,100,",6",0
2018-10-07,02:00,0,"1004,9","1004,9",1004,0,"23,4","23,4","23,6","23,3","23,6","23,3",100,100,100,313,",5",0
2018-10-07,03:00,0,"1005,4","1005,4","1004,9",0,23,23,"23,4",23,"23,4",23,100,100,100,0,",7",0
2018-10-07,04:00,0,"1005,4","1005,6","1005,4",0,"22,9","22,9","23,1","22,9","23,1","22,9",100,100,100,8,",8",0
2018-10-07,05:00,0,1005,"1005,6",1005,0,"22,9",-9999,23,"22,8","22,9","22,8",100,100,-9999,331,",5",0
2018-10-07,06:00,0,"1004,5",1005,"1004,5",0,"22,9",-9999,23,"22,8","22,8","22,8",100,100,-9999,198,1,0
2018-10-07,07:00,0,"1004,2","1004,6","1004,2",0,"22,4",-9999,"22,9","22,4","22,8","22,4",100,100,-9999,218,",8",0
2018-10-07,08:00,0,"1004,3","1004,3","1004,1",0,"22,3",-9999,"22,4","22,2",-9999,-9999,-9999,-9999,-9999,185,",4",0
2018-10-07,09:00,0,"1004,3","1004,3","1004,2",0,22,-9999,"22,3",22,-9999,-9999,-9999,-9999,-9999,163,",8",0
2018-10-07,10:00,0,"1005,2","1005,2","1004,4",0,"21,9",-9999,22,"21,9",-9999,-9999,-9999,-9999,-9999,130,",2",0
2018-10-07,11:00,0,"1006,1","1006,1","1005,2",0,"22,8",-9999,"22,8","21,8",-9999,-9999,-9999,-9999,-9999,146,",1",0
2018-10-07,12:00,0,"1006,9","1006,9","1006,1",0,"26,1","25,5","26,1","22,8","25,5","24,3",100,94,96,306,",5",0
2018-10-07,13:00,0,"1007,5","1007,5","1006,9",0,"27,7","25,7","27,7","26,1",26,"25,3",96,89,89,241,"1,7",1
2018-10-07,14:00,0,"1007,7","1007,7","1007,5",0,"29,7","26,4",30,"27,7","26,8","25,5",90,80,82,270,2,1
2018-10-07,15:00,0,"1007,1","1007,7","1007,1",0,"30,5","25,5",31,"29,6","26,4",25,83,72,75,303,"2,3",1
2018-10-07,16:00,0,"1006,4","1007,1","1006,4",0,32,"25,8","32,1","30,6","26,6","24,8",76,69,70,5,"1,9",1
2018-10-07,17:00,0,"1005,2","1006,4","1005,3",0,"32,8","24,9","32,9",32,"26,2","24,6",71,63,63,344,"2,4",1
2018-10-07,18:00,0,"1003,9","1005,2",1004,0,"33,6","24,9","33,7","32,8","26,1","24,6",67,59,61,75,"2,9",1
2018-10-07,19:00,0,"1002,2","1003,9","1002,2",0,"34,1","25,2","34,4","33,4","26,1",24,65,56,60,32,"2,8",1
2018-10-07,20:00,0,"1001,3","1002,2","1001,3",0,"33,8","24,4","34,4","33,3","25,6","23,4",62,54,58,58,"2,5",1
2018-10-07,21:00,0,"1000,9","1001,4","1000,9",0,"33,4","24,8","33,8","33,3","24,8","23,7",61,57,61,86,"2,3",1
2018-10-07,22:00,0,"1001,5","1001,5","1000,9",0,"31,1","25,9","33,6","31,2","26,3","24,7",74,60,74,46,"1,7",0
2018-10-07,23:00,0,"1001,8","1001,8","1001,5",0,"27,7","25,9",31,"27,7","26,1","25,5",90,73,90,40,",8",0
2018-10-28,00:00,0,"1002,5","1002,6","1001,3",0,26,"25,3","26,7","26,1","25,5","25,3",95,93,95,161,"1,2",0
2018-10-28,01:00,0,"1003,3","1003,4","1002,6",0,"25,9","25,3","26,1","25,8","25,3","25,2",97,96,96,148,"1,1",0
2018-10-28,02:00,0,"1003,8","1003,8","1003,3",0,"25,3",25,"25,9","25,3","25,3",25,99,96,99,205,",9",0
2018-10-28,03:00,0,1004,"1004,2","1003,7",0,"25,3","25,3","25,3","25,1","25,3",25,100,99,100,141,",9",0
2018-10-28,04:00,0,"1004,1",1004,"1003,8",0,"25,4","25,4","25,7","25,3","25,5","25,3",100,98,100,149,"1,2",0
2018-10-28,05:00,0,"1003,6","1004,1","1003,6",0,"24,7","24,7","25,4","24,7","25,4","24,7",100,100,100,295,",9",0
2018-10-28,06:00,0,"1002,8","1003,6","1002,7",0,"24,3","24,3","24,7","24,3","24,7","24,3",100,100,100,169,",9",0
2018-10-28,07:00,0,"1002,8","1002,8","1002,4",0,"24,4","24,4","24,5","24,2","24,5","24,2",100,100,100,244,"1,6",0
2018-10-28,08:00,0,"1002,5","1003,1","1002,5",0,"24,6","24,6","24,6","24,3","24,6","24,3",100,100,100,228,"1,6",1
2018-10-28,09:00,0,1004,1004,"1002,5",0,"24,8","24,8","24,8","24,5","24,8","24,5",100,100,100,28,"2,4",1
2018-10-28,10:00,3,"1005,6","1005,6","1003,9",0,23,23,"24,8",23,"24,8",23,100,99,100,71,"4,7",2
2018-10-28,11:00,1,"1006,8","1006,8","1005,1",0,"22,4","22,4",23,"22,2",23,"22,2",100,100,100,297,"1,9",0
