Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2022/10/02,0000 UTC,0,"1006,1","1006,1","1004,5",0,27,"22,2","28,2","26,9","22,5","21,9",76.0,70.0,75.0,220.0,"6,1","2,1"
2022/10/02,0100 UTC,0,"1006,6","1006,8","1006,1",0,"26,6","21,3","27,2","26,6","22,1","21,3",75.0,71.0,73.0,219.0,"6,1","2,4"
2022/10/02,0200 UTC,0,"1007,3","1007,5","1006,6",0,"26,3","21,7","26,7","26,2","21,7","21,3",76.0,73.0,76.0,201.0,"6,4","2,5"
2022/10/02,0300 UTC,0,"1007,7","1008,4","1007,2",0,"25,6","21,6","26,3","25,6","22,1","21,6",79.0,76.0,79.0,194.0,"8,8",3
2022/10/02,0400 UTC,0,"1006,8","1007,9","1006,8",0,"25,5","21,9","25,6","25,4","21,9","21,6",81.0,79.0,80.0,236.0,"8,8","2,2"
2022/10/02,0500 UTC,0,"1006,8",1007,"1006,7",0,25,"21,9","25,5","24,9",22,"21,8",84.0,80.0,83.0,252.0,"5,2","1,7"
2022/10/02,0600 UTC,0,"1005,9","1007,2","1005,9",0,"25,2","21,3","25,2","24,8","21,8","21,1",83.0,79.0,79.0,272.0,"3,5","1,4"
2022/10/02,0700 UTC,0,"1005,6","1005,9","1005,4",0,"25,4","21,8","25,4","25,1","21,9","21,3",82.0,79.0,81.0,271.0,"3,7","1,1"
2022/10/02,0800 UTC,0,1006,1006,"1005,5",0,"25,3","21,7","25,5","25,3","21,8","21,4",81.0,78.0,80.0,281.0,4,"1,1"
2022/10/02,0900 UTC,0,"1006,2","1006,4",1006,0,"24,1","21,4","25,3","24,1","21,8","21,4",85.0,80.0,85.0,341.0,"3,4",",7"
2022/10/02,1000 UTC,0,"1007,4","1007,4","1006,2","5,4","24,1","21,1","24,1","23,8","21,4","21,1",85.0,83.0,83.0,4.0,"2,4",",8"
2022/10/02,1100 UTC,0,"1008,3","1008,4","1007,4","195,2","25,2","20,8","25,2","24,1",21,"20,6",83.0,77.0,77.0,278.0,2,",8"
2022/10/02,1200 UTC,0,1009,"1009,1","1008,3","775,1","27,2","20,3","27,2","25,2","20,9","20,1",77.0,66.0,66.0,287.0,"2,7","1,2"
2022/10/02,1300 UTC,0,"1009,6","1009,6",1009,"1702,3","29,7","20,6",30,"27,2","21,1","20,1",66.0,57.0,58.0,289.0,"4,1","1,2"
2022/10/02,1400 UTC,0,"1009,4","1009,7","1009,4","2700,6","30,9","20,5","30,9","28,9","21,2",20,61.0,54.0,54.0,276.0,"5,8","1,7"
2022/10/02,1500 UTC,0,"1008,8","1009,4","1008,8","3191,2","31,6","20,1","32,2","30,1","20,8","19,8",55.0,49.0,51.0,259.0,"6,9","2,2"
2022/10/02,1600 UTC,0,"1007,8","1008,8","1007,8","3369,4","32,7","19,8","33,6","31,3","20,7","19,2",52.0,45.0,47.0,278.0,"6,7","2,1"
