Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2022/10/02,0000 UTC,0,"999,3","999,3","998,7",,"27,5","21,1","29,3","27,5","21,7","20,8",70.0,60.0,68.0,58.0,"1,1",",3"
2022/10/02,0100 UTC,0,1000,1000,"999,3",,"26,3","21,1","27,6","26,3","21,3","20,8",73.0,67.0,73.0,53.0,"2,6",0
2022/10/02,0200 UTC,0,"1000,9","1000,9",1000,,"25,3","22,2","26,4","25,3","22,3","21,1",83.0,73.0,83.0,317.0,"1,9",0
2022/10/02,0300 UTC,0,"1001,1","1001,3","1000,9",,"24,9","21,9","25,3","24,6","22,3","21,9",86.0,83.0,84.0,306.0,"1,1",",3"
2022/10/02,0400 UTC,0,"1000,7","1001,2","1000,7",,"24,8","21,8","24,9","24,5","22,1","21,8",86.0,83.0,83.0,292.0,"1,1",",5"
2022/10/02,0500 UTC,0,"1000,1","1000,7","1000,1",,"23,8",22,"24,8","23,8","22,1","21,6",89.0,83.0,89.0,156.0,"2,1",",5"
2022/10/02,0600 UTC,0,1000,"1000,2","999,9",,"23,7","21,5","23,8","23,6",22,"21,4",90.0,87.0,88.0,93.0,"2,1",",1"
2022/10/02,0700 UTC,0,"999,8",1000,"999,7",,"23,3","21,9","23,9","23,3","21,9","21,4",92.0,87.0,92.0,253.0,"1,2",0
2022/10/02,0800 UTC,0,"999,8","999,8","999,7",,"23,2",22,"23,6","23,2","22,3","21,7",93.0,90.0,93.0,211.0,"1,2",",1"
2022/10/02,0900 UTC,0,"1000,6","1000,6","999,8",,"22,8","21,9","23,2","22,7","22,1","21,9",95.0,93.0,95.0,213.0,"1,4",",2"
2022/10/02,1000 UTC,0,"1001,1","1001,1","1000,6",,"22,8",22,23,"22,7","22,2","21,8",95.0,95.0,95.0,97.0,"1,2",",2"
2022/10/02,1100 UTC,0,"1002,6","1002,7","1001,1","54,7","23,5","21,7","23,5","22,8","22,1","21,7",95.0,89.0,89.0,91.0,"5,9","1,3"
2022/10/02,1200 UTC,0,"1003,5","1003,5","1002,6","707,2","25,9","21,4","25,9","23,5",22,"21,4",89.0,76.0,76.0,80.0,"5,7","2,6"
2022/10/02,1300 UTC,0,"1003,9","1003,9","1003,5","1455,3","28,1",21,"28,1","25,8","21,6","20,9",77.0,66.0,66.0,87.0,"6,7","2,6"
2022/10/02,1400 UTC,0,"1003,8","1003,9","1003,8","2157,2","29,5","19,9","30,5",28,"21,4","19,7",66.0,55.0,56.0,83.0,"5,4","3,3"
2022/10/02,1500 UTC,0,1003,"1003,8",1003,2353,31,"19,8","31,4","29,4","21,1","19,4",59.0,50.0,51.0,65.0,"5,4","1,9"
2022/10/02,1600 UTC,0,"1002,3",1003,"1002,3","1858,3",32,20,"32,5","30,4","21,1","19,2",57.0,48.0,49.0,306.0,"4,1","1,9"
2022/10/02,1700 UTC,0,"1001,1","1002,3","1001,1",2507,32,"20,2","33,8","31,7","21,5","19,3",51.0,44.0,50.0,68.0,"4,6","2,6"
2022/10/02,1800 UTC,0,1000,"1001,1",1000,"2168,3","34,1","19,1","34,4",32,"20,8","18,8",50.0,41.0,41.0,319.0,"5,4","1,3"
2022/10/02,1900 UTC,0,"998,9",1000,"998,9","1430,6","34,3","18,8","34,3","32,7","20,2","18,7",47.0,40.0,40.0,360.0,4,"1,9"
2022/10/02,2000 UTC,0,"998,3","998,9","998,3","2100,6","32,6","19,8",35,"32,6",20,"17,8",47.0,37.0,47.0,61.0,"6,7","3,6"
2022/10/02,2100 UTC,0,"997,6","998,3","997,6","777,6","31,4","20,8","32,6","31,4","20,9","19,3",54.0,46.0,54.0,62.0,"6,3",3
2022/10/02,2200 UTC,0,"997,5","997,6","997,4","145,9",30,"19,1","31,4",30,"20,6","18,6",54.0,48.0,52.0,35.0,"5,3","1,1"
2022/10/02,2300 UTC,0,"997,9",998,"997,5","16,2","28,4","19,2",30,"28,4","19,2","18,8",57.0,52.0,57.0,335.0,"2,8",",2"
2022/10/30,0000 UTC,0,"993,8","993,8","992,8",,"28,8",23,30,"28,8",23,"22,1",71.0,63.0,71.0,107.0,"2,3","1,1"
2022/10/30,0100 UTC,0,"994,9","994,9","993,8",,"27,4","23,4","28,8","27,4","23,4","23,1",79.0,71.0,79.0,59.0,"4,6","2,6"
2022/10/30,0200 UTC,0,996,996,"994,9",,26,"23,1","27,4","25,9","23,3",23,84.0,79.0,84.0,38.0,"6,3","2,9"
2022/10/30,0300 UTC,0,996,"996,2",996,,25,"23,2",26,25,"23,3","22,9",90.0,84.0,90.0,50.0,"6,4",2
2022/10/30,0400 UTC,0,"995,8","996,2","995,8",,"24,8","23,6","25,1","24,8","23,7","23,3",94.0,90.0,94.0,80.0,"3,3","1,3"
2022/10/30,0500 UTC,0,995,"995,8",995,,"24,5","23,5","24,8","24,5","23,7","23,5",94.0,94.0,94.0,61.0,"2,4",",5"
2022/10/30,0600 UTC,0,"994,6",995,"994,5",,"24,3","23,5","24,5","24,1","23,5","23,3",96.0,94.0,95.0,329.0,"1,5",",4"
2022/10/30,0700 UTC,0,"994,2","994,6","994,2",,"23,6",23,"24,3","23,5","23,5","22,8",96.0,95.0,96.0,269.0,"1,6",",3"
2022/10/30,0800 UTC,0,994,"994,2",994,,"23,4","22,9","23,6","23,4",23,"22,8",97.0,96.0,97.0,144.0,"1,2",0
2022/10/30,0900 UTC,0,"994,1","994,2",994,,"23,1","22,6","23,5","23,1","22,9","22,6",97.0,97.0,97.0,131.0,1,",2"
2022/10/30,1000 UTC,0,"994,5","994,5","994,1",,"22,9","22,4","23,1","22,9","22,6","22,4",97.0,97.0,97.0,121.0,"1,6",",4"
2022/10/30,1100 UTC,0,"995,1","995,1","994,5","87,6","23,5",23,"23,5","22,8",23,"22,3",97.0,97.0,97.0,90.0,"1,3",",5"
2022/10/30,1200 UTC,0,"996,1","996,1","995,1","318,8","25,5","23,4","25,5","23,5","23,9","23,1",97.0,88.0,88.0,46.0,"3,6","1,9"
2022/10/30,1300 UTC,0,997,997,"996,1","1876,7","28,2","23,4","28,2","25,4","23,7",23,88.0,75.0,75.0,12.0,"4,1","1,9"
2022/10/30,1400 UTC,0,"997,3","997,3",997,"2731,2","30,1","22,8","30,1","28,2","23,8","22,6",76.0,65.0,65.0,23.0,"5,6","3,1"
2022/10/30,1500 UTC,0,"996,9","997,3","996,9","2856,4","31,9","22,2","31,9","30,1",23,"21,5",65.0,56.0,56.0,21.0,"6,6","2,7"
2022/10/30,1600 UTC,0,"996,1","996,9","996,1","3271,8","31,9","21,8",33,"30,9","23,1","21,5",59.0,53.0,55.0,43.0,"6,9","3,3"
2022/10/30,1700 UTC,0,995,"996,1",995,"3271,9","33,1","22,2","33,2","31,6","22,5","21,1",57.0,50.0,53.0,17.0,"7,2","2,8"
2022/10/30,1800 UTC,0,"993,7",995,"993,7","2791,9",33,"22,1","33,4","32,3","22,5","21,2",55.0,50.0,53.0,53.0,"6,9","3,6"
2022/10/30,1900 UTC,0,"992,7","993,7","992,7","1778,7","31,4","22,3","33,3","31,4","22,5","21,1",59.0,49.0,59.0,40.0,"7,9","3,9"
