Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2022/10/02,0000 UTC,0,"1005,7","1005,7","1004,7",0,"26,8","22,8","27,8","26,7","22,8","22,3",79.0,72.0,79.0,336.0,"1,9",",2"
2022/10/02,0100 UTC,0,"1006,1","1006,2","1005,7",0,"26,7","22,8","27,2","26,7","23,1","22,7",79.0,78.0,79.0,300.0,2,",4"
2022/10/02,0200 UTC,0,"1006,5","1006,5","1006,1",0,"26,3","22,8","26,7",26,"22,8","22,5",82.0,79.0,81.0,327.0,"1,7",",3"
2022/10/02,0300 UTC,0,1007,1007,"1006,5",0,"25,5","22,7","26,3","25,5","22,8","22,5",84.0,81.0,84.0,14.0,"1,3",",3"
2022/10/02,0400 UTC,0,"1006,9",1007,"1006,6",0,"25,5","22,5","25,8","25,5","22,9","22,5",85.0,83.0,84.0,28.0,"2,3",",6"
2022/10/02,0500 UTC,0,"1007,1","1007,6","1006,9",0,"23,3","21,3","25,5","23,3","22,6","21,1",89.0,79.0,89.0,23.0,"9,8",2
2022/10/02,0600 UTC,",4","1006,3",1007,"1006,1",0,23,"21,4","23,3","22,8","21,4","21,2",91.0,89.0,91.0,144.0,"5,2","1,3"
2022/10/02,0700 UTC,0,"1005,8","1006,5","1005,8",0,"22,8","21,4","23,1","22,8","21,5","21,4",92.0,91.0,92.0,193.0,"5,3","2,9"
2022/10/02,0800 UTC,0,"1005,6","1005,8","1005,1",0,"22,8",21,"22,8","22,7","21,4","20,9",92.0,90.0,90.0,165.0,"5,5",",5"
2022/10/02,0900 UTC,",2",1006,1006,"1005,6",0,"22,6",21,"22,9","22,6","21,1",21,91.0,89.0,91.0,194.0,"2,4","1,2"
2022/10/02,1000 UTC,",4","1005,7",1006,"1005,7",0,"22,4","20,8","22,7","22,4","21,1","20,8",91.0,90.0,91.0,191.0,"5,4","2,6"
2022/10/02,1100 UTC,0,"1006,7","1006,8","1005,7","33,9","22,7",21,"22,7","22,2",21,"20,8",91.0,90.0,90.0,304.0,"4,5",",2"
2022/10/02,1200 UTC,0,"1007,3","1007,3","1006,7","231,4","23,3","21,5","23,3","22,7","21,6","21,1",91.0,89.0,89.0,279.0,"2,8",1
2022/10/02,1300 UTC,0,"1008,3","1008,3","1007,1","669,6","24,6","21,8","24,7","23,2","22,1","21,3",90.0,84.0,84.0,65.0,"4,6",",8"
2022/10/02,1400 UTC,0,"1008,9",1009,"1008,3","1024,8","25,4","21,9","25,5","24,6","22,2","21,3",85.0,80.0,81.0,41.0,"3,7",",8"
2022/10/02,1500 UTC,0,"1008,9",1009,"1008,8","877,2","25,2","21,8","25,7",25,"22,3","21,4",83.0,79.0,81.0,306.0,"3,7","1,1"
2022/10/02,1600 UTC,0,"1008,4",1009,"1008,4","972,5","26,1","21,9","26,3","25,2","22,2","21,7",81.0,77.0,77.0,340.0,"2,5",",6"
2022/10/02,1700 UTC,0,"1007,3","1008,4","1007,3","1142,1","26,6","22,5","26,7",26,"22,6","21,9",80.0,76.0,78.0,295.0,3,"1,2"
2022/10/02,1800 UTC,0,"1006,1","1007,3","1006,1","1642,4","27,5","22,5","28,5","26,6","23,5","22,3",79.0,71.0,74.0,292.0,4,"1,5"
2022/10/02,1900 UTC,0,"1005,3","1006,1","1005,3","1600,3",28,"22,7","28,1","27,4",23,"22,2",75.0,72.0,73.0,271.0,4,"1,6"
2022/10/02,2000 UTC,0,"1004,6","1005,3","1004,6","842,8","27,5","22,5","28,2","27,4","23,1","22,2",75.0,73.0,75.0,296.0,"3,3",",9"
2022/10/02,2100 UTC,0,"1003,7","1004,6","1003,7","572,4","27,5","22,2","27,7","27,3","22,6",22,75.0,72.0,73.0,330.0,"2,6",",6"
2022/10/02,2200 UTC,0,"1003,5","1003,8","1003,4","259,1",27,"22,9","27,7",27,"22,9","21,8",78.0,71.0,78.0,12.0,"2,3",",7"
2022/10/02,2300 UTC,0,"1004,2","1004,2","1003,5","4,8","25,2","22,8",27,"25,2","23,1","22,8",87.0,78.0,87.0,33.0,"2,2",",1"
2022/10/30,0000 UTC,0,"1000,8","1000,9","1000,1",0,"24,6","22,3","27,5","24,6","23,3","21,5",87.0,77.0,87.0,88.0,4,",6"
2022/10/30,0100 UTC,",2","1001,4","1001,4","1000,8",0,"24,2","22,6","24,6","24,2","22,6","22,3",91.0,87.0,91.0,85.0,"2,2",",5"
2022/10/30,0200 UTC,0,"1002,4","1002,4","1001,4",0,"24,3","22,6","24,3","24,1","22,6","22,4",91.0,90.0,90.0,17.0,"1,7",0
2022/10/30,0300 UTC,0,"1002,3","1002,5","1002,2",0,"24,1","22,5","24,4","24,1","22,6","22,5",91.0,89.0,91.0,73.0,"1,5",",3"
2022/10/30,0400 UTC,0,"1001,8","1002,3","1001,8",0,"24,2","22,7","24,2","23,9","22,7","22,2",91.0,90.0,91.0,350.0,"2,1",",7"
2022/10/30,0500 UTC,0,"1000,8","1001,9","1000,8",0,"24,3","22,5","24,6","24,2",23,"22,5",91.0,89.0,89.0,18.0,"2,9","1,1"
2022/10/30,0600 UTC,0,"1000,3","1000,8","1000,3",0,"24,2","22,4","24,3","24,1","22,5","22,2",90.0,89.0,90.0,324.0,"2,9",",2"
2022/10/30,0700 UTC,0,"999,9","1000,3","999,9",0,24,"22,1","24,3",24,"22,4","22,1",90.0,89.0,89.0,17.0,3,1
2022/10/30,0800 UTC,0,1000,"1000,1","999,9",0,"23,5",22,24,"23,4","22,1","21,8",92.0,89.0,92.0,37.0,"2,9",",1"
2022/10/30,0900 UTC,0,"1000,3","1000,3",1000,0,"23,5","22,3","23,5","23,3","22,3",22,93.0,92.0,93.0,11.0,"2,1",",6"
2022/10/30,1000 UTC,0,"1000,8","1000,8","1000,3","3,5","23,7","22,6","23,7","23,5","22,6","22,3",93.0,93.0,93.0,15.0,"2,4",",3"
2022/10/30,1100 UTC,0,"1001,4","1001,4","1000,8","240,5","24,7","23,5","24,7","23,7","23,5","22,6",93.0,93.0,93.0,17.0,2,",2"
2022/10/30,1200 UTC,0,"1002,4","1002,4","1001,3","807,1",26,23,"26,1","24,7","24,1","22,8",93.0,83.0,84.0,15.0,"2,5","1,1"
2022/10/30,1300 UTC,0,"1003,1","1003,1","1002,4","951,2","26,8","23,1","26,8",26,"23,5","22,8",85.0,80.0,80.0,360.0,"2,9","1,2"
2022/10/30,1400 UTC,0,"1003,2","1003,4","1003,2","1178,5","27,8","23,3","27,9","26,7","23,6","22,9",81.0,76.0,76.0,266.0,"2,5",",9"
2022/10/30,1500 UTC,",2","1002,9","1003,3","1002,9","2528,3","29,3","23,2","29,6","27,8","24,3","22,3",78.0,68.0,70.0,342.0,"4,2",",7"
2022/10/30,1600 UTC,0,"1002,3","1002,9","1002,3","1895,5","29,3","23,6","29,8","28,9","24,1","22,9",72.0,69.0,72.0,273.0,"3,4","1,6"
2022/10/30,1700 UTC,0,1001,"1002,3",1001,"3190,2","31,9","24,2","31,9","29,3","24,6","22,6",72.0,61.0,64.0,6.0,"5,5","1,7"
2022/10/30,1800 UTC,0,"999,7",1001,"999,7","2902,7","31,8","21,8","32,2",31,"24,4","21,8",66.0,56.0,56.0,15.0,"5,5","1,8"
2022/10/30,1900 UTC,0,"998,6","999,7","998,6","2209,3","31,6","21,7","32,4","31,3","23,2","21,5",61.0,54.0,56.0,18.0,"5,7","2,3"
2022/10/30,2000 UTC,0,998,"998,6",998,"1544,6","31,3","22,7",33,"31,3","23,4",22,61.0,55.0,60.0,356.0,"5,1","1,9"
2022/10/30,2100 UTC,0,"997,7",998,"997,7","773,5","32,4","22,9","32,5","30,7","23,7","22,4",66.0,56.0,57.0,254.0,"3,7",",8"
2022/10/30,2200 UTC,0,"998,1","998,1","997,6","338,3","30,9","23,2","32,4","30,7","23,6","22,4",65.0,56.0,64.0,289.0,"2,4",",3"
2022/10/30,2300 UTC,0,"998,6","998,6",998,"4,7","28,6","23,4","30,9","28,6","23,4","22,1",73.0,62.0,73.0,354.0,"1,3",0
