Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2022/10/02,0000 UTC,0,"1006,3","1006,3","1005,1",0,"26,8","23,8","28,6","26,7",24,"23,2",84.0,75.0,84.0,41.0,"1,2",0,
2022/10/02,0100 UTC,9,"1008,4","1008,4","1006,1","4,1","21,9","20,5",28,"21,9","24,2","19,7",92.0,73.0,92.0,48.0,"15,6","9,5",
2022/10/02,0200 UTC,"7,6","1009,2","1009,3","1008,4",",9","22,4",21,"22,4","21,8","21,1","20,6",94.0,92.0,92.0,39.0,"15,6","2,2",
2022/10/02,0300 UTC,"2,2","1008,4","1009,2","1008,4",0,"22,1","20,8","22,4",22,21,"20,7",93.0,92.0,92.0,79.0,"4,1",",2",
2022/10/02,0400 UTC,",8","1007,5","1008,5","1007,5",0,"22,1",21,"22,2",22,21,"20,7",93.0,92.0,93.0,190.0,"2,2","1,6",
2022/10/02,0500 UTC,0,"1006,3","1007,4","1006,3",0,"21,9","20,8","22,1","21,9",21,"20,8",94.0,93.0,94.0,199.0,"2,4",",8",
2022/10/02,0600 UTC,0,"1005,8","1006,6","1005,8",0,"21,9","20,9",22,"21,8","20,9","20,8",94.0,94.0,94.0,244.0,"4,5","2,5",
2022/10/02,0700 UTC,0,"1005,4","1005,8","1005,2",0,"21,9","20,7",22,"21,9","20,9","20,7",94.0,93.0,93.0,214.0,"4,6","2,2",
2022/10/02,0800 UTC,0,"1005,4","1005,5","1005,1",0,"21,8","20,6",22,"21,8","20,7","20,6",93.0,92.0,93.0,208.0,"5,1","1,7",
2022/10/02,0900 UTC,0,"1006,1","1006,1","1005,4",0,"21,8","20,7","21,8","21,7","20,7","20,6",94.0,93.0,94.0,204.0,"3,6",2,
2022/10/02,1000 UTC,0,1007,"1007,1","1006,1",",2","22,1","20,9","22,1","21,8","20,9","20,7",94.0,93.0,93.0,51.0,"2,9",",1",
2022/10/02,1100 UTC,0,"1007,9","1007,9",1007,"79,9","22,4","21,2","22,4",22,"21,2","20,9",93.0,93.0,93.0,133.0,",9",0,
2022/10/02,1200 UTC,0,"1008,7","1008,7","1007,9","307,9","22,9","21,3","22,9","22,4","21,5","21,1",93.0,91.0,91.0,125.0,2,",5",
2022/10/02,1300 UTC,0,"1009,3","1009,3","1008,7","873,2","24,5","21,6","24,5","22,9","22,1","21,3",91.0,84.0,84.0,186.0,"2,2",1,
2022/10/02,1400 UTC,0,"1009,6","1009,6","1009,3","1483,6","26,1","22,3","26,1","24,2",23,"21,2",86.0,77.0,79.0,127.0,3,"1,2",
2022/10/02,1500 UTC,0,"1009,3","1009,6","1009,3","1431,7","27,7","22,7","27,8","25,9","22,8","21,8",80.0,72.0,74.0,144.0,"2,7","1,2",
2022/10/02,1600 UTC,0,"1008,8","1009,3","1008,7","1914,1","28,2","22,5","28,9","27,6","23,2","21,6",74.0,68.0,72.0,93.0,"4,2","2,6",
2022/10/02,1700 UTC,0,"1007,5","1008,8","1007,5","1041,8","27,8","22,8","28,2","27,2","23,3","22,5",79.0,71.0,74.0,70.0,"5,1","1,9",
2022/10/02,1800 UTC,0,"1006,5","1007,5","1006,5","1088,3","27,8","22,9","28,2","27,4","23,2","22,4",77.0,72.0,75.0,43.0,"3,2","1,7",
2022/10/02,1900 UTC,0,"1005,6","1006,5","1005,6","1837,6","29,6","23,1","29,6","27,5","24,1","22,7",77.0,68.0,68.0,352.0,"3,3","1,2",
2022/10/02,2000 UTC,0,1005,"1005,6",1005,"1697,9","28,9",23,"30,7","28,9","23,3","21,5",71.0,60.0,70.0,28.0,"3,6","1,5",
2022/10/02,2100 UTC,0,"1004,3",1005,"1004,3","641,2","28,4","23,2","29,7","28,4","23,5","22,2",74.0,66.0,74.0,19.0,"3,7",1,
2022/10/02,2200 UTC,0,"1004,4","1004,4","1004,2",234,"27,3","23,4","28,4","27,3","23,4",23,79.0,73.0,79.0,39.0,3,"1,1",
2022/10/02,2300 UTC,0,"1004,8","1004,9","1004,4",2,"25,8","23,6","27,3","25,5","23,7","22,9",88.0,79.0,88.0,42.0,"1,9",",7",
2022/10/30,0000 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,0100 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,0200 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,0300 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,0400 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,0500 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,0600 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,0700 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,0800 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,0900 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,1000 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,1100 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,1200 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,1300 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,1400 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,1500 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,1600 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,1700 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,1800 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,1900 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,2000 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,2100 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,2200 UTC,,,,,,,,,,,,,,,,,,
2022/10/30,2300 UTC,,,,,,,,,,,,,,,,,,
