Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2022/10/02,0000 UTC,0,"994,6","994,6",993,0,"20,8",20,"20,8","20,6",20,"19,9",96.0,95.0,96.0,324.0,"4,3",",3"
2022/10/02,0100 UTC,0,996,996,"994,6",0,"20,9",20,21,"20,8","20,2",20,96.0,95.0,95.0,279.0,2,",7"
2022/10/02,0200 UTC,0,"995,8","996,1","995,8",0,"20,9","20,2",21,"20,8","20,2",20,96.0,95.0,96.0,244.0,2,",3"
2022/10/02,0300 UTC,0,"995,2","995,8","995,2",0,"20,8",20,"21,1","20,8","20,2","19,8",96.0,93.0,95.0,261.0,"2,7","1,1"
2022/10/02,0400 UTC,0,"994,5","995,2","994,4",0,"20,9","19,9","20,9","20,8","20,1","19,9",95.0,94.0,94.0,259.0,"2,5",",4"
2022/10/02,0500 UTC,0,"993,9","994,5","993,9",0,"20,7","19,9","20,9","20,6","19,9","19,8",95.0,94.0,95.0,255.0,3,"1,1"
2022/10/02,0600 UTC,0,"992,9","993,9","992,9",0,"20,6","19,9","20,7","20,5","19,9","19,8",96.0,95.0,96.0,271.0,"2,4",",1"
2022/10/02,0700 UTC,0,"992,6","992,9","992,5",0,"20,5","19,9","20,7","20,5",20,"19,9",96.0,96.0,96.0,219.0,"1,4",0
2022/10/02,0800 UTC,0,"993,2","993,2","992,5",0,"20,6",20,"20,7","20,5","20,1","19,9",96.0,96.0,96.0,228.0,"2,4","1,5"
2022/10/02,0900 UTC,0,994,994,"993,2",0,"20,6",20,"20,7","20,5",20,"19,9",96.0,96.0,96.0,221.0,"2,5","1,1"
2022/10/02,1000 UTC,0,"994,6","994,6",994,"1,8","20,7",20,"20,8","20,6","20,2",20,96.0,96.0,96.0,244.0,"2,5","1,4"
2022/10/02,1100 UTC,0,"995,4","995,5","994,6","264,9","21,2","20,1","21,2","20,6","20,2",20,96.0,94.0,94.0,196.0,"3,5","1,1"
2022/10/02,1200 UTC,0,"996,5","996,5","995,5","884,8","22,8","20,1","22,8","21,2","20,8",20,94.0,85.0,85.0,205.0,"4,2","1,7"
2022/10/02,1300 UTC,0,"997,3","997,3","996,5","1469,3","24,1","20,1","24,6","22,8",21,"19,7",86.0,78.0,78.0,196.0,"4,8","2,1"
2022/10/02,1400 UTC,0,"997,6","997,7","997,3",2470,"25,5","20,9",26,24,"21,7","20,2",81.0,73.0,76.0,204.0,"4,7","2,1"
2022/10/02,1500 UTC,0,"996,9","997,6","996,9","2218,6","26,6","21,1","26,6","25,5","21,6","20,4",78.0,70.0,72.0,205.0,"4,6","2,3"
2022/10/02,1600 UTC,",2",996,"996,9",996,"2249,3",28,"21,2",28,"26,2","21,8","20,3",72.0,65.0,67.0,207.0,"4,6","1,9"
2022/10/02,1700 UTC,0,"995,2",996,"995,2","2049,6","27,9","20,8","28,3","27,4","21,3","18,8",67.0,58.0,66.0,264.0,"3,8","1,7"
2022/10/02,1800 UTC,0,"993,9","995,2","993,9","1911,4","28,4","19,6","28,6","27,7","21,5","19,6",68.0,59.0,59.0,278.0,"3,9","1,9"
2022/10/02,1900 UTC,0,"993,1","993,9","993,1","2514,4","29,8","19,8",30,"28,4","21,9","19,1",65.0,54.0,55.0,291.0,"5,8","1,9"
2022/10/02,2000 UTC,0,"992,5","993,1","992,5","1708,7","29,7","20,8","29,9","28,9","20,9","18,9",61.0,54.0,59.0,246.0,4,"1,4"
2022/10/02,2100 UTC,0,"992,1","992,5","992,1","827,2","28,8","20,3","29,8","28,8","20,7","19,6",61.0,57.0,60.0,257.0,"3,1","1,4"
2022/10/02,2200 UTC,0,"992,6","992,6","992,1","147,5","27,1","20,8","28,8","27,1","20,9","19,7",69.0,58.0,68.0,301.0,"2,5",",7"
2022/10/02,2300 UTC,0,"993,8","993,8","992,6",0,26,"21,5","27,2",26,"21,5","20,5",76.0,67.0,76.0,284.0,"2,4",",5"
2022/10/30,0000 UTC,0,"990,1","990,1","988,8",0,"26,4","20,8","27,2","26,4","21,3","20,5",72.0,68.0,71.0,313.0,"2,4",",3"
2022/10/30,0100 UTC,0,"990,8","990,8",990,0,"25,9",21,"26,4","25,9","21,1","20,5",75.0,71.0,75.0,331.0,"1,4",0
2022/10/30,0200 UTC,0,"991,1","991,2","990,8",0,"25,2","21,4","25,8","25,2","21,7","20,8",80.0,74.0,79.0,311.0,",5",0
2022/10/30,0300 UTC,0,"990,9","991,1","990,9",0,"24,8","21,7","25,2","24,8","21,7","21,2",83.0,79.0,83.0,257.0,",7",0
2022/10/30,0400 UTC,0,"990,2","990,9","990,2",0,"24,2","21,4","24,8","24,2","21,9","21,3",85.0,83.0,85.0,220.0,",9",",1"
2022/10/30,0500 UTC,0,"989,6","990,2","989,6",0,24,"21,6","24,2","23,9","21,8","21,2",87.0,84.0,87.0,322.0,",6",0
2022/10/30,0600 UTC,0,"989,4","989,6","989,3",0,"23,7","21,4",24,"23,7","21,7","21,3",87.0,86.0,87.0,201.0,",5",0
2022/10/30,0700 UTC,0,"988,7","989,4","988,7",0,"23,4","21,8","23,7","23,4","21,8","21,5",91.0,87.0,91.0,221.0,1,0
2022/10/30,0800 UTC,0,"988,6","988,7","988,5",0,"23,4","21,7","23,5","23,3","21,9","21,6",92.0,89.0,91.0,226.0,1,0
2022/10/30,0900 UTC,0,"989,3","989,3","988,6",0,"22,8","21,9","23,4","22,8","21,9","21,7",94.0,91.0,94.0,211.0,2,"1,4"
2022/10/30,1000 UTC,0,"989,9","989,9","989,3","22,5",23,"21,5",23,"22,8","21,9","21,4",94.0,91.0,91.0,207.0,2,0
2022/10/30,1100 UTC,0,"990,7","990,7","989,9","309,1","23,8","21,7","23,8",23,"21,7","21,2",91.0,86.0,88.0,266.0,"2,1","1,2"
