Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2022/10/02,0000 UTC,0,"1007,9","1007,9","1006,3",0,"26,3","22,3",27,"26,3","22,7","21,8",78.0,76.0,78.0,244.0,"6,2","2,4",
2022/10/02,0100 UTC,0,"1007,9","1008,4","1007,9",0,"26,4","22,1","26,6","26,3","22,7","22,1",80.0,78.0,78.0,230.0,"7,5","3,1",
2022/10/02,0200 UTC,0,"1009,3","1009,5","1007,9",0,"26,1","21,9","26,5","26,1","22,4","21,7",79.0,76.0,77.0,354.0,"7,5","1,7",
2022/10/02,0300 UTC,0,1009,"1009,6",1009,0,"26,1","22,7","26,1","25,7","22,8","21,8",82.0,78.0,82.0,209.0,"3,9","1,5",
2022/10/02,0400 UTC,0,"1009,8","1009,9",1009,0,"24,4","21,8","26,1","24,3","22,8","21,6",86.0,81.0,86.0,179.0,"8,6","3,4",
2022/10/02,0500 UTC,0,"1008,2","1009,8","1008,2",0,"24,4","22,2","24,4",24,"22,3","21,7",89.0,85.0,88.0,233.0,"8,6","2,5",
2022/10/02,0600 UTC,0,"1007,4","1008,2","1007,4",0,"24,4","21,9","24,6","24,3","22,3","21,9",88.0,86.0,86.0,300.0,"5,1","1,5",
2022/10/02,0700 UTC,0,1007,"1007,8",1007,0,"23,8","21,7","24,5","23,8",22,"21,6",88.0,85.0,88.0,328.0,"4,1",2,
2022/10/02,0800 UTC,0,"1007,2","1007,2","1006,9",0,"23,7","21,7","23,8","23,6","21,8","21,6",89.0,88.0,89.0,14.0,"3,8","1,1",
2022/10/02,0900 UTC,0,"1007,5","1007,6",1007,0,"23,2","21,5","23,7","23,2","21,7","21,4",90.0,89.0,90.0,28.0,"4,4","2,6",
2022/10/02,1000 UTC,0,"1008,7","1008,7","1007,5","2,7","23,4","21,4","23,5","23,2","21,7","21,4",90.0,88.0,88.0,329.0,"4,4",",8",
