Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2022/10/02,0000 UTC,0,"1008,9","1008,9","1007,5",0,"28,6","23,9","29,5","28,6","24,7","23,9",78.0,74.0,76.0,259.0,,,
2022/10/02,0100 UTC,0,"1011,2","1011,2","1008,9",0,"27,4","22,9","28,6","27,4","23,9","22,9",77.0,74.0,77.0,209.0,,,
2022/10/02,0200 UTC,"3,6","1010,8","1011,9","1010,5",",7","23,2","21,5","27,4","22,9","23,1","20,8",91.0,75.0,91.0,329.0,,,
2022/10/02,0300 UTC,0,"1010,3","1010,8","1010,3",0,"22,9","21,5","23,2","22,8","21,5","21,2",92.0,90.0,92.0,233.0,,,
2022/10/02,0400 UTC,0,"1011,1","1011,1","1010,3",0,"22,8","21,5","22,9","22,8","21,6","21,5",93.0,92.0,92.0,126.0,,,
2022/10/02,0500 UTC,"3,4","1008,9","1011,4","1008,9",0,23,"21,6","23,1","22,8","21,9","21,5",93.0,92.0,92.0,217.0,,,
2022/10/02,0600 UTC,",4","1008,2","1008,9","1008,2",0,"22,7","21,3",23,"22,7","21,6","21,3",92.0,91.0,92.0,196.0,,,
2022/10/02,0700 UTC,0,"1008,5","1008,5","1008,2",0,"22,9","21,7","22,9","22,7","21,7","21,3",93.0,92.0,93.0,90.0,,,
2022/10/02,0800 UTC,0,1009,1009,"1008,5",0,"23,3","21,9","23,4","22,9","22,2","21,8",94.0,92.0,92.0,329.0,,,
2022/10/02,0900 UTC,0,"1009,8","1009,9",1009,",2","23,6","21,9","23,6","23,2",22,"21,8",92.0,90.0,90.0,349.0,,,
