Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2022/10/02,0000 UTC,,"1006,1","1006,1","1004,7",0,"29,6","23,6","30,4","29,6","23,6","22,9",70.0,65.0,70.0,280.0,"1,8",",4",
2022/10/02,0100 UTC,,"1007,1","1007,1","1006,1",0,"29,1","23,8","29,6",29,"23,9","23,3",73.0,70.0,73.0,300.0,"1,6",",8",
2022/10/02,0200 UTC,,"1007,7","1007,8","1007,1",0,"29,2","24,8","29,4","28,9","25,1","23,2",78.0,71.0,77.0,283.0,"2,8",",9",
2022/10/02,0300 UTC,,"1008,1","1008,1","1007,7",0,"27,8","23,1","29,2","27,7","24,7","22,2",77.0,70.0,76.0,246.0,"3,9",",6",
2022/10/02,0400 UTC,,"1007,6","1008,3","1007,6",0,"26,8",22,"27,8","26,8","23,5","21,4",79.0,72.0,75.0,227.0,"6,1",2,
2022/10/02,0500 UTC,,"1006,4","1007,6","1006,3",0,"26,2","21,6","26,8","26,2","21,9","20,8",76.0,71.0,76.0,236.0,"5,5","1,9",
2022/10/02,0600 UTC,,1006,"1006,4","1005,9",0,"26,1","21,8","26,2",26,22,"21,5",78.0,75.0,77.0,224.0,"3,2","1,3",
2022/10/02,0700 UTC,,"1006,1","1006,1","1005,9",0,"25,6","21,8","26,1","25,5","22,2","21,7",81.0,77.0,80.0,241.0,"3,4","1,5",
2022/10/02,0800 UTC,,"1006,7","1006,7","1006,1",0,"24,3","21,9","25,6","24,3",22,"21,6",87.0,79.0,87.0,337.0,"4,2",2,
2022/10/02,0900 UTC,,"1007,2","1007,3","1006,7",0,"23,9","21,8","24,3","23,9",22,"21,6",88.0,87.0,88.0,338.0,"4,8","1,9",
