Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2022/10/02,0000 UTC,0,"1008,3","1008,3","1006,9",0,,,,,,,86.0,75.0,77.0,159.0,"6,7","1,6",
2022/10/02,0100 UTC,0,"1009,9",1010,"1008,3",0,,,,,,,78.0,76.0,78.0,118.0,"4,9",1,
2022/10/02,0200 UTC,0,"1010,3","1010,5","1009,8",0,,,,,,,87.0,76.0,86.0,209.0,"3,4",",2",
2022/10/02,0300 UTC,0,"1010,5","1010,5","1010,1",0,,,,,,,87.0,85.0,87.0,228.0,"1,8",0,
2022/10/02,0400 UTC,0,"1009,6","1010,5","1009,6",0,,,,,,,87.0,84.0,85.0,205.0,"2,7",0,
2022/10/02,0500 UTC,0,"1008,8","1009,7","1008,8",0,,,,,,,89.0,85.0,89.0,201.0,0,0,
2022/10/02,0600 UTC,0,1008,"1008,8",1008,0,,,,,,,92.0,89.0,92.0,163.0,0,0,
2022/10/02,0700 UTC,0,1008,"1008,1","1007,8",0,,,,,,,95.0,92.0,95.0,118.0,0,0,
2022/10/02,0800 UTC,0,"1008,1","1008,2",1008,0,,,,,,,96.0,95.0,96.0,122.0,0,0,
2022/10/02,0900 UTC,0,"1008,7","1008,7","1008,1",0,,,,,,,97.0,96.0,97.0,332.0,0,0,
2022/10/02,1000 UTC,0,"1009,4","1009,4","1008,7",22,,,,,,,98.0,97.0,98.0,288.0,0,0,
2022/10/02,1100 UTC,0,"1010,8","1010,8","1009,4","414,6",,,,,,,98.0,92.0,92.0,318.0,"2,4",0,
2022/10/02,1200 UTC,0,"1011,9","1011,9","1010,8","699,2",,,,,,,93.0,84.0,84.0,274.0,"5,5","2,1",
2022/10/02,1300 UTC,0,"1012,2","1012,2","1011,9","747,7",,,,,,,85.0,81.0,81.0,287.0,"4,4",",7",
2022/10/02,1400 UTC,0,"1012,1","1012,3",1012,"1482,6",,,,,,,81.0,70.0,71.0,318.0,"5,1",0,
2022/10/02,1500 UTC,0,"1011,6","1012,1","1011,5","1717,2",,,,,,,73.0,68.0,68.0,280.0,"5,9","1,8",
2022/10/02,1600 UTC,0,"1010,5","1011,6","1010,5","2379,8",,,,,,,70.0,62.0,65.0,227.0,"4,1",",3",
2022/10/02,1700 UTC,0,"1009,3","1010,5","1009,3","2751,4",,,,,,,65.0,57.0,59.0,288.0,"3,4","1,2",
2022/10/02,1800 UTC,0,"1008,1","1009,3","1008,1","1741,2",,,,,,,61.0,56.0,56.0,103.0,"4,2",",7",
2022/10/02,1900 UTC,0,"1007,2","1008,1","1007,2",2090,,,,,,,59.0,54.0,55.0,129.0,"4,6",",6",
2022/10/02,2000 UTC,0,"1006,8","1007,2","1006,8","1568,5",,,,,,,56.0,53.0,56.0,288.0,"4,1",1,
2022/10/02,2100 UTC,0,"1006,7","1006,8","1006,3",709,,,,,,,66.0,54.0,66.0,315.0,"2,8",",9",
2022/10/02,2200 UTC,0,"1007,8","1007,8","1006,3","76,7",,,,,,,78.0,66.0,78.0,136.0,"2,4",0,
2022/10/02,2300 UTC,0,"1008,2","1008,2","1007,6",0,,,,,,,86.0,78.0,86.0,305.0,"1,4",0,
2022/10/30,0000 UTC,0,1005,1005,"1004,3",0,,,,,,,94.0,92.0,94.0,349.0,0,0,
2022/10/30,0100 UTC,0,"1005,7","1005,7",1005,0,,,,,,,96.0,94.0,96.0,349.0,0,0,
2022/10/30,0200 UTC,0,1006,1006,"1005,6",0,,,,,,,97.0,96.0,97.0,308.0,0,0,
2022/10/30,0300 UTC,0,"1005,8",1006,"1005,8",0,,,,,,,98.0,97.0,98.0,309.0,0,0,
2022/10/30,0400 UTC,0,"1005,5","1005,8","1005,5",0,,,,,,,99.0,98.0,99.0,308.0,0,0,
2022/10/30,0500 UTC,0,"1004,9","1005,5","1004,9",0,,,,,,,99.0,99.0,99.0,293.0,0,0,
2022/10/30,0600 UTC,0,"1004,4","1004,9","1004,4",0,,,,,,,99.0,99.0,99.0,304.0,0,0,
2022/10/30,0700 UTC,0,"1004,1","1004,4","1004,1",0,,,,,,,100.0,99.0,100.0,296.0,0,0,
2022/10/30,0800 UTC,0,"1003,9","1004,1","1003,9",0,,,,,,,100.0,99.0,100.0,304.0,0,0,
2022/10/30,0900 UTC,0,"1004,1","1004,1","1003,8",0,,,,,,,100.0,100.0,100.0,304.0,0,0,
2022/10/30,1000 UTC,0,"1004,7","1004,7","1004,1","43,7",,,,,,,100.0,100.0,100.0,304.0,0,0,
2022/10/30,1100 UTC,0,"1005,6","1005,6","1004,7","460,7",,,,,,,100.0,92.0,92.0,133.0,0,0,
2022/10/30,1200 UTC,0,"1006,3","1006,3","1005,6","1372,9",,,,,,,92.0,79.0,79.0,278.0,0,0,
2022/10/30,1300 UTC,0,"1006,8","1006,8","1006,3",2005,,,,,,,79.0,66.0,69.0,313.0,0,0,
2022/10/30,1400 UTC,0,"1006,5","1006,9","1006,5","2597,3",,,,,,,69.0,57.0,60.0,11.0,0,0,
2022/10/30,1500 UTC,0,"1005,8","1006,5","1005,8","3128,6",,,,,,,62.0,53.0,56.0,157.0,0,0,
2022/10/30,1600 UTC,0,"1004,7","1005,8","1004,7",3121,,,,,,,59.0,51.0,55.0,79.0,0,0,
2022/10/30,1700 UTC,0,"1003,5","1004,7","1003,5","2892,3",,,,,,,57.0,51.0,53.0,58.0,"3,2",",4",
2022/10/30,1800 UTC,0,"1002,7","1003,5","1002,7","2652,2",,,,,,,56.0,50.0,50.0,77.0,"4,1",",7",
2022/10/30,1900 UTC,0,1002,"1002,7",1002,"1708,8",,,,,,,59.0,50.0,56.0,358.0,"2,6",",3",
2022/10/30,2000 UTC,0,"1001,3",1002,"1001,3","1417,5",,,,,,,57.0,51.0,55.0,24.0,"2,4",0,
2022/10/30,2100 UTC,0,"1001,5","1001,5","1001,2","531,8",,,,,,,71.0,53.0,71.0,16.0,",9",0,
2022/10/30,2200 UTC,0,"1001,9","1001,9","1001,5","32,9",,,,,,,85.0,71.0,85.0,321.0,0,0,
2022/10/30,2300 UTC,0,"1002,5","1002,5","1001,9",0,,,,,,,91.0,85.0,91.0,338.0,0,0,
