Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2022/10/02,0000 UTC,0,"1008,5","1008,5","1007,1",,"30,3","23,1",31,"30,2","24,4","22,3",71.0,60.0,65.0,236.0,"1,8",",6",
2022/10/02,0100 UTC,0,"1009,4","1009,4","1008,5",,"28,3","23,5","30,4","28,3","23,6","23,1",75.0,65.0,75.0,236.0,"1,8",0,
2022/10/02,0200 UTC,0,1010,"1010,1","1009,4",,"27,6",24,"28,5","27,6",24,"23,6",81.0,75.0,81.0,236.0,1,",2",
2022/10/02,0300 UTC,0,"1009,9","1010,1","1009,9",,"27,2","23,5","27,6","27,2",24,"23,4",82.0,79.0,80.0,236.0,1,0,
2022/10/02,0400 UTC,0,"1009,8","1010,1","1009,8",,"28,1","23,8","28,1","26,8","24,4","23,3",83.0,78.0,78.0,236.0,"3,3",1,
2022/10/02,0500 UTC,0,"1009,1","1009,8",1009,,"27,2","23,5","28,1","27,2","23,8","23,3",81.0,77.0,81.0,236.0,"3,3",",2",
2022/10/02,0600 UTC,0,"1008,7","1009,1","1008,6",,"26,4","22,5","27,2","26,4","23,6","22,4",82.0,78.0,79.0,236.0,3,",3",
2022/10/02,0700 UTC,0,"1008,5","1008,7","1008,5",,"25,7","22,9","26,4","25,7",23,"22,5",85.0,79.0,85.0,236.0,"2,1",",1",
2022/10/02,0800 UTC,0,"1009,1","1009,1","1008,5",,"24,9",23,"25,7","24,9",23,"22,7",89.0,84.0,89.0,236.0,"1,7",",3",
2022/10/02,0900 UTC,0,"1009,5","1009,5","1009,1",,"24,7","22,5","24,9","24,6",23,"22,5",89.0,87.0,87.0,236.0,"1,8",",2",
2022/10/02,1000 UTC,0,"1010,2","1010,2","1009,5","8,8","25,1","22,8","25,1","24,5","22,8","22,5",90.0,87.0,87.0,236.0,"1,5",",3",
2022/10/02,1100 UTC,0,"1011,3","1011,3","1010,2","340,6","26,5","22,4","26,5","25,1",23,"21,9",87.0,78.0,78.0,236.0,"2,7",1,
2022/10/02,1200 UTC,0,"1011,9","1011,9","1011,3","1300,3","28,6","22,8","28,9","26,5","23,1","22,1",78.0,70.0,71.0,236.0,"4,3","2,1",
2022/10/02,1300 UTC,0,"1012,4","1012,4","1011,9","1731,7","29,2","23,4",30,"27,8","23,6","22,4",74.0,68.0,71.0,236.0,"4,3","1,9",
2022/10/02,1400 UTC,0,"1012,3","1012,5","1012,3","1360,4","29,9","23,6","30,4","28,4","23,8","22,8",73.0,66.0,69.0,236.0,"3,9","1,8",
2022/10/02,1500 UTC,0,"1011,6","1012,3","1011,6","1682,8","30,6","23,3",31,"29,7","23,9","22,6",69.0,62.0,65.0,236.0,"4,1","1,7",
2022/10/02,1600 UTC,0,"1010,4","1011,6","1010,4",2482,"31,6","23,1","32,6","30,3",24,"22,1",66.0,57.0,61.0,236.0,"4,1","1,2",
2022/10/02,1700 UTC,0,"1009,4","1010,4","1009,4","2404,6","32,8","22,5","32,9","31,2","23,4","22,3",61.0,55.0,55.0,236.0,"3,5",",9",
2022/10/02,1800 UTC,0,"1008,4","1009,4","1008,4","2361,2","33,4","22,4","33,9","32,5","23,4",22,56.0,52.0,53.0,236.0,"4,7","1,1",
2022/10/02,1900 UTC,0,"1007,4","1008,4","1007,4","2035,1","33,4","22,2",34,"32,7","23,1","21,9",55.0,51.0,52.0,236.0,"3,9","1,1",
2022/10/02,2000 UTC,0,"1006,9","1007,5","1006,9",1433,"33,2","22,3","34,1","33,1","22,5","21,9",53.0,50.0,53.0,236.0,"2,8",",7",
2022/10/02,2100 UTC,0,"1006,9","1007,1","1006,5","669,8","32,1","22,4","33,4",32,"22,6","21,8",58.0,52.0,57.0,236.0,"3,1","1,5",
2022/10/02,2200 UTC,0,"1007,7","1007,7","1006,8",88,"29,8","22,2","32,1","29,8","23,1","22,1",64.0,57.0,64.0,236.0,"4,2","1,3",
2022/10/02,2300 UTC,"11,8","1009,5","1009,5","1007,7",,"24,5","23,4","29,8","24,5","24,3","22,2",94.0,64.0,94.0,236.0,"4,2",2,
2022/10/30,0000 UTC,0,"1005,5","1005,5","1004,8",,27,"24,2","27,6","26,9","24,2","23,7",85.0,80.0,85.0,236.0,",6",0,
2022/10/30,0100 UTC,0,"1006,3","1006,3","1005,5",,"26,3","24,2",27,"26,3","24,3","24,1",88.0,85.0,88.0,236.0,0,0,
2022/10/30,0200 UTC,0,"1006,5","1006,5","1006,2",,"25,8","24,1","26,5","25,8","24,3",24,90.0,88.0,90.0,236.0,",8",0,
2022/10/30,0300 UTC,0,"1006,6","1006,7","1006,4",,"25,3",24,"25,8","25,3","24,2",24,93.0,90.0,93.0,236.0,0,0,
2022/10/30,0400 UTC,0,"1005,9","1006,6","1005,9",,"25,1",24,"25,3","25,1","24,2","23,9",95.0,93.0,94.0,236.0,0,0,
2022/10/30,0500 UTC,0,"1005,3","1005,9","1005,3",,"24,7","23,9","25,1","24,7",24,"23,8",95.0,94.0,95.0,236.0,"1,5",",1",
2022/10/30,0600 UTC,0,"1004,9","1005,3","1004,8",,"24,4","23,7","24,8","24,4",24,"23,6",96.0,94.0,96.0,236.0,"1,8",",1",
2022/10/30,0700 UTC,0,"1004,7","1004,9","1004,7",,24,"23,3","24,4",24,"23,7","23,3",96.0,96.0,96.0,236.0,1,0,
