Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2022/10/02,0000 UTC,1,"1006,1","1006,1","1004,6",,"25,4",20,"26,7","25,4","20,8",20,72,68,72,161,"9,7","3,9"
2022/10/02,0100 UTC,"2,2",1007,1007,"1005,9",,"24,2","19,7","25,4","23,5","19,7","18,7",76,72,76,249,"9,7",",1"
2022/10/02,0200 UTC,0,"1007,3","1007,5",1007,,"24,5","20,5","24,6","24,2","20,5","19,8",79,76,79,292,"4,2",0
2022/10/02,0300 UTC,0,"1008,8",1009,"1007,3",,"24,1","20,5","24,5","24,1","20,7","20,5",81,79,81,331,"3,4",0
2022/10/02,0400 UTC,",2","1007,9","1009,1","1007,9",,"22,4","19,3","24,1","22,4","20,5","19,2",82,80,82,340,"6,4",0
2022/10/02,0500 UTC,0,1007,"1008,1",1007,,"21,6","18,7","22,4","21,5","19,3","18,6",84,82,84,290,"4,6",0
2022/10/02,0600 UTC,0,"1007,1","1007,1","1006,6",,"21,6","18,9","21,7","21,5",19,"18,7",85,84,85,305,"1,8",0
2022/10/02,0700 UTC,0,"1007,4","1007,8","1007,1",,"21,8","19,3","21,8","21,4","19,3","18,8",86,85,86,271,"4,8",",4"
2022/10/02,0800 UTC,0,"1006,1","1007,7","1006,1",,"21,7","19,4",22,"21,6","19,5","19,3",86,86,86,163,"3,1",0
2022/10/02,0900 UTC,"3,4","1007,6","1008,1","1006,1",,"21,7","19,5","21,8","21,6","19,6","19,4",87,86,87,16,"5,3","2,6"
2022/10/02,1000 UTC,",2","1007,9","1007,9","1007,3",5,"21,5","19,5","21,7","21,5","19,6","19,4",88,87,88,188,"4,7",",1"
2022/10/02,1100 UTC,0,"1009,1","1009,1","1007,9","258,5","22,3","20,3","22,4","21,5","20,3","19,5",88,88,88,260,1,0
2022/10/02,1200 UTC,0,"1009,7","1009,8","1009,1","804,9","23,2","21,2","23,2","22,3","21,2","20,3",88,88,88,272,"2,3",0
2022/10/02,1300 UTC,0,"1010,1","1010,1","1009,7","1733,7",25,"22,9",25,"23,1","22,9","21,1",88,88,88,74,"2,8","1,1"
2022/10/02,1400 UTC,0,"1010,1","1010,2",1010,"2413,4","27,6","25,2","27,6",25,"25,2","22,9",88,87,87,124,"2,3",0
2022/10/02,1500 UTC,0,"1009,1","1010,1","1009,1","3414,2","29,1","26,4","29,7","27,6","27,1","25,3",87,86,86,341,"4,4",",1"
2022/10/02,1600 UTC,0,"1008,4","1009,1","1008,4","1625,6","29,7","26,8",30,"28,9","27,1","26,3",86,84,84,278,"2,9",0
2022/10/02,1700 UTC,0,"1007,2","1008,4","1007,2","3490,3","31,3","27,6","31,7","29,6","28,2","26,7",84,81,81,238,"3,4",0
2022/10/02,1800 UTC,0,"1006,4","1007,2","1006,4","1834,6","31,3","26,7","31,4","30,6","27,6","26,5",81,77,77,323,"2,8",0
2022/10/02,1900 UTC,0,"1005,3","1006,4","1005,3","2262,2","31,6","25,7",32,"30,9","26,6","25,5",77,71,71,7,"2,7",0
2022/10/02,2000 UTC,0,"1004,6","1005,4","1004,6","1267,9","30,9","23,6","31,7","30,8","25,6","23,6",71,65,65,354,"2,6",0
2022/10/02,2100 UTC,0,"1004,9","1004,9","1004,5","681,8","30,1","22,4",31,"30,1","23,7","22,4",65,64,64,330,"1,7",0
2022/10/02,2200 UTC,0,"1005,1","1005,1","1004,8","119,3","27,3","20,7","30,1","27,3","22,4","20,7",67,64,67,273,1,0
2022/10/02,2300 UTC,0,"1006,3","1006,3","1005,1",,"25,9","20,5","27,3","25,9","20,6","20,3",72,67,72,286,",6",0
2022/10/30,0000 UTC,0,"1002,4","1002,4","1001,9",,"24,5","20,9",25,"24,5","20,9","20,8",80,78,80,28,0,0
2022/10/30,0100 UTC,0,"1003,5","1003,5","1002,4",,"24,3",21,"24,6","24,3",21,"20,9",82,80,82,28,0,0
2022/10/30,0200 UTC,0,"1003,8","1003,8","1003,4",,24,21,"24,4",24,"21,1",21,83,82,83,28,0,0
2022/10/30,0300 UTC,0,"1004,1","1004,2","1003,8",,"23,4","20,6",24,"23,4","20,9","20,6",85,83,85,28,0,0
2022/10/30,0400 UTC,0,"1003,8","1004,2","1003,8",,"23,2","20,6","23,4","23,2","20,7","20,6",86,85,86,28,0,0
2022/10/30,0500 UTC,0,1003,"1003,8",1003,,"22,8","20,4","23,2","22,8","20,6","20,4",86,86,86,28,0,0
2022/10/30,0600 UTC,0,"1002,2",1003,"1002,2",,"22,7","20,5","22,9","22,7","20,6","20,3",87,86,87,90,0,0
2022/10/30,0700 UTC,0,"1001,7","1002,2","1001,7",,"22,3","20,2","22,7","22,3","20,5","20,2",88,87,88,344,0,0
2022/10/30,0800 UTC,0,"1001,6","1001,7","1001,6",,"22,4","20,4","22,4","22,2","20,4","20,1",88,88,88,338,0,0
2022/10/30,0900 UTC,",2",1002,1002,"1001,6",,"22,3","20,4","22,5","22,3","20,5","20,3",89,88,89,14,0,0
2022/10/30,1000 UTC,0,"1002,6","1002,6","1001,9","24,7","22,2","20,4","22,3","22,1","20,4","20,2",89,89,89,343,0,0
2022/10/30,1100 UTC,0,"1003,6","1003,6","1002,6","382,5","23,3","21,5","23,4","22,2","21,6","20,4",90,89,90,122,0,0
2022/10/30,1200 UTC,0,"1004,1","1004,1","1003,6","732,7","24,5","22,7","24,5","23,3","22,7","21,5",90,90,90,17,",9",0
2022/10/30,1300 UTC,0,"1004,5","1004,6","1004,1","1565,3","26,9","24,8",27,"24,5","24,9","22,7",90,88,88,7,"1,6",0
2022/10/30,1400 UTC,0,"1004,1","1004,5","1004,1","2231,8","28,9","26,6","28,9","26,8","26,6","24,6",88,87,87,30,0,0
2022/10/30,1500 UTC,0,"1003,4","1004,2","1003,4","2456,9","30,9","28,4","30,9","28,9","28,4","26,8",87,87,87,263,0,0
2022/10/30,1600 UTC,0,"1002,5","1003,4","1002,5","2467,1","31,4","28,6","31,4","30,7","28,7","28,1",87,85,85,148,"1,2",0
2022/10/30,1700 UTC,0,"1001,2","1002,5","1001,2",2261,"31,3","28,1","31,7","31,2","28,9","28,1",85,83,83,354,0,0
2022/10/30,1800 UTC,0,"1000,3","1001,2","1000,3","2017,1","31,9",28,"31,9","30,9","28,2","27,6",83,80,80,115,",5",0
2022/10/30,1900 UTC,0,"999,8","1000,3","999,8",1791,"31,5","26,7","32,4","31,4",28,"26,7",80,76,76,105,",9",0
2022/10/30,2000 UTC,0,"999,7","999,9","999,7","823,7","31,3","25,6","31,7","31,2","26,6","25,5",76,72,72,119,0,0
2022/10/30,2100 UTC,0,"999,7","999,8","999,7","392,9",30,"23,9","31,5",30,"25,7","23,9",72,70,70,323,0,0
2022/10/30,2200 UTC,0,"999,8","999,8","999,5","59,3","27,2",22,30,"27,2","23,8",22,73,70,73,263,0,0
2022/10/30,2300 UTC,0,"1000,2","1000,2","999,8",,"26,1","21,7","27,2","26,1",22,"21,7",77,73,77,210,0,0
