Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2022/10/02,0000 UTC,0,"1004,1","1004,1","1002,7",0,"27,3","24,3","28,4","27,3","24,5","24,2",84.0,79.0,84.0,327.0,0,0
2022/10/02,0100 UTC,0,"1004,9","1004,9","1004,1",0,"27,3","23,2","27,5","26,7","24,3","23,1",86.0,78.0,79.0,258.0,0,0
2022/10/02,0200 UTC,0,"1005,5","1005,8","1004,9",0,"26,5","22,6","27,3","26,5","23,2","22,5",80.0,78.0,79.0,270.0,0,0
2022/10/02,0300 UTC,0,"1006,7","1006,7","1005,2",0,"25,7","20,8","26,5","25,7","22,6","20,8",80.0,75.0,75.0,268.0,0,0
2022/10/02,0400 UTC,"17,6","1006,9",1009,"1006,6",1,"21,2","20,2","25,8","20,7","21,3","19,4",95.0,74.0,94.0,356.0,"13,3",0
2022/10/02,0500 UTC,1,"1005,5","1006,9","1005,3",0,"21,1","20,1","21,2","20,9","20,2",20,95.0,93.0,94.0,271.0,0,0
2022/10/02,0600 UTC,",2","1005,2","1005,4","1004,7",0,"21,5","20,4","21,6","21,1","20,7","20,1",95.0,93.0,93.0,102.0,"2,5",0
2022/10/02,0700 UTC,"4,2","1005,7","1006,6","1005,2",0,"21,6","20,7","21,9","21,5","20,8","20,4",94.0,93.0,94.0,323.0,0,0
2022/10/02,0800 UTC,",4","1004,7","1005,7","1004,4",0,"21,8","20,9","21,8","21,5","20,9","20,6",95.0,94.0,95.0,78.0,0,0
2022/10/02,0900 UTC,0,"1005,8","1005,9","1004,7",0,"22,1","20,8","22,1","21,6",21,"20,6",95.0,92.0,92.0,69.0,0,0
2022/10/02,1000 UTC,0,"1006,1","1006,1","1005,6","2,5","21,8","20,9","22,1","21,8","20,9","20,7",94.0,92.0,94.0,250.0,0,0
