Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2022/10/02,0000 UTC,0,"1009,1","1009,1",1007,0,"25,5","24,3","25,8","25,5","24,4","24,2",93.0,92.0,93.0,20.0,"1,7",0
2022/10/02,0100 UTC,0,"1009,7","1009,8","1009,1",0,"25,4","24,2","25,6","25,4","24,4","24,2",93.0,93.0,93.0,8.0,"1,4",",1"
2022/10/02,0200 UTC,0,"1010,1","1010,1","1009,7",0,"25,2","23,9","25,4","25,2","24,2","23,9",93.0,92.0,92.0,9.0,"2,5",",6"
2022/10/02,0300 UTC,0,"1009,7","1010,2","1009,7",0,25,"23,7","25,2",25,"23,9","23,7",93.0,92.0,92.0,9.0,"3,2","1,1"
2022/10/02,0400 UTC,0,"1009,2","1009,7","1009,2",0,"24,7","23,5",25,"24,7","23,7","23,5",93.0,92.0,93.0,8.0,"3,2",1
2022/10/02,0500 UTC,0,"1008,7","1009,2","1008,6",0,"24,3","23,2","24,7","24,3","23,4","23,1",93.0,93.0,93.0,19.0,"2,3",",4"
2022/10/02,0600 UTC,0,"1008,2","1008,8","1008,2",0,24,"22,9","24,3",24,"23,2","22,8",94.0,93.0,94.0,11.0,"1,8",",4"
2022/10/02,0700 UTC,0,"1007,9","1008,3","1007,9",0,"23,9","22,8",24,"23,9","22,9","22,8",94.0,94.0,94.0,9.0,2,",6"
2022/10/02,0800 UTC,0,1008,1008,"1007,9",0,"23,8","22,7","23,9","23,7","22,8","22,6",94.0,94.0,94.0,9.0,2,",4"
2022/10/02,0900 UTC,0,"1009,4","1009,4",1008,0,24,"22,9",24,"23,8","22,9","22,7",94.0,94.0,94.0,85.0,"2,1",",3"
