Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2022/10/02,0000 UTC,0,"1008,9",1009,"1008,6",,"24,2","21,5","24,5","24,2","21,9","21,4",85.0,84.0,85.0,224.0,"4,7","2,2",
2022/10/02,0100 UTC,0,"1009,4","1009,6","1008,9",,"23,6","21,1","24,2","23,6","21,6","21,1",86.0,84.0,86.0,215.0,5,"1,9",
2022/10/02,0200 UTC,0,"1009,3","1009,4","1009,2",,"23,3","21,2","23,6","23,2","21,2",21,88.0,86.0,88.0,190.0,"4,1","1,4",
2022/10/02,0300 UTC,0,"1008,7","1009,3","1008,7",,23,"21,1","23,3",23,"21,3","21,1",90.0,88.0,89.0,229.0,"2,9",1,
2022/10/02,0400 UTC,0,"1007,7","1008,7","1007,7",,"23,4","21,4","23,6",23,"21,4",21,89.0,87.0,89.0,271.0,"1,8",",5",
2022/10/02,0500 UTC,0,"1006,5","1007,7","1006,5",,23,"21,3","23,5","22,9","21,5","21,2",91.0,88.0,90.0,114.0,"1,2",",6",
2022/10/02,0600 UTC,0,"1006,1","1006,5","1006,1",,"22,6","21,2",23,"22,5","21,3","21,1",92.0,90.0,92.0,58.0,"1,7",",6",
2022/10/02,0700 UTC,0,"1005,8","1006,1","1005,7",,"21,9","20,8","22,6","21,9","21,2","20,7",93.0,92.0,93.0,130.0,"1,5",",3",
2022/10/02,0800 UTC,0,"1006,1","1006,1","1005,7",,"22,4","21,4","22,4","21,8","21,4","20,7",94.0,93.0,94.0,326.0,"1,4",",7",
2022/10/02,0900 UTC,0,"1007,2","1007,2","1006,1",,"22,3",21,"22,6","22,2","21,6",21,94.0,93.0,93.0,137.0,"1,7",",4",
2022/10/02,1000 UTC,0,"1008,1","1008,1","1007,2",",4","22,1","20,9","22,3","21,9",21,"20,7",93.0,92.0,93.0,183.0,"1,9",1,
2022/10/02,1100 UTC,0,1009,1009,"1008,1","167,9","22,7","21,3","22,7","22,1","21,3","20,9",93.0,92.0,92.0,206.0,"2,9","1,2",
2022/10/02,1200 UTC,0,1010,1010,1009,"851,9",25,22,"25,1","22,7","22,6","21,3",92.0,83.0,83.0,243.0,"3,7",2,
2022/10/02,1300 UTC,0,"1010,6","1010,6",1010,"1810,4","26,9","21,5","27,4",25,"22,5","21,4",84.0,72.0,72.0,281.0,"4,3","1,4",
2022/10/02,1400 UTC,0,"1010,6","1010,9","1010,6","2228,1","28,7","21,7","28,8","26,5","22,6",21,74.0,65.0,66.0,240.0,"3,5","1,4",
2022/10/02,1500 UTC,0,"1010,2","1010,6","1010,2","2400,3","29,7",22,"29,9","28,4","22,6",21,69.0,60.0,63.0,227.0,5,"2,2",
2022/10/02,1600 UTC,0,"1009,2","1010,2","1009,2","2764,3","31,4","21,2","31,4","29,7","22,7","19,5",65.0,50.0,55.0,239.0,"4,9","2,1",
2022/10/02,1700 UTC,0,"1008,2","1009,2","1008,2","2501,7","31,5","21,8","32,3","30,6","22,9","21,1",60.0,55.0,57.0,227.0,"4,6","2,3",
2022/10/02,1800 UTC,0,"1007,2","1008,2","1007,2","2270,1","31,2","22,8","32,6",31,"22,9","21,8",61.0,54.0,61.0,237.0,"5,6","2,7",
2022/10/02,1900 UTC,0,"1006,2","1007,2","1006,2","2021,2","31,5",22,"32,1","31,2","23,5",22,62.0,57.0,57.0,226.0,6,"2,5",
2022/10/02,2000 UTC,0,"1005,8","1006,2","1005,7","1374,6","31,2","22,5","31,7","31,2","23,1",22,61.0,57.0,60.0,226.0,"5,4","2,4",
2022/10/02,2100 UTC,0,"1005,5","1005,9","1005,5","974,8","30,6","22,4","31,3","30,6","22,9","22,3",62.0,59.0,62.0,238.0,"4,9","2,4",
2022/10/02,2200 UTC,0,"1005,4","1005,8","1005,3","324,1","29,7","22,5","30,7","29,7","22,8","22,4",66.0,62.0,65.0,204.0,4,"2,1",
2022/10/02,2300 UTC,0,"1006,6","1006,6","1005,4",,"28,7","22,8","29,7","28,7","22,9","22,4",71.0,65.0,71.0,122.0,"3,4","1,1",
2022/10/30,0000 UTC,0,"1002,8","1002,8","1002,1",,"26,6","24,7","26,9","26,6","24,9","24,7",90.0,88.0,90.0,250.0,"1,8",",3",
2022/10/30,0100 UTC,0,"1003,7","1003,7","1002,8",,"26,2","24,7","26,6","26,1","24,9","24,6",92.0,90.0,92.0,127.0,"1,1",",7",
2022/10/30,0200 UTC,0,1004,1004,"1003,7",,"25,6","24,3","26,2","25,4","24,7","24,1",93.0,92.0,93.0,180.0,"1,4",",7",
2022/10/30,0300 UTC,0,"1003,9","1004,1","1003,9",,"25,4","24,3","25,8","25,4","24,6","24,3",93.0,93.0,93.0,73.0,"1,4",",2",
2022/10/30,0400 UTC,0,"1003,4","1003,9","1003,4",,"25,2","24,1","25,4",25,"24,2","23,9",94.0,93.0,94.0,186.0,",7",",1",
2022/10/30,0500 UTC,0,"1002,8","1003,5","1002,8",,"24,9","23,9","25,3","24,8","24,3","23,8",94.0,94.0,94.0,12.0,1,",3",
2022/10/30,0600 UTC,0,"1002,4","1002,8","1002,4",,"25,2","24,2","25,2","24,7","24,2","23,7",94.0,94.0,94.0,171.0,"1,5",",4",
2022/10/30,0700 UTC,0,1002,"1002,4",1002,,25,24,"25,2","24,8","24,1","23,8",94.0,94.0,94.0,328.0,"1,1",",3",
2022/10/30,0800 UTC,0,"1002,4","1002,4","1001,8",,"25,7","24,6","25,7",25,"24,6",24,94.0,93.0,93.0,356.0,"2,2",1,
2022/10/30,0900 UTC,0,"1003,6","1003,6","1002,4",,"24,6","23,2","25,7","24,6","24,6","23,2",94.0,92.0,92.0,343.0,"6,8","2,7",
2022/10/30,1000 UTC,"1,2",1004,"1004,1","1003,7",,"23,2",22,"24,6","23,2",23,22,93.0,90.0,93.0,336.0,"7,4","2,8",
2022/10/30,1100 UTC,"1,2","1004,3","1004,3","1003,9","36,1","23,3","22,1","23,3","23,2","22,1","21,9",93.0,93.0,93.0,257.0,"5,3","1,2",
2022/10/30,1200 UTC,0,"1004,9","1004,9","1004,3",302,"24,3","22,6","24,3","23,3","22,6","22,1",93.0,90.0,90.0,288.0,"3,6",",8",
2022/10/30,1300 UTC,0,"1004,9","1005,1","1004,9","582,8","25,3","22,2","25,3","24,2","22,9","22,2",90.0,83.0,83.0,299.0,"2,5",",9",
2022/10/30,1400 UTC,0,"1004,2","1004,9","1004,2",857,26,"22,9","26,2","25,3","23,1","22,1",84.0,79.0,83.0,179.0,"1,8",",9",
2022/10/30,1500 UTC,0,"1003,6","1004,2","1003,2","791,9","26,8","23,3",27,26,"23,8","22,7",85.0,80.0,81.0,232.0,"4,8",",4",
2022/10/30,1600 UTC,0,"1003,1","1003,7","1003,1","912,7","27,2","23,1","27,4","26,8","23,7","22,9",81.0,78.0,78.0,5.0,"3,4","1,2",
2022/10/30,1700 UTC,0,"1002,1","1003,1","1002,1","1205,7",28,23,"28,1","27,2","23,6",22,80.0,73.0,74.0,276.0,"2,8",",5",
2022/10/30,1800 UTC,0,"1001,4","1002,1","1001,4","1336,4","28,6","23,4","28,6","27,8",24,"22,7",77.0,73.0,74.0,237.0,"2,2",",9",
2022/10/30,1900 UTC,0,"1000,7","1001,4","1000,7","1706,1","30,2","23,9","30,3","28,3","24,4","22,8",76.0,67.0,69.0,83.0,"2,2",",8",
2022/10/30,2000 UTC,0,"1000,3","1000,7","1000,3","1571,8",30,"23,6","30,8","29,7","24,9",23,73.0,66.0,69.0,45.0,"2,6",1,
2022/10/30,2100 UTC,0,"1000,2","1000,3","1000,2","1041,7","29,3","24,2","30,8","29,2","24,7","23,3",75.0,67.0,74.0,22.0,3,"1,5",
2022/10/30,2200 UTC,0,"1000,4","1000,4","1000,2","209,1","27,2","24,2","29,4","27,2","24,6",24,84.0,74.0,84.0,54.0,"2,3",",4",
2022/10/30,2300 UTC,0,"1001,1","1001,1","1000,4",,"26,1","24,5","27,2",26,"24,5","24,1",91.0,84.0,91.0,131.0,"1,5",",6",
