Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2022/10/02,0000 UTC,0,1004,"1004,1","1003,4",0,"22,3","20,9","22,7","22,3","21,3","20,4",93.0,87.0,92.0,,,
2022/10/02,0100 UTC,0,1005,1005,1004,0,"21,8","20,7","22,3","21,7","21,1","20,2",94.0,89.0,94.0,,,
2022/10/02,0200 UTC,0,"1004,9","1005,1","1004,8",0,"21,7","20,6",22,"21,7","20,9","20,6",94.0,94.0,94.0,,,
2022/10/02,0300 UTC,0,"1005,4","1005,4","1004,9",0,"21,4","20,4","21,7","21,4","20,6","20,3",94.0,94.0,94.0,,,
2022/10/02,0400 UTC,0,"1005,4","1005,6","1005,3",0,"21,7","20,7","21,7","21,4","20,7","20,4",94.0,94.0,94.0,,,
2022/10/02,0500 UTC,0,"1004,3","1005,4","1004,3",0,"21,6","20,5","21,8","21,6","20,8","20,5",94.0,93.0,93.0,,,
2022/10/02,0600 UTC,0,1004,"1004,3","1003,9",0,"21,3","20,3","21,6","21,3","20,5","20,3",94.0,93.0,94.0,,,
2022/10/02,0700 UTC,0,"1003,8",1004,"1003,8",0,"21,6","20,6","21,7","21,2","20,6","20,2",94.0,94.0,94.0,,,
2022/10/02,0800 UTC,0,1004,1004,"1003,8",0,"21,7","20,6","21,8","21,6","20,7","20,6",94.0,93.0,93.0,,,
2022/10/02,0900 UTC,0,1004,"1004,1","1003,9",0,"21,5","20,5","21,8","21,4","20,6","20,3",94.0,93.0,94.0,,,
2022/10/02,1000 UTC,0,"1004,8","1004,8",1004,0,"21,5","20,5","21,6","21,4","20,6","20,4",94.0,94.0,94.0,,,
2022/10/02,1100 UTC,0,"1005,8","1005,8","1004,8",82,22,"20,9",22,"21,5","20,9","20,5",94.0,93.0,93.0,346.0,,
2022/10/02,1200 UTC,0,"1006,7","1006,7","1005,8","227,7","22,7","20,4","22,7",22,"20,9","20,1",93.0,87.0,87.0,348.0,,
2022/10/02,1300 UTC,0,"1007,7","1007,7","1006,7","729,1",24,"20,4",24,"22,7","20,9","20,3",87.0,80.0,80.0,353.0,,
2022/10/02,1400 UTC,0,"1008,1","1008,1","1007,7","1158,1","25,3","20,5","25,7","23,9","21,1","19,9",82.0,73.0,75.0,360.0,,
2022/10/02,1500 UTC,0,"1007,4","1008,1","1007,3","1416,3","26,8","20,6",27,"25,2","21,3","20,1",75.0,67.0,69.0,323.0,,
2022/10/02,1600 UTC,0,"1006,7","1007,5","1006,6","1520,1","27,7","20,1","27,9","26,4","21,4","19,9",72.0,63.0,63.0,307.0,,
2022/10/02,1700 UTC,0,"1005,6","1006,7","1005,6","1710,6","27,8","21,1","28,5","27,6","21,6","19,6",68.0,60.0,67.0,346.0,,
2022/10/02,1800 UTC,",2","1004,6","1005,6","1004,6","951,6",28,21,28,"27,5","21,4","20,3",70.0,64.0,66.0,315.0,,
2022/10/02,1900 UTC,"1,6","1003,5","1004,6","1003,5","1852,5","28,1","20,9","28,1","27,2","22,8","20,4",76.0,63.0,65.0,328.0,,
2022/10/02,2000 UTC,0,1003,"1003,5","1002,9","1822,7","29,7","20,6","29,7","28,1","22,2","20,4",68.0,58.0,58.0,345.0,,
2022/10/02,2100 UTC,0,"1002,5",1003,"1002,5","1086,5","28,1","21,4",30,"28,1","22,2","19,9",69.0,54.0,67.0,10.0,,
2022/10/02,2200 UTC,",2","1002,8","1002,9","1002,5","66,5","24,6","21,5","28,1","24,6","21,8","20,7",83.0,65.0,83.0,55.0,,
2022/10/02,2300 UTC,0,"1002,8","1002,8","1002,3",",9","24,1","21,5","24,6","24,1","21,8","21,4",85.0,83.0,85.0,,,
2022/10/30,0000 UTC,",4","999,3","999,3","999,1",0,"23,4","20,9","23,8","23,4","21,1","20,9",86.0,84.0,86.0,309.0,,
2022/10/30,0100 UTC,0,"999,8","999,8","999,3",0,"23,2","21,3","23,5","23,2","21,3","20,8",89.0,86.0,89.0,155.0,,
2022/10/30,0200 UTC,0,"1000,6","1000,6","999,8",0,"23,3",22,"23,3","23,1",22,"21,4",93.0,89.0,93.0,344.0,,
2022/10/30,0300 UTC,",2","999,5","1000,6","999,5",0,23,"21,7","23,3",23,22,"21,7",92.0,92.0,92.0,51.0,,
2022/10/30,0400 UTC,0,"998,5","999,5","998,3",0,23,"21,8",23,"22,8","21,8","21,6",93.0,92.0,93.0,244.0,,
2022/10/30,0500 UTC,0,"997,8","998,7","997,8",0,"22,6","21,4",23,"22,6","21,7","21,4",93.0,92.0,93.0,66.0,,
2022/10/30,0600 UTC,0,"997,9","998,3","997,8",0,"22,3","21,1","22,7","22,3","21,5","21,1",93.0,93.0,93.0,70.0,,
2022/10/30,0700 UTC,0,"997,4","997,9","997,4",0,"22,3",21,"22,5","22,3","21,4",21,93.0,93.0,93.0,337.0,,
2022/10/30,0800 UTC,0,"997,6","997,7","997,4",0,"22,2",21,"22,5","22,2","21,3",21,93.0,92.0,93.0,43.0,,
2022/10/30,0900 UTC,0,"997,8","997,9","997,6",0,"22,2","21,1","22,3","22,1","21,1","20,9",93.0,93.0,93.0,97.0,,
2022/10/30,1000 UTC,0,"998,5","998,6","997,8",0,"22,1","20,9","22,2","22,1",21,"20,9",93.0,93.0,93.0,360.0,,
2022/10/30,1100 UTC,0,"999,4","999,4","998,5","141,4","22,7","20,8","22,7",22,"21,4","20,8",93.0,89.0,89.0,336.0,,
2022/10/30,1200 UTC,0,"1000,2","1000,2","999,4","500,4","23,9","20,5","23,9","22,7","21,1","19,9",91.0,81.0,81.0,335.0,,
2022/10/30,1300 UTC,0,1001,1001,"1000,2","1369,7","25,8","21,1","25,8","23,7","21,1","19,9",83.0,75.0,75.0,315.0,,
2022/10/30,1400 UTC,0,"1001,2","1001,3",1001,2635,"27,2","20,9","27,5","25,7","21,5","19,9",75.0,66.0,69.0,7.0,,
2022/10/30,1500 UTC,0,"1000,6","1001,2","1000,6","2732,7","29,4","20,6","29,4","27,2","21,5","19,9",69.0,57.0,59.0,281.0,,
2022/10/30,1600 UTC,0,1000,"1000,6",1000,"2813,4",29,"19,8","30,2","27,7","21,2","19,4",65.0,55.0,58.0,266.0,,
2022/10/30,1700 UTC,0,999,1000,999,"2793,5","30,6","18,1","31,2","28,7","21,3",18,62.0,46.0,47.0,24.0,,
2022/10/30,1800 UTC,0,998,999,998,"2676,8","31,4","18,3","31,9","29,9","21,2","17,8",59.0,44.0,46.0,330.0,,
2022/10/30,1900 UTC,0,"997,1",998,997,"2248,8","32,3","18,1","32,8","30,3",20,"17,4",52.0,41.0,43.0,275.0,,
2022/10/30,2000 UTC,0,"996,4","997,1","996,4","2233,8","31,8","18,5","32,9","31,7","19,5",17,46.0,41.0,45.0,13.0,,
2022/10/30,2100 UTC,0,"996,2","996,4","996,2","1256,4",31,"17,9","32,2",31,19,"17,2",47.0,42.0,46.0,358.0,,
2022/10/30,2200 UTC,0,996,"996,2",996,"136,2","28,9","18,9","31,1","28,9","19,3","17,7",55.0,45.0,55.0,5.0,,
2022/10/30,2300 UTC,0,"996,4","996,4",996,"6,4","25,9","20,5","28,9","25,9","20,5","18,5",72.0,54.0,72.0,41.0,,
