Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2022/10/02,0000 UTC,0,"1008,9","1008,9","1007,9",,"24,6","21,9","25,3","24,6","23,1","21,8",89.0,84.0,85.0,216.0,"3,1",",9",
2022/10/02,0100 UTC,0,"1009,6","1009,6","1008,9",,"24,1",22,"24,6","24,1","22,1","21,7",88.0,85.0,88.0,218.0,"4,2","1,5",
2022/10/02,0200 UTC,0,"1010,3","1010,3","1009,5",,"23,9","21,8","24,1","23,9",22,"21,7",89.0,87.0,88.0,216.0,4,1,
2022/10/02,0300 UTC,0,"1009,8","1010,3","1009,8",,"23,8","21,8","23,9","23,7","21,8","21,5",89.0,87.0,89.0,228.0,3,"1,1",
2022/10/02,0400 UTC,0,"1008,7","1009,8","1008,7",,"23,4","21,7","23,7","23,4","21,8","21,6",90.0,88.0,90.0,220.0,"4,7",",7",
2022/10/02,0500 UTC,0,"1008,1","1008,7",1008,,"22,9","21,8","23,6","22,9","21,9","21,7",93.0,89.0,93.0,56.0,"2,5",",7",
2022/10/02,0600 UTC,0,"1007,8","1008,2","1007,8",,"22,3","21,7","22,9","22,3","21,9","21,7",96.0,93.0,96.0,86.0,"1,5",",3",
2022/10/02,0700 UTC,0,"1006,8","1007,8","1006,8",,"22,2","21,8","22,3","22,2","21,8","21,7",98.0,96.0,98.0,299.0,1,",3",
2022/10/02,0800 UTC,0,"1006,9","1006,9","1006,7",,22,"21,6","22,3",22,22,"21,6",98.0,98.0,98.0,137.0,1,",5",
2022/10/02,0900 UTC,0,"1007,5","1007,5","1006,9",,"21,9","21,6","22,1","21,8","21,7","21,5",98.0,98.0,98.0,150.0,"1,3",",5",
2022/10/02,1000 UTC,0,"1008,3","1008,3","1007,5","3,9","21,8","21,5",22,"21,7","21,7","21,4",98.0,98.0,98.0,142.0,"1,3",",2",
2022/10/02,1100 UTC,0,"1009,3","1009,3","1008,3","252,7","23,8",23,"23,8","21,8","23,1","21,5",98.0,93.0,95.0,334.0,"1,3",",5",
2022/10/02,1200 UTC,0,"1010,2","1010,2","1009,3","874,3","25,7","23,4","25,7","23,8","23,8","22,6",95.0,87.0,87.0,229.0,"1,9",",7",
2022/10/02,1300 UTC,0,"1010,8","1010,8","1010,2","1888,9","27,4","23,3","28,5","25,5","24,2","22,5",87.0,75.0,79.0,229.0,"2,9","1,1",
2022/10/02,1400 UTC,0,1011,"1011,1","1010,7","2712,5","30,1","24,1","30,1","27,2","24,5","22,5",79.0,66.0,70.0,23.0,4,1,
2022/10/02,1500 UTC,0,"1010,5",1011,"1010,5","3008,3","31,5","23,7","31,5","29,7","24,3","22,3",70.0,61.0,64.0,269.0,"3,6","1,5",
2022/10/02,1600 UTC,0,"1009,7","1010,5","1009,7","3148,3","32,1","23,5","32,3","30,7","24,3","22,1",65.0,58.0,60.0,266.0,"3,9","1,3",
2022/10/02,1700 UTC,0,"1008,4","1009,7","1008,4","3264,9","32,9",24,"32,9","31,6","24,4",23,63.0,58.0,60.0,281.0,"3,7","1,4",
2022/10/02,1800 UTC,0,"1007,5","1008,4","1007,5","2875,3",33,24,"33,4","32,2","24,4","22,5",61.0,55.0,59.0,313.0,"3,9","1,1",
2022/10/02,1900 UTC,"1,8","1006,9","1007,5","1006,7","1403,9","27,4","25,7",33,"27,4","25,9","23,4",92.0,59.0,91.0,162.0,"4,9",",7",
2022/10/02,2000 UTC,"3,2","1006,6","1006,9","1006,2","283,1","25,6","24,9","27,4","25,4","25,9","24,1",97.0,90.0,96.0,123.0,"3,3",",8",
2022/10/02,2100 UTC,0,1006,"1006,6",1006,"301,9","25,8","24,1","25,9","25,6",25,"23,7",96.0,89.0,91.0,203.0,"2,8",",4",
2022/10/02,2200 UTC,0,"1006,7","1006,7","1005,9","115,9","25,1","24,1","26,1","25,1","24,3","23,6",94.0,87.0,94.0,172.0,"2,2",",3",
2022/10/02,2300 UTC,0,"1007,5","1007,6","1006,7",,"25,3",24,"25,5","24,9","24,3","23,8",97.0,91.0,92.0,181.0,"2,8",",6",
2022/10/30,0000 UTC,0,"1003,5","1003,5","1002,4",,26,"24,9","26,6",26,"25,5","24,8",94.0,92.0,94.0,208.0,"1,3",",2",
2022/10/30,0100 UTC,0,"1004,2","1004,2","1003,5",,"25,6","24,8",26,"25,6",25,"24,6",96.0,92.0,96.0,98.0,",8",",1",
2022/10/30,0200 UTC,0,"1004,7","1004,8","1004,2",,"25,3","24,8","25,6","25,3","24,9","24,7",97.0,95.0,97.0,122.0,",9",",6",
2022/10/30,0300 UTC,0,"1004,7","1004,9","1004,7",,"25,4","24,7","25,4","25,2","24,8","24,7",97.0,96.0,96.0,106.0,"1,6",",6",
2022/10/30,0400 UTC,0,"1004,2","1004,7","1004,2",,"25,3","24,6","25,5","25,2","24,7","24,5",96.0,95.0,96.0,61.0,"1,3",",2",
2022/10/30,0500 UTC,0,"1003,4","1004,2","1003,4",,"24,9","24,4","25,3","24,9","24,6","24,3",97.0,95.0,97.0,14.0,",8",",4",
2022/10/30,0600 UTC,0,"1003,2","1003,4","1003,2",,"24,8","24,3",25,"24,8","24,4","24,2",97.0,96.0,97.0,312.0,"1,3",",5",
2022/10/30,0700 UTC,0,"1002,8","1003,2","1002,8",,"25,1","24,6","25,1","24,8","24,6","24,3",97.0,96.0,97.0,119.0,"1,3",",2",
2022/10/30,0800 UTC,0,"1002,7","1002,9","1002,7",,25,"24,5","25,1",25,"24,6","24,5",97.0,97.0,97.0,355.0,"1,1",",4",
2022/10/30,0900 UTC,0,"1003,3","1003,3","1002,7",,"25,3","24,9","25,3",25,"24,9","24,5",98.0,97.0,98.0,313.0,"1,7",",5",
2022/10/30,1000 UTC,0,"1003,8","1003,8","1003,3","14,3","25,7","24,8","25,7","25,3",25,"24,7",98.0,95.0,95.0,251.0,"2,8",",8",
2022/10/30,1100 UTC,0,"1004,8","1004,8","1003,8","106,6",26,"24,9",26,"25,7",25,"24,8",95.0,94.0,94.0,269.0,"2,1",",9",
2022/10/30,1200 UTC,0,"1005,5","1005,5","1004,8",455,"26,4","25,1","26,4","25,9","25,2","24,8",95.0,92.0,93.0,247.0,"2,6",",9",
2022/10/30,1300 UTC,0,"1005,9","1005,9","1005,5","707,1","26,9","25,1",27,"26,3","25,5","24,9",93.0,90.0,90.0,265.0,"2,7",",8",
2022/10/30,1400 UTC,0,"1005,6",1006,"1005,6","1459,2","28,2","25,8","28,2","26,9","25,9","25,1",92.0,85.0,87.0,220.0,"2,2",",7",
2022/10/30,1500 UTC,0,"1004,7","1005,6","1004,7","2158,2","29,6","26,2","29,6","28,1","26,7","25,3",88.0,80.0,82.0,224.0,"2,3",1,
2022/10/30,1600 UTC,0,"1003,4","1004,7","1003,4","1825,1","30,7","25,5","30,8","29,5","27,1","25,5",85.0,74.0,74.0,133.0,"2,6",",7",
2022/10/30,1700 UTC,0,"1002,3","1003,4","1002,3","1241,8","30,7","25,7","31,2","30,3","26,7","24,9",80.0,71.0,75.0,47.0,2,",6",
2022/10/30,1800 UTC,0,"1001,6","1002,3","1001,6","1240,1","30,7",26,31,"30,3","26,9","25,6",80.0,74.0,76.0,57.0,"2,9",",7",
2022/10/30,1900 UTC,0,"1001,2","1001,6","1001,2",900,"30,5","25,7","30,8","30,3","26,5","25,1",79.0,72.0,76.0,61.0,"2,1",",4",
2022/10/30,2000 UTC,0,"1000,8","1001,2","1000,8","611,1",30,"25,7","30,6",30,"26,6","25,5",81.0,75.0,78.0,325.0,"1,7",",6",
2022/10/30,2100 UTC,0,"1000,6","1000,8","1000,6","384,8","29,4","26,5","30,1","29,3","26,6","25,4",85.0,77.0,84.0,316.0,"1,7",",2",
2022/10/30,2200 UTC,0,"1000,6","1000,6","1000,5","93,5","27,9",26,"29,4","27,9","26,9","25,8",90.0,84.0,89.0,248.0,"1,3",",6",
2022/10/30,2300 UTC,0,"1001,2","1001,2","1000,6",,"27,2","26,3","28,1","27,2","26,4",26,95.0,88.0,95.0,207.0,"1,4",",4",
