"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"13/11/2024";"10:55:11";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"AM";"AM";"AMAZONAS";40000627725;8;71;"Fundo de Curto Prazo";"#NULO#";"50292,82";"19/04/2021";"20:13:26"
"13/11/2024";"10:55:11";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"AM";"AM";"AMAZONAS";40000628456;1;14;"Terra nua";"#NULO#";"100000,00";"18/09/2018";"11:25:55"
"13/11/2024";"10:55:11";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"AM";"AM";"AMAZONAS";40000623452;10;49;"Outras aplicações e Investimentos";"BRADESCO INVESTIMENTO PLUS ";"45344,37";"19/04/2021";"20:13:15"
"13/11/2024";"10:55:11";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"AM";"AM";"AMAZONAS";40000625748;6;49;"Outras aplicações e Investimentos";"#NULO#";"1360,57";"19/04/2021";"20:13:19"
"13/11/2024";"10:55:11";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"AM";"AM";"AMAZONAS";40000609315;2;79;"Outros fundos";"VALOR A SE RECEBIDO DE ALETHEA TORRES CASTRO CPF 027.135.746-09. CONTRATO DE MUTUO FIRMADO EM 16/08/2011, PELO PRAZO DE ATÉ DEZ ANOS.";"650000,00";"18/09/2018";"11:25:55"
"13/11/2024";"10:55:11";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"AM";"AM";"AMAZONAS";40000609315;3;79;"Outros fundos";"EMRPESTIMO PARA JOAQUIM JOSE DE CASTRO GOUVEIA, CPF 028.291.432-30 ¿ REF CONTRATO DE MUTUO FIRMADO EM 07/12/2011 PELO PRAZO DE ATÉ DEZ ANOS";"60120,00";"18/09/2018";"11:25:55"
"13/11/2024";"10:55:11";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"AM";"AM";"AMAZONAS";40000609315;4;79;"Outros fundos";"VALOR A SER RECEBIDO DE ALETHEA TORRES CASTRO ¿ REF CONTRATO DE MUTUO ASSINADO EM 03/06/2013 A SER RECEBIDO EM ATÉ 10 ANOS";"50000,00";"18/09/2018";"11:25:55"
"13/11/2024";"10:55:11";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"AM";"AM";"AMAZONAS";40000609315;5;79;"Outros fundos";"VALOR A SER RECEBIDO DE JOAQUIM JOSE DE CASTRO GOUVEIA, CPF 028.291.432-30 ¿ REF CONTRATO DE MUTUO REALIZADO EM 02.01.2017, A SER RECEBIDO EM ATÉ 10 ANOS.";"200000,00";"18/09/2018";"11:25:55"
"13/11/2024";"10:55:11";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"AM";"AM";"AMAZONAS";40000610066;14;79;"Outros fundos";"#NULO#";"11815,53";"19/04/2021";"20:13:26"
"13/11/2024";"10:55:11";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"AM";"AM";"AMAZONAS";40000610405;8;71;"Fundo de Curto Prazo";"#NULO#";"2578,68";"19/04/2021";"20:13:21"
"13/11/2024";"10:55:11";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"AM";"AM";"AMAZONAS";40000612666;7;79;"Outros fundos";"#NULO#";"2259,29";"19/04/2021";"20:13:05"
"13/11/2024";"10:55:11";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"AM";"AM";"AMAZONAS";40000618261;51;79;"Outros fundos";"CREDITOS EM TRANSITO - JUROS S/CAPITAL PROPRIO A RECEBER DE VALE S.A - CPF/CNPJ: 05.400.209/0001-66";"2680,51";"19/04/2021";"20:13:26"
"13/11/2024";"10:55:11";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"AM";"AM";"AMAZONAS";40000618261;52;79;"Outros fundos";"CREDITO A RECEBER DE PARINTINS PARTICIPACOES LTDA - CPF/CNPJ: 05.400.209/0001-66";"53000,00";"19/04/2021";"20:13:26"
"13/11/2024";"10:55:11";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"AM";"AM";"AMAZONAS";40000610429;6;14;"Terra nua";"1 lote de terreno 10x38 sem construção no Reserva do Parque-Ponta Negra";"106717,51";"19/04/2021";"20:13:24"
"13/11/2024";"10:55:11";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"AM";"AM";"AMAZONAS";40000610435;10;14;"Terra nua";"#NULO#";"350000,00";"19/04/2021";"20:13:21"
"13/11/2024";"10:55:11";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"AM";"AM";"AMAZONAS";40000610435;22;14;"Terra nua";"#NULO#";"5000,00";"19/04/2021";"20:13:21"
"13/11/2024";"10:55:11";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"AM";"AM";"AMAZONAS";40000609257;7;49;"Outras aplicações e Investimentos";"#NULO#";"706791,46";"19/04/2021";"20:13:18"
"13/11/2024";"10:55:11";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"AM";"AM";"AMAZONAS";40000609263;10;49;"Outras aplicações e Investimentos";"#NULO#";"100000,00";"19/04/2021";"20:13:18"
"13/11/2024";"10:55:11";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"AM";"AM";"AMAZONAS";40000609269;2;49;"Outras aplicações e Investimentos";"#NULO#";"41531,97";"19/04/2021";"20:13:18"
