"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"TP_MOTIVO";"DS_TP_MOTIVO";"CD_MOTIVO";"DS_MOTIVO"
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000612601";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000623434";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000609266";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000627679";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000609265";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000608879";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000617654";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000610339";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000619022";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000618322";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000610332";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000628372";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000617523";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000610326";"J";"Fundamentos legais de julgamento";1;"Indeferimento de partido ou coligação."
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000610326";"J";"Fundamentos legais de julgamento";2;"Gasto ilícito de recursos (Lei 9.504/97)."
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000610326";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000610326";"J";"Fundamentos legais de julgamento";4;"Conduta vedada (Lei 9.504/97)."
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000610326";"J";"Fundamentos legais de julgamento";5;"Compra de voto (Lei 9.504/97)."
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000610326";"J";"Fundamentos legais de julgamento";7;"Abuso de poder (LC 64/90)"
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000610326";"J";"Fundamentos legais de julgamento";8;"Impugnação"
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000629999";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000617522";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000628387";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000609285";"J";"Fundamentos legais de julgamento";3;"Ficha limpa (LC 64/90)"
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000609316";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000628094";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000604621";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000610419";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
"13/11/2024";"10:54:48";2018;2;"Eleição Ordinária";297;"Eleições Gerais Estaduais 2018";"AM";"AM";"AMAZONAS";"40000623450";"J";"Fundamentos legais de julgamento";6;"Ausência de requisito de registro "
