"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SITUACAO_LEGENDA";"DS_SITUACAO";"NM_TIPO_DESTINACAO_VOTOS"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";4;"VICE-GOVERNADOR";"COLIGAÇÃO";44;"UNIÃO";"UNIÃO BRASIL";-1;"#NULO";"#NULO";"#NULO";40001682178;"AQUI É TRABALHO";"REPUBLICANOS / PP / PTB / PSC / PL / PRTB / PMN / UNIÃO / PATRIOTA / AVANTE";"D";"DEFERIDO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";10;"2º SUPLENTE";"PARTIDO ISOLADO";70;"AVANTE";"AVANTE";-1;"#NULO";"#NULO";"#NULO";40001685841;"#NULO";"AVANTE";"IV";"INVALIDADO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";6;"DEPUTADO FEDERAL";"FEDERAÇÃO";50;"PSOL";"PARTIDO SOCIALISMO E LIBERDADE";3;"Federação PSOL REDE";"PSOL/REDE";"PSOL/REDE";40001685305;"#NULO";"Federação PSOL REDE (PSOL / REDE)";"D";"DEFERIDO";"Válido (legenda)"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";4;"VICE-GOVERNADOR";"COLIGAÇÃO";55;"PSD";"PARTIDO SOCIAL DEMOCRÁTICO";-1;"#NULO";"#NULO";"#NULO";40001681499;"COLIGAÇÃO EM DEFESA DA VIDA";"Federação Brasil da Esperança - FE BRASIL (PT / PC do B / PV) / MDB / PSD";"D";"DEFERIDO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";5;"SENADOR";"COLIGAÇÃO";28;"PRTB";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";-1;"#NULO";"#NULO";"#NULO";40001683086;"AQUI É TRABALHO";"REPUBLICANOS / PP / PSC / PL / PTB / PRTB / PMN / UNIÃO / PATRIOTA";"D";"DEFERIDO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";5;"SENADOR";"COLIGAÇÃO";10;"REPUBLICANOS";"REPUBLICANOS";-1;"#NULO";"#NULO";"#NULO";40001683086;"AQUI É TRABALHO";"REPUBLICANOS / PP / PSC / PL / PTB / PRTB / PMN / UNIÃO / PATRIOTA";"D";"DEFERIDO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";3;"GOVERNADOR";"COLIGAÇÃO";19;"PODE";"PODEMOS";-1;"#NULO";"#NULO";"#NULO";40001685311;"amazonas pode mais ";"PROS / PODE";"D";"DEFERIDO";"Válido"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";4;"VICE-GOVERNADOR";"COLIGAÇÃO";77;"SOLIDARIEDADE";"SOLIDARIEDADE";-1;"#NULO";"#NULO";"#NULO";40001682806;"NÓS, O POVO";"PSB / SOLIDARIEDADE";"D";"DEFERIDO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";7;"DEPUTADO ESTADUAL";"PARTIDO ISOLADO";40;"PSB";"PARTIDO SOCIALISTA BRASILEIRO";-1;"#NULO";"#NULO";"#NULO";40001682113;"#NULO";"PSB";"D";"DEFERIDO";"Válido (legenda)"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";7;"DEPUTADO ESTADUAL";"PARTIDO ISOLADO";51;"PATRIOTA";"PATRIOTA";-1;"#NULO";"#NULO";"#NULO";40001682230;"#NULO";"PATRIOTA";"D";"DEFERIDO";"Válido (legenda)"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";3;"GOVERNADOR";"COLIGAÇÃO";28;"PRTB";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";-1;"#NULO";"#NULO";"#NULO";40001682178;"AQUI É TRABALHO";"REPUBLICANOS / PP / PTB / PSC / PL / PRTB / PMN / UNIÃO / PATRIOTA / AVANTE";"D";"DEFERIDO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";10;"2º SUPLENTE";"COLIGAÇÃO";11;"PP";"PROGRESSISTAS";-1;"#NULO";"#NULO";"#NULO";40001683086;"AQUI É TRABALHO";"REPUBLICANOS / PP / PSC / PL / PTB / PRTB / PMN / UNIÃO / PATRIOTA";"D";"DEFERIDO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";4;"VICE-GOVERNADOR";"COLIGAÇÃO";90;"PROS";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";-1;"#NULO";"#NULO";"#NULO";40001685311;"amazonas pode mais ";"PROS / PODE";"D";"DEFERIDO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";10;"2º SUPLENTE";"FEDERAÇÃO";45;"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";1;"Federação PSDB Cidadania";"PSDB/CIDADANIA";"PSDB/CIDADANIA";40001685799;"#NULO";"Federação PSDB Cidadania (PSDB / CIDADANIA)";"D";"DEFERIDO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";3;"GOVERNADOR";"COLIGAÇÃO";77;"SOLIDARIEDADE";"SOLIDARIEDADE";-1;"#NULO";"#NULO";"#NULO";40001682806;"NÓS, O POVO";"PSB / SOLIDARIEDADE";"D";"DEFERIDO";"Válido"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";10;"2º SUPLENTE";"COLIGAÇÃO";43;"PV";"PARTIDO VERDE";2;"Federação Brasil da Esperança - FE BRASIL";"PT/PC do B/PV";"PT/PC do B/PV";40001682115;"COLIGACAO EM DEFESA DA VIDA";"Federação Brasil da Esperança - FE BRASIL (PT / PC do B / PV) / PSD / MDB";"D";"DEFERIDO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";7;"DEPUTADO ESTADUAL";"PARTIDO ISOLADO";12;"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";-1;"#NULO";"#NULO";"#NULO";40001682106;"#NULO";"PDT";"D";"DEFERIDO";"Válido (legenda)"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";4;"VICE-GOVERNADOR";"COLIGAÇÃO";22;"PL";"PARTIDO LIBERAL";-1;"#NULO";"#NULO";"#NULO";40001682178;"AQUI É TRABALHO";"REPUBLICANOS / PP / PTB / PSC / PL / PRTB / PMN / UNIÃO / PATRIOTA / AVANTE";"D";"DEFERIDO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";5;"SENADOR";"FEDERAÇÃO";50;"PSOL";"PARTIDO SOCIALISMO E LIBERDADE";3;"Federação PSOL REDE";"PSOL/REDE";"PSOL/REDE";40001685308;"#NULO";"Federação PSOL REDE (PSOL / REDE)";"D";"DEFERIDO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";6;"DEPUTADO FEDERAL";"PARTIDO ISOLADO";70;"AVANTE";"AVANTE";-1;"#NULO";"#NULO";"#NULO";40001681441;"#NULO";"AVANTE";"D";"DEFERIDO";"Válido (legenda)"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";5;"SENADOR";"FEDERAÇÃO";23;"CIDADANIA";"CIDADANIA";1;"Federação PSDB Cidadania";"PSDB/CIDADANIA";"PSDB/CIDADANIA";40001685799;"#NULO";"Federação PSDB Cidadania (PSDB / CIDADANIA)";"D";"DEFERIDO";"#NE"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";6;"DEPUTADO FEDERAL";"PARTIDO ISOLADO";12;"PDT";"PARTIDO DEMOCRÁTICO TRABALHISTA";-1;"#NULO";"#NULO";"#NULO";40001682114;"#NULO";"PDT";"D";"DEFERIDO";"Válido (legenda)"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";3;"GOVERNADOR";"FEDERAÇÃO";23;"CIDADANIA";"CIDADANIA";1;"Federação PSDB Cidadania";"PSDB/CIDADANIA";"PSDB/CIDADANIA";40001685800;"#NULO";"Federação PSDB Cidadania (PSDB / CIDADANIA)";"D";"DEFERIDO";"Válido"
"26/08/2026";"03:16:16";2022;2;"ELEIÇÃO ORDINÁRIA";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AM";"AM";"AMAZONAS";9;"1º SUPLENTE";"FEDERAÇÃO";23;"CIDADANIA";"CIDADANIA";1;"Federação PSDB Cidadania";"PSDB/CIDADANIA";"PSDB/CIDADANIA";40001685799;"#NULO";"Federação PSDB Cidadania (PSDB / CIDADANIA)";"D";"DEFERIDO";"#NE"
