UF;Município;Faixa etária;Gênero;Grau de instrução;Comparecimento;% comparecimento;Abstenção;Eleitorado apto;Data de carga
AM;ALVARÃES;100 anos ou mais              ;FEMININO;ANALFABETO;0;0;8;8;2025-04-29 22:31:40
AM;ALVARÃES;100 anos ou mais              ;FEMININO;LÊ E ESCREVE;0;0;4;4;2025-04-29 22:31:40
AM;ALVARÃES;100 anos ou mais              ;MASCULINO;ANALFABETO;0;0;9;9;2025-04-29 22:31:40
AM;ALVARÃES;100 anos ou mais              ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;0;0;1;1;2025-04-29 22:31:40
AM;ALVARÃES;100 anos ou mais              ;MASCULINO;LÊ E ESCREVE;0;0;8;8;2025-04-29 22:31:40
AM;ALVARÃES;16 anos                       ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;5;1;0;5;2025-04-29 22:31:40
AM;ALVARÃES;16 anos                       ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;9;0,6;6;15;2025-04-29 22:31:40
AM;ALVARÃES;16 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;51;0,8361;10;61;2025-04-29 22:31:40
AM;ALVARÃES;16 anos                       ;MASCULINO;ANALFABETO;1;1;0;1;2025-04-29 22:31:40
AM;ALVARÃES;16 anos                       ;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;4;0,8;1;5;2025-04-29 22:31:40
AM;ALVARÃES;16 anos                       ;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;17;0,6538;9;26;2025-04-29 22:31:40
AM;ALVARÃES;16 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;34;0,8293;7;41;2025-04-29 22:31:40
AM;ALVARÃES;17 anos                       ;FEMININO;ANALFABETO;1;1;0;1;2025-04-29 22:31:40
AM;ALVARÃES;17 anos                       ;FEMININO;ENSINO FUNDAMENTAL COMPLETO;4;0,8;1;5;2025-04-29 22:31:40
AM;ALVARÃES;17 anos                       ;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;22;0,7857;6;28;2025-04-29 22:31:40
